date,value
2015-01-02,58.94
2015-01-09,63.14
2015-01-16,66.7
2015-01-23,66.5
2015-01-30,66.0
2015-02-06,66.17
2015-02-13,65.33
2015-02-20,65.57
2015-02-27,65.78
2015-03-06,64.22
2015-03-13,64.68
2015-03-20,69.22
2015-03-27,66.98
2015-04-03,67.87
2015-04-10,67.08
2015-04-17,65.82
2015-04-24,67.61
2015-05-01,66.53
2015-05-08,68.51
2015-05-15,72.22
2015-05-22,70.78
2015-05-29,70.03
2015-06-05,66.59
2015-06-12,67.2
2015-06-19,68.9
2015-06-26,65.64
2015-07-03,67.41
2015-07-10,69.58
2015-07-17,70.17
2015-07-24,70.98
2015-07-31,73.52
2015-08-07,75.7
2015-08-14,78.45
2015-08-21,76.53
2015-08-28,74.13
2015-09-04,71.42
2015-09-11,72.97
2015-09-18,75.48
2015-09-25,76.27
2015-10-02,76.87
2015-10-09,77.1
2015-10-16,77.31
2015-10-23,80.78
2015-10-30,79.24
2015-11-06,77.51
2015-11-13,78.87
2015-11-20,82.94
2015-11-27,83.93
2015-12-04,85.79
2015-12-11,85.27
2015-12-18,87.66
2015-12-25,88.23
2016-01-01,88.21
2016-01-08,89.91
2016-01-15,86.03
2016-01-22,87.35
2016-01-29,90.69
2016-02-05,81.71
2016-02-12,81.39
2016-02-19,86.2
2016-02-26,83.11
2016-03-04,83.98
2016-03-11,87.08
2016-03-18,89.61
2016-03-25,90.08
2016-04-01,93.51
2016-04-08,93.58
2016-04-15,90.19
2016-04-22,86.0
2016-04-29,84.95
2016-05-06,92.43
2016-05-13,92.97
2016-05-20,91.03
2016-05-27,92.93
2016-06-03,93.56
2016-06-10,88.62
2016-06-17,87.12
2016-06-24,86.87
2016-07-01,90.65
2016-07-08,93.25
2016-07-15,92.71
2016-07-22,93.62
2016-07-29,86.02
2016-08-05,82.48
2016-08-12,83.44
2016-08-19,80.79
2016-08-26,79.88
2016-09-02,81.86
2016-09-09,79.92
2016-09-16,77.2
2016-09-23,80.02
2016-09-30,79.41
2016-10-07,75.47
2016-10-14,75.93
2016-10-21,74.82
2016-10-28,72.09
2016-11-04,71.66
2016-11-11,73.76
2016-11-18,70.61
2016-11-25,70.08
2016-12-02,70.18
2016-12-09,75.01
2016-12-16,74.2
2016-12-23,74.76
2016-12-30,77.24
2017-01-06,79.2
2017-01-13,72.65
2017-01-20,73.42
2017-01-27,73.2
2017-02-03,73.01
2017-02-10,75.0
2017-02-17,77.25
2017-02-24,79.49
2017-03-03,79.08
2017-03-10,74.74
2017-03-17,75.36
2017-03-24,75.04
2017-03-31,74.39
2017-04-07,78.07
2017-04-14,78.1
2017-04-21,80.47
2017-04-28,75.53
2017-05-05,73.39
2017-05-12,72.42
2017-05-19,76.49
2017-05-26,78.0
2017-06-02,76.46
2017-06-09,74.52
2017-06-16,78.5
2017-06-23,78.75
2017-06-30,78.0
2017-07-07,76.53
2017-07-14,76.68
2017-07-21,78.97
2017-07-28,77.92
2017-08-04,77.75
2017-08-11,76.31
2017-08-18,74.74
2017-08-25,76.9
2017-09-01,77.78
2017-09-08,82.25
2017-09-15,79.07
2017-09-22,78.89
2017-09-29,79.92
2017-10-06,80.38
2017-10-13,82.71
2017-10-20,81.77
2017-10-27,80.3
2017-11-03,85.04
2017-11-10,86.0
2017-11-17,87.2
2017-11-24,87.38
2017-12-01,85.2
2017-12-08,86.28
