date,value
2015-01-02,36.37
2015-01-09,35.11
2015-01-16,36.06
2015-01-23,36.55
2015-01-30,36.68
2015-02-06,37.12
2015-02-13,38.29
2015-02-20,39.01
2015-02-27,38.96
2015-03-06,38.0
2015-03-13,37.56
2015-03-20,39.08
2015-03-27,39.01
2015-04-03,39.39
2015-04-10,39.51
2015-04-17,38.85
2015-04-24,39.5
2015-05-01,39.91
2015-05-08,40.16
2015-05-15,40.7
2015-05-22,40.2
2015-05-29,39.19
2015-06-05,38.79
2015-06-12,39.31
2015-06-19,38.99
2015-06-26,39.51
2015-07-03,37.67
2015-07-10,38.74
2015-07-17,38.95
2015-07-24,38.45
2015-07-31,38.69
2015-08-07,39.0
2015-08-14,38.25
2015-08-21,35.96
2015-08-28,36.12
2015-09-04,34.83
2015-09-11,35.94
2015-09-18,35.43
2015-09-25,34.26
2015-10-02,34.86
2015-10-09,36.61
2015-10-16,36.7
2015-10-23,37.3
2015-10-30,36.85
2015-11-06,36.83
2015-11-13,35.52
2015-11-20,36.28
2015-11-27,36.51
2015-12-04,36.44
2015-12-11,34.88
2015-12-18,35.01
2015-12-25,35.8
2016-01-01,35.04
2016-01-08,32.84
2016-01-15,31.97
2016-01-22,32.77
2016-01-29,33.2
2016-02-05,32.22
2016-02-12,31.12
2016-02-19,32.13
2016-02-26,31.985
2016-03-04,33.31
2016-03-11,34.375
2016-03-18,34.66
2016-03-25,33.84
2016-04-01,34.11
2016-04-08,33.68
2016-04-15,34.65
2016-04-22,35.39
2016-04-29,35.27
2016-05-06,34.46
2016-05-13,33.95
2016-05-20,34.035
2016-05-27,35.06
2016-06-03,35.14
2016-06-10,33.8
2016-06-17,33.51
2016-06-24,30.9
2016-07-01,32.29
2016-07-08,31.63
2016-07-15,32.89
2016-07-22,32.91
2016-07-29,33.83
2016-08-05,33.42
2016-08-12,34.47
2016-08-19,34.35
2016-08-26,34.13
2016-09-02,34.91
2016-09-09,34.4
2016-09-16,33.47
2016-09-23,34.61
2016-09-30,34.49
2016-10-07,34.19
2016-10-14,33.75
2016-10-21,34.09
2016-10-28,34.22
2016-11-04,33.31
2016-11-11,33.31
2016-11-18,32.49
2016-11-25,32.77
2016-12-02,32.69
2016-12-09,34.25
2016-12-16,34.28
2016-12-23,34.355
2016-12-30,34.6
2017-01-06,35.13
2017-01-13,35.36
2017-01-20,35.42
2017-01-27,35.635
2017-02-03,35.68
2017-02-10,35.23
2017-02-17,35.59
2017-02-24,35.27
2017-03-03,36.24
2017-03-10,36.65
2017-03-17,37.25
2017-03-24,37.44
2017-03-31,37.6
2017-04-07,37.39
2017-04-14,36.97
2017-04-21,37.39
2017-04-28,39.24
2017-05-05,41.2
2017-05-12,40.63
2017-05-19,41.22
2017-05-26,41.21
2017-06-02,41.95
2017-06-09,41.415
2017-06-16,41.25
2017-06-23,40.39
2017-06-30,40.325
2017-07-07,40.43
2017-07-14,41.47
2017-07-21,41.34
2017-07-28,41.63
2017-08-04,42.25
2017-08-11,41.2
2017-08-18,41.49
2017-08-25,41.99
2017-09-01,41.93
2017-09-08,42.42
2017-09-15,42.98
2017-09-22,43.195
2017-09-29,43.32
2017-10-06,43.18
2017-10-13,43.6
2017-10-20,43.39
2017-10-27,43.34
2017-11-03,43.84
2017-11-10,43.07
2017-11-17,43.0
2017-11-24,43.83
2017-12-01,43.42
2017-12-08,43.71
2017-12-15,43.23
2017-12-22,43.485
2017-12-29,43.38
2018-01-05,45.0
2018-01-12,45.705
2018-01-19,46.385
2018-01-26,47.11
2018-02-02,45.37
2018-02-09,42.84
2018-02-16,44.56
2018-02-23,44.415
2018-03-02,43.21
2018-03-09,44.19
2018-03-16,44.04
2018-03-23,42.4
2018-03-30,43.35
2018-04-06,43.5
2018-04-13,44.46
2018-04-20,44.79
2018-04-27,44.58
2018-05-04,44.54
2018-05-11,44.84
2018-05-18,44.3
2018-05-25,43.43
2018-06-01,43.02
2018-06-08,43.39
2018-06-15,43.54
2018-06-22,41.555
2018-06-29,41.01
2018-07-06,41.93
2018-07-13,41.96
2018-07-20,42.08
2018-07-27,42.41
2018-08-03,41.98
2018-08-10,40.63
2018-08-17,40.26
2018-08-24,41.53
2018-08-31,41.22
2018-09-07,39.88
2018-09-14,40.75
2018-09-21,41.98
2018-09-28,41.005
2018-10-05,40.01
2018-10-12,38.37
2018-10-19,38.22
2018-10-26,36.89
2018-11-02,38.12
2018-11-09,37.96
2018-11-16,37.75
2018-11-23,36.74
2018-11-30,37.24
2018-12-07,35.85
2018-12-14,35.8
2018-12-21,34.45
2018-12-28,34.9
2019-01-04,35.56
2019-01-11,36.18
2019-01-18,36.715
2019-01-25,37.15
2019-02-01,37.38
2019-02-08,36.74
2019-02-15,37.79
2019-02-22,38.12
2019-03-01,38.86
2019-03-08,37.975
2019-03-15,39.27
2019-03-22,38.33
2019-03-29,38.6
2019-04-05,39.76
2019-04-12,40.17
2019-04-19,40.43
2019-04-26,40.06
2019-05-03,40.43
2019-05-10,39.43
2019-05-17,39.21
2019-05-24,38.86
2019-05-31,37.92
2019-06-07,39.455
2019-06-14,39.18
2019-06-21,39.37
2019-06-28,39.555
2019-07-05,39.76
2019-07-12,39.53
2019-07-19,39.13
2019-07-26,39.42
2019-08-02,37.97
2019-08-09,37.745
2019-08-16,37.03
2019-08-23,37.01
2019-08-30,37.91
2019-09-06,38.73
2019-09-13,39.52
2019-09-20,39.19
2019-09-27,38.67
2019-10-04,38.18
2019-10-11,39.28
2019-10-18,40.06
2019-10-25,40.2
2019-11-01,40.72
2019-11-08,40.93
2019-11-15,41.04
2019-11-22,40.76
2019-11-29,40.79
2019-12-06,40.9
2019-12-13,41.52
2019-12-20,41.62
2019-12-27,42.02
2020-01-03,41.84
