date,value
2016-06-17,25.12
2016-06-24,25.21
2016-07-01,25.9
2016-07-08,26.09
2016-07-15,26.17
2016-07-22,26.38
2016-07-29,26.23
2016-08-05,26.31
2016-08-12,26.61
2016-08-19,26.79
2016-08-26,26.79
2016-09-02,26.71
2016-09-09,26.33
2016-09-16,26.5
2016-09-23,26.68
2016-09-30,26.88
2016-10-07,26.84
2016-10-14,26.89
2016-10-21,27.08
2016-10-28,26.97
2016-11-04,26.39
2016-11-11,25.9
2016-11-18,26.36
2016-11-25,26.48
2016-12-02,26.29
2016-12-09,26.72
2016-12-16,26.73
2016-12-23,26.87
2016-12-30,26.76
2017-01-06,27.04
2017-01-13,27.14
2017-01-20,27.11
2017-01-27,27.42
2017-02-03,27.29
2017-02-10,27.36
2017-02-17,27.36
2017-02-24,27.52
2017-03-03,27.4
2017-03-10,26.82
2017-03-17,27.11
2017-03-24,26.95
2017-03-31,27.4
2017-04-07,27.38
2017-04-14,27.32
2017-04-21,27.36
2017-04-28,27.59
2017-05-05,27.33
2017-05-12,27.39
2017-05-19,27.31
2017-05-26,27.49
2017-06-02,27.46
2017-06-09,27.4
2017-06-16,27.26
2017-06-23,27.3
2017-06-30,27.33
2017-07-07,27.13
2017-07-14,27.46
2017-07-21,27.44
2017-07-28,27.63
2017-08-04,27.49
2017-08-11,27.29
2017-08-18,27.33
2017-08-25,27.52
2017-09-01,27.54
2017-09-08,27.46
2017-09-15,27.65
2017-09-22,27.63
2017-09-29,27.8
2017-10-06,27.64
2017-10-13,27.72
2017-10-20,27.82
2017-10-27,27.82
2017-11-03,27.77
2017-11-10,27.45
2017-11-17,27.44
2017-11-24,27.62
2017-12-01,27.4
2017-12-08,27.18
2017-12-15,27.22
2017-12-22,27.18
2017-12-29,27.14
2018-01-05,27.42
2018-01-12,27.46
2018-01-19,27.51
2018-01-26,27.72
2018-02-02,27.26
2018-02-09,26.66
2018-02-16,27.02
2018-02-23,26.98
2018-03-02,26.6
2018-03-09,26.85
2018-03-16,26.69
2018-03-23,26.41
2018-03-30,26.64
2018-04-06,26.45
2018-04-13,26.55
2018-04-20,26.55
2018-04-27,26.5
2018-05-04,26.35
2018-05-11,26.64
2018-05-18,26.54
2018-05-25,26.52
2018-06-01,26.36
2018-06-08,26.42
2018-06-15,26.55
2018-06-22,26.47
2018-06-29,26.3
2018-07-06,26.33
2018-07-13,26.34
2018-07-20,26.38
2018-07-27,26.45
2018-08-03,26.4
2018-08-10,26.42
2018-08-17,26.4
2018-08-24,26.48
2018-08-31,26.56
2018-09-07,26.37
2018-09-14,26.52
2018-09-21,26.53
2018-09-28,26.55
2018-10-05,26.27
2018-10-12,26.22
2018-10-19,26.11
2018-10-26,25.9
2018-11-02,25.72
2018-11-09,25.68
2018-11-16,25.37
2018-11-23,25.12
2018-11-30,25.25
2018-12-07,25.04
2018-12-14,25.06
2018-12-21,24.26
2018-12-28,24.39
2019-01-04,24.79
2019-01-11,25.38
2019-01-18,25.52
2019-01-25,25.46
2019-02-01,25.58
2019-02-08,25.73
2019-02-15,25.89
2019-02-22,25.99
2019-03-01,26.02
2019-03-08,25.92
2019-03-15,26.12
2019-03-22,26.16
2019-03-29,26.32
2019-04-05,26.36
2019-04-12,26.52
2019-04-19,26.54
2019-04-26,26.61
2019-05-03,26.45
2019-05-10,26.47
2019-05-17,26.31
2019-05-24,26.19
2019-05-31,26.01
2019-06-07,26.15
2019-06-14,26.23
2019-06-21,26.46
2019-06-28,26.6
2019-07-05,26.59
2019-07-12,26.66
2019-07-19,26.61
2019-07-26,26.86
2019-08-02,26.66
2019-08-09,26.48
2019-08-16,26.42
2019-08-23,26.52
2019-08-30,26.8
2019-09-06,26.76
2019-09-13,26.86
2019-09-20,26.94
2019-09-27,26.75
2019-10-04,26.44
2019-10-11,26.55
2019-10-18,26.64
2019-10-25,26.78
2019-11-01,26.6
2019-11-08,26.66
2019-11-15,26.66
2019-11-22,26.56
2019-11-29,26.62
2019-12-06,26.6
2019-12-13,26.96
2019-12-20,27.06
2019-12-27,27.11
2020-01-03,27.27
