date,value
2015-01-02,44.79
2015-01-09,45.78
2015-01-16,44.91
2015-01-23,44.85
2015-01-30,44.79
2015-02-06,43.3
2015-02-13,46.58
2015-02-20,48.0
2015-02-27,46.32
2015-03-06,44.96
2015-03-13,44.89
2015-03-20,46.16
2015-03-27,44.29
2015-04-03,46.88
2015-04-10,46.14
2015-04-17,44.86
2015-04-24,46.76
2015-05-01,44.46
2015-05-08,44.59
2015-05-15,45.22
2015-05-22,46.16
2015-05-29,45.86
2015-06-05,46.2
2015-06-12,46.25
2015-06-19,46.05
2015-06-26,46.64
2015-07-03,46.02
2015-07-10,45.04
2015-07-17,44.29
2015-07-24,46.59
2015-07-31,47.75
2015-08-07,48.21
2015-08-14,50.9
2015-08-21,49.68
2015-08-28,48.34
2015-09-04,48.79
2015-09-11,51.78
2015-09-18,51.36
2015-09-25,49.31
2015-10-02,48.23
2015-10-09,50.62
2015-10-16,48.84
2015-10-23,51.78
2015-10-30,52.33
2015-11-06,51.97
2015-11-13,51.51
2015-11-20,54.61
2015-11-27,55.61
2015-12-04,55.93
2015-12-11,55.3
2015-12-18,53.76
2015-12-25,56.29
2016-01-01,55.5
2016-01-08,50.44
2016-01-15,47.19
2016-01-22,48.54
2016-01-29,48.59
2016-02-05,45.48
2016-02-12,46.86
2016-02-19,49.58
2016-02-26,51.17
2016-03-04,52.11
2016-03-11,51.37
2016-03-18,55.0
2016-03-25,54.56
2016-04-01,56.47
2016-04-08,56.87
2016-04-15,58.58
2016-04-22,57.11
2016-04-29,55.41
2016-05-06,56.14
2016-05-13,55.41
2016-05-20,57.68
2016-05-27,58.93
2016-06-03,58.37
2016-06-10,57.01
2016-06-17,56.49
2016-06-24,55.74
2016-07-01,58.1
2016-07-08,60.21
2016-07-15,61.29
2016-07-22,60.45
2016-07-29,63.27
2016-08-05,63.75
2016-08-12,63.89
2016-08-19,62.7
2016-08-26,63.4
2016-09-02,63.79
2016-09-09,58.72
2016-09-16,56.1
2016-09-23,58.67
2016-09-30,58.1
2016-10-07,55.7
2016-10-14,55.04
2016-10-21,54.29
2016-10-28,53.73
2016-11-04,52.86
2016-11-11,55.24
2016-11-18,57.59
2016-11-25,57.36
2016-12-02,53.8
2016-12-09,56.37
2016-12-16,55.26
2016-12-23,54.98
2016-12-30,53.46
2017-01-06,54.78
2017-01-13,54.27
2017-01-20,55.41
2017-01-27,56.0
2017-02-03,56.1
2017-02-10,57.07
2017-02-17,57.06
2017-02-24,57.4
2017-03-03,58.72
2017-03-10,60.07
2017-03-17,61.04
2017-03-24,60.38
2017-03-31,60.85
2017-04-07,61.86
2017-04-14,61.5
2017-04-21,62.82
2017-04-28,63.74
2017-05-05,63.48
2017-05-12,62.57
2017-05-19,63.31
2017-05-26,62.85
2017-06-02,63.5
2017-06-09,63.31
2017-06-16,64.36
2017-06-23,66.05
2017-06-30,65.24
2017-07-07,65.93
2017-07-14,67.1
2017-07-21,65.88
2017-07-28,65.66
2017-08-04,65.23
2017-08-11,63.31
2017-08-18,62.5
2017-08-25,62.35
2017-09-01,62.97
2017-09-08,64.43
2017-09-15,64.74
2017-09-22,64.91
2017-09-29,67.23
2017-10-06,65.96
2017-10-13,66.24
2017-10-20,67.0
2017-10-27,66.83
2017-11-03,64.17
2017-11-10,63.97
2017-11-17,64.76
2017-11-24,64.68
2017-12-01,67.52
2017-12-08,68.22
2017-12-15,66.42
2017-12-22,68.53
2017-12-29,68.44
2018-01-05,71.62
2018-01-12,70.62
2018-01-19,72.64
2018-01-26,73.07
2018-02-02,64.9
2018-02-09,61.71
2018-02-16,63.82
2018-02-23,63.52
2018-03-02,60.01
