date,value
2015-01-02,172.45
2015-01-09,172.66
2015-01-16,176.76
2015-01-23,176.01
2015-01-30,169.11
2015-02-06,173.25
2015-02-13,176.47
2015-02-20,178.5
2015-02-27,176.98
2015-03-06,173.19
2015-03-13,173.32
2015-03-20,172.04
2015-03-27,164.59
2015-04-03,166.22
2015-04-10,174.37
2015-04-17,168.0
2015-04-24,169.95
2015-05-01,171.73
2015-05-08,173.35
2015-05-15,175.14
2015-05-22,175.18
2015-05-29,173.22
2015-06-05,182.24
2015-06-12,183.63
2015-06-19,175.94
2015-06-26,173.66
2015-07-03,171.13
2015-07-10,168.46
2015-07-17,170.23
2015-07-24,164.11
2015-07-31,171.42
2015-08-07,166.99
2015-08-14,164.81
2015-08-21,156.03
2015-08-28,152.5
2015-09-04,148.61
2015-09-11,151.08
2015-09-18,145.3
2015-09-25,144.45
2015-10-02,145.52
2015-10-09,155.33
2015-10-16,152.48
2015-10-23,159.52
2015-10-30,156.05
2015-11-06,162.38
2015-11-13,158.11
2015-11-20,164.14
2015-11-27,164.09
2015-12-04,155.47
2015-12-11,144.26
2015-12-18,147.15
2015-12-25,149.65
2016-01-01,148.99
2016-01-08,134.71
2016-01-15,126.92
2016-01-22,127.56
2016-01-29,132.88
2016-02-05,131.91
2016-02-12,128.6
2016-02-19,129.76
2016-02-26,137.38
2016-03-04,143.91
2016-03-11,144.42
2016-03-18,163.71
2016-03-25,162.65
2016-04-01,163.67
2016-04-08,163.42
2016-04-15,165.9
2016-04-22,166.32
2016-04-29,165.11
2016-05-06,161.03
2016-05-13,157.76
2016-05-20,161.63
2016-05-27,164.47
2016-06-03,163.82
2016-06-10,160.87
2016-06-17,162.25
2016-06-24,150.57
2016-07-01,153.84
2016-07-08,156.22
2016-07-15,160.59
2016-07-22,160.77
2016-07-29,161.9
2016-08-05,162.91
2016-08-12,165.5
2016-08-19,168.63
2016-08-26,164.95
2016-09-02,165.49
2016-09-09,160.85
2016-09-16,158.89
2016-09-23,174.39
2016-09-30,174.68
2016-10-07,173.01
2016-10-14,170.98
2016-10-21,170.2
2016-10-28,174.25
2016-11-04,174.8
2016-11-11,183.69
2016-11-18,187.29
2016-11-25,191.53
2016-12-02,192.8
2016-12-09,196.6
2016-12-16,196.48
2016-12-23,191.86
2016-12-30,186.2
2017-01-06,190.25
2017-01-13,187.01
2017-01-20,185.73
2017-01-27,195.92
2017-02-03,188.21
2017-02-10,190.86
2017-02-17,193.7
2017-02-24,193.11
2017-03-03,194.35
2017-03-10,192.15
2017-03-17,194.59
2017-03-24,188.12
2017-03-31,195.15
2017-04-07,195.65
2017-04-14,183.73
2017-04-21,185.28
2017-04-28,189.7
2017-05-05,192.42
2017-05-12,191.66
2017-05-19,189.37
2017-05-26,194.26
2017-06-02,203.11
2017-06-09,206.4
2017-06-16,210.5
2017-06-23,215.35
2017-06-30,217.33
2017-07-07,218.51
2017-07-14,219.06
2017-07-21,212.51
2017-07-28,208.04
2017-08-04,209.32
2017-08-11,204.87
2017-08-18,206.0
2017-08-25,207.76
2017-09-01,215.05
2017-09-08,210.48
2017-09-15,214.83
2017-09-22,220.0
2017-09-29,225.58
2017-10-06,220.8
2017-10-13,222.22
