date,value
2015-01-02,70.62
2015-01-09,72.07
2015-01-16,73.04
2015-01-23,74.06
2015-01-30,72.53
2015-02-06,76.98
2015-02-13,78.7
2015-02-20,79.05
2015-02-27,78.07
2015-03-06,77.525
2015-03-13,77.395
2015-03-20,80.29
2015-03-27,78.4
2015-04-03,79.63
2015-04-10,79.055
2015-04-17,77.43
2015-04-24,79.27
2015-05-01,78.66
2015-05-08,80.14
2015-05-15,80.98
2015-05-22,80.57
2015-05-29,80.15
2015-06-05,80.22
2015-06-12,80.32
2015-06-19,85.27
2015-06-26,85.01
2015-07-03,83.85
2015-07-10,86.35
2015-07-17,88.04
2015-07-24,85.99
2015-07-31,86.86
2015-08-07,87.51
2015-08-14,89.58
2015-08-21,84.87
2015-08-28,86.78
2015-09-04,84.11
2015-09-11,86.07
2015-09-18,86.53
2015-09-25,87.78
2015-10-02,88.22
2015-10-09,92.18
2015-10-16,91.95
2015-10-23,95.75
2015-10-30,96.51
2015-11-06,95.9
2015-11-13,94.38
2015-11-20,96.79
2015-11-27,95.74
2015-12-04,95.45
2015-12-11,91.74
2015-12-18,91.46
2015-12-25,93.06
2016-01-01,91.46
2016-01-08,87.53
2016-01-15,87.34
2016-01-22,91.49
2016-01-29,94.56
2016-02-05,94.59
2016-02-12,93.07
2016-02-19,96.65
2016-02-26,97.98
2016-03-04,97.16
2016-03-11,98.14
2016-03-18,101.58
2016-03-25,99.77
2016-04-01,103.37
2016-04-08,100.46
2016-04-15,99.78
2016-04-22,98.04
2016-04-29,97.72
2016-05-06,102.64
2016-05-13,103.85
2016-05-20,102.44
2016-05-27,105.13
2016-06-03,106.06
2016-06-10,106.38
2016-06-17,104.43
2016-06-24,103.25
2016-07-01,108.91
2016-07-08,109.69
2016-07-15,110.34
2016-07-22,110.48
2016-07-29,110.36
2016-08-05,105.19
2016-08-12,103.36
2016-08-19,102.54
2016-08-26,103.47
2016-09-02,104.34
2016-09-09,100.28
2016-09-16,99.21
2016-09-23,101.19
2016-09-30,99.47
2016-10-07,99.98
2016-10-14,100.06
2016-10-21,99.16
2016-10-28,98.33
2016-11-04,97.93
2016-11-11,100.54
2016-11-18,104.29
2016-11-25,107.23
2016-12-02,103.37
2016-12-09,104.79
2016-12-16,107.03
2016-12-23,108.0
2016-12-30,106.28
2017-01-06,109.83
2017-01-13,110.3
2017-01-20,109.57
2017-01-27,108.1
2017-02-03,106.72
2017-02-10,109.07
2017-02-17,111.98
