date,value
2015-01-02,150.26
2015-01-09,143.55
2015-01-16,139.72
2015-01-23,142.96
2015-01-30,140.5
2015-02-06,150.04
2015-02-13,150.37
2015-02-20,156.45
2015-02-27,153.43
2015-03-06,153.29
2015-03-13,148.21
2015-03-20,152.16
2015-03-27,148.56
2015-04-03,153.01
2015-04-10,157.85
2015-04-17,156.22
2015-04-24,162.24
2015-05-01,159.13
2015-05-08,154.82
2015-05-15,154.34
2015-05-22,154.25
2015-05-29,152.14
2015-06-05,154.75
2015-06-12,161.54
2015-06-19,161.39
2015-06-26,159.3
2015-07-03,156.04
2015-07-10,154.25
2015-07-17,154.0
2015-07-24,152.07
2015-07-31,154.82
2015-08-07,160.0
2015-08-14,162.51
2015-08-21,151.93
2015-08-28,151.34
2015-09-04,148.34
2015-09-11,152.23
2015-09-18,153.31
2015-09-25,150.52
2015-10-02,140.85
2015-10-09,147.2
2015-10-16,145.65
2015-10-23,148.51
2015-10-30,144.86
2015-11-06,156.4
2015-11-13,146.82
2015-11-20,152.21
2015-11-27,152.74
2015-12-04,150.52
2015-12-11,139.81
2015-12-18,140.32
2015-12-25,145.34
2016-01-01,142.93
2016-01-08,129.26
2016-01-15,118.16
2016-01-22,123.66
2016-01-29,122.84
2016-02-05,123.76
2016-02-12,117.46
2016-02-19,127.97
2016-02-26,128.0
2016-03-04,138.03
2016-03-11,139.79
2016-03-18,147.36
2016-03-25,145.86
2016-04-01,148.64
2016-04-08,145.68
2016-04-15,150.87
2016-04-22,154.27
2016-04-29,154.68
2016-05-06,151.43
2016-05-13,145.38
2016-05-20,146.85
2016-05-27,150.17
2016-06-03,150.44
2016-06-10,147.34
2016-06-17,144.35
2016-06-24,141.49
2016-07-01,142.75
2016-07-08,143.79
2016-07-15,150.45
2016-07-22,151.8
2016-07-29,151.68
2016-08-05,162.32
2016-08-12,164.46
2016-08-19,167.56
2016-08-26,166.57
2016-09-02,167.63
2016-09-09,160.85
2016-09-16,164.51
2016-09-23,170.53
2016-09-30,173.73
2016-10-07,172.44
2016-10-14,171.4
2016-10-21,173.7
2016-10-28,173.95
