date,value
2015-01-02,85.4
2015-01-09,87.04
2015-01-16,86.22
2015-01-23,87.72
2015-01-30,83.56
2015-02-06,87.0
2015-02-13,88.66
2015-02-20,89.53
2015-02-27,95.26
2015-03-06,89.45
2015-03-13,89.97
2015-03-20,93.1
2015-03-27,94.44
2015-04-03,95.74
2015-04-10,97.1
2015-04-17,93.74
2015-04-24,94.12
2015-05-01,93.1
2015-05-08,95.67
2015-05-15,96.56
2015-05-22,93.68
2015-05-29,88.9
2015-06-05,88.09
2015-06-12,89.37
2015-06-19,90.56
2015-06-26,90.8
2015-07-03,90.31
2015-07-10,90.69
2015-07-17,91.74
2015-07-24,88.23
2015-07-31,90.64
2015-08-07,91.7
2015-08-14,91.14
2015-08-21,83.79
2015-08-28,87.81
2015-09-04,84.8
2015-09-11,86.24
2015-09-18,89.99
2015-09-25,87.25
2015-10-02,89.64
2015-10-09,93.51
2015-10-16,96.9
2015-10-23,100.11
2015-10-30,99.09
2015-11-06,99.47
2015-11-13,96.18
2015-11-20,99.54
2015-11-27,97.91
2015-12-04,94.84
2015-12-11,91.0
2015-12-18,93.26
2015-12-25,94.59
2016-01-01,92.35
2016-01-08,85.25
2016-01-15,85.43
2016-01-22,87.72
2016-01-29,94.82
2016-02-05,89.71
2016-02-12,88.67
2016-02-19,96.51
2016-02-26,93.31
2016-03-04,95.27
2016-03-11,92.48
2016-03-18,94.05
2016-03-25,92.52
2016-04-01,97.38
2016-04-08,91.38
2016-04-15,91.71
2016-04-22,93.7
2016-04-29,93.19
2016-05-06,90.43
2016-05-13,90.49
2016-05-20,87.97
2016-05-27,91.63
2016-06-03,92.49
2016-06-10,91.56
2016-06-17,90.22
2016-06-24,88.14
2016-07-01,90.37
2016-07-08,89.91
2016-07-15,91.4
2016-07-22,95.33
2016-07-29,89.5
2016-08-05,89.39
2016-08-12,96.48
2016-08-19,98.67
2016-08-26,92.62
2016-09-02,92.85
2016-09-09,89.85
2016-09-16,86.16
2016-09-23,91.76
2016-09-30,92.04
2016-10-07,93.23
2016-10-14,96.56
2016-10-21,98.37
2016-10-28,95.21
2016-11-04,90.37
2016-11-11,81.61
2016-11-18,78.18
2016-11-25,80.13
2016-12-02,76.81
2016-12-09,79.32
2016-12-16,76.52
2016-12-23,75.81
2016-12-30,76.21
2017-01-06,75.3
2017-01-13,75.32
2017-01-20,75.13
2017-01-27,76.74
2017-02-03,78.84
2017-02-10,80.4
2017-02-17,79.9
2017-02-24,82.52
2017-03-03,84.33
2017-03-10,86.1
2017-03-17,89.85
2017-03-24,91.04
2017-03-31,88.52
2017-04-07,92.37
2017-04-14,91.36
2017-04-21,90.68
2017-04-28,90.04
2017-05-05,89.45
2017-05-12,91.43
2017-05-19,91.44
2017-05-26,94.97
2017-06-02,94.2
2017-06-09,94.89
2017-06-16,97.28
2017-06-23,97.01
2017-06-30,98.34
2017-07-07,96.94
2017-07-14,102.9
2017-07-21,103.31
2017-07-28,101.36
2017-08-04,98.99
2017-08-11,99.99
2017-08-18,101.01
2017-08-25,100.32
2017-09-01,99.7
2017-09-08,98.15
2017-09-15,97.46
2017-09-22,99.65
2017-09-29,95.53
2017-10-06,94.6
2017-10-13,94.02
2017-10-20,90.71
2017-10-27,91.36
2017-11-03,85.78
2017-11-10,86.03
2017-11-17,87.57
2017-11-24,90.43
2017-12-01,92.68
2017-12-08,93.44
2017-12-15,93.74
2017-12-22,91.04
2017-12-29,93.9
2018-01-05,95.95
2018-01-12,95.33
2018-01-19,96.65
2018-01-26,100.0
2018-02-02,98.03
2018-02-09,90.04
2018-02-16,92.62
2018-02-23,93.92
2018-03-02,92.08
2018-03-09,93.59
2018-03-16,89.97
2018-03-23,87.63
2018-03-30,91.43
2018-04-06,93.82
2018-04-13,97.68
2018-04-20,96.45
2018-04-27,95.8
2018-05-04,90.46
2018-05-11,86.62
2018-05-18,82.84
2018-05-25,83.28
2018-06-01,83.04
2018-06-08,84.75
2018-06-15,82.25
2018-06-22,85.05
2018-06-29,87.79
2018-07-06,95.72
2018-07-13,95.52
2018-07-20,95.6
2018-07-27,98.37
2018-08-03,97.78
2018-08-10,95.6
2018-08-17,96.45
2018-08-24,97.07
2018-08-31,95.88
2018-09-07,95.32
2018-09-14,97.84
2018-09-21,96.57
2018-09-28,98.97
2018-10-05,97.69
2018-10-12,95.48
2018-10-19,95.51
2018-10-26,92.15
2018-11-02,87.55
2018-11-09,90.17
2018-11-16,86.34
2018-11-23,87.08
2018-11-30,86.75
2018-12-07,82.5
2018-12-14,83.65
2018-12-21,83.52
2018-12-28,85.14
2019-01-04,89.4
2019-01-11,93.35
2019-01-18,93.41
2019-01-25,91.56
2019-02-01,89.89
2019-02-08,93.03
2019-02-15,92.72
2019-02-22,92.35
2019-03-01,90.28
2019-03-08,87.13
2019-03-15,88.98
2019-03-22,91.4
2019-03-29,92.28
2019-04-05,95.76
2019-04-12,96.14
2019-04-19,96.04
2019-04-26,95.55
2019-05-03,99.16
2019-05-10,98.62
2019-05-17,98.2
2019-05-24,97.76
2019-05-31,93.06
2019-06-07,96.53
2019-06-14,97.98
2019-06-21,96.9
2019-06-28,96.75
2019-07-05,97.44
2019-07-12,97.42
2019-07-19,94.12
2019-07-26,91.6
2019-08-02,88.47
2019-08-09,89.78
2019-08-16,88.71
2019-08-23,88.21
2019-08-30,91.36
2019-09-06,93.45
2019-09-13,93.61
2019-09-20,94.49
2019-09-27,91.34
2019-10-04,93.28
2019-10-11,91.6
2019-10-18,91.73
2019-10-25,91.53
2019-11-01,89.1
2019-11-08,92.78
2019-11-15,93.02
2019-11-22,92.27
2019-11-29,90.93
2019-12-06,91.35
2019-12-13,95.32
2019-12-20,94.51
2019-12-27,94.74
2020-01-03,96.66
