date,value
2015-01-02,35.21
2015-01-09,34.88
2015-01-16,36.47
2015-01-23,36.42
2015-01-30,35.1
2015-02-06,35.77
2015-02-13,38.17
2015-02-20,37.92
2015-02-27,36.72
2015-03-06,35.63
2015-03-13,37.05
2015-03-20,37.13
2015-03-27,36.17
2015-04-03,37.25
2015-04-10,37.19
2015-04-17,36.71
2015-04-24,38.25
2015-05-01,35.91
2015-05-08,37.55
2015-05-15,37.99
2015-05-22,37.99
2015-05-29,37.96
2015-06-05,36.86
2015-06-12,36.33
2015-06-19,36.74
2015-06-26,36.87
2015-07-03,37.63
2015-07-10,38.76
2015-07-17,38.27
2015-07-24,38.98
2015-07-31,39.09
2015-08-07,39.05
2015-08-14,39.1
2015-08-21,38.31
2015-08-28,36.88
2015-09-04,35.91
2015-09-11,36.21
2015-09-18,36.72
2015-09-25,36.54
2015-10-02,36.46
2015-10-09,36.39
2015-10-16,36.09
2015-10-23,34.5
2015-10-30,35.28
2015-11-06,35.41
2015-11-13,34.43
2015-11-20,35.61
2015-11-27,35.89
2015-12-04,36.09
2015-12-11,34.34
2015-12-18,32.49
2015-12-25,34.43
2016-01-01,34.67
2016-01-08,32.33
2016-01-15,31.8
2016-01-22,32.04
2016-01-29,32.38
2016-02-05,30.59
2016-02-12,32.55
2016-02-19,32.93
2016-02-26,32.9
2016-03-04,32.61
2016-03-11,32.2
2016-03-18,32.23
2016-03-25,32.94
2016-04-01,33.89
2016-04-08,33.76
2016-04-15,32.86
2016-04-22,32.67
2016-04-29,31.9
2016-05-06,32.9
2016-05-13,33.54
2016-05-20,33.51
2016-05-27,34.55
2016-06-03,34.78
2016-06-10,35.61
2016-06-17,34.76
2016-06-24,34.67
2016-07-01,37.05
2016-07-08,36.87
2016-07-15,37.3
2016-07-22,38.15
2016-07-29,37.67
2016-08-05,36.44
2016-08-12,36.91
2016-08-19,36.9
2016-08-26,37.3
2016-09-02,37.51
2016-09-09,37.7
2016-09-16,36.77
2016-09-23,36.98
2016-09-30,36.91
2016-10-07,36.59
2016-10-14,36.82
2016-10-21,36.65
2016-10-28,35.51
2016-11-04,33.92
2016-11-11,32.34
2016-11-18,33.25
2016-11-25,33.42
2016-12-02,31.79
2016-12-09,34.3
2016-12-16,34.39
2016-12-23,34.02
2016-12-30,33.96
2017-01-06,34.44
2017-01-13,33.65
2017-01-20,34.01
2017-01-27,34.74
2017-02-03,36.56
2017-02-10,37.07
2017-02-17,37.64
2017-02-24,38.49
2017-03-03,37.9
2017-03-10,37.61
2017-03-17,38.58
2017-03-24,38.55
2017-03-31,38.94
2017-04-07,38.22
2017-04-14,38.38
2017-04-21,39.7
2017-04-28,40.95
2017-05-05,41.54
2017-05-12,40.39
2017-05-19,41.18
2017-05-26,42.42
2017-06-02,43.58
2017-06-09,42.69
2017-06-16,43.5
2017-06-23,44.58
2017-06-30,44.83
2017-07-07,44.59
2017-07-14,45.54
2017-07-21,47.57
2017-07-28,48.36
2017-08-04,48.33
2017-08-11,47.06
2017-08-18,47.35
2017-08-25,48.05
2017-09-01,48.12
2017-09-08,47.03
2017-09-15,47.99
2017-09-22,47.66
2017-09-29,47.46
2017-10-06,34.4
2017-10-13,34.07
2017-10-20,35.7
2017-10-27,36.84
2017-11-03,37.98
2017-11-10,38.55
2017-11-17,39.91
2017-11-24,40.54
2017-12-01,40.58
2017-12-08,40.08
2017-12-15,39.52
2017-12-22,39.07
2017-12-29,39.24
2018-01-05,40.81
2018-01-12,40.76
2018-01-19,41.5
2018-01-26,41.2
2018-02-02,37.92
2018-02-09,37.28
2018-02-16,39.08
2018-02-23,39.72
2018-03-02,38.26
2018-03-09,38.62
2018-03-16,39.22
2018-03-23,39.87
2018-03-30,40.02
2018-04-06,38.52
2018-04-13,38.18
2018-04-20,38.05
2018-04-27,36.96
2018-05-04,37.96
2018-05-11,38.27
2018-05-18,38.39
2018-05-25,38.11
2018-06-01,37.66
2018-06-08,37.87
2018-06-15,38.19
2018-06-22,36.77
2018-06-29,37.62
2018-07-06,37.88
2018-07-13,37.08
2018-07-20,40.14
2018-07-27,40.47
2018-08-03,40.19
2018-08-10,40.0
2018-08-17,39.94
2018-08-24,40.63
2018-08-31,40.1
2018-09-07,40.03
2018-09-14,40.47
2018-09-21,39.64
2018-09-28,39.35
2018-10-05,38.74
2018-10-12,35.05
2018-10-19,34.89
2018-10-26,32.32
2018-11-02,32.9
2018-11-09,33.66
2018-11-16,32.61
2018-11-23,32.32
2018-11-30,33.6
2018-12-07,32.49
2018-12-14,31.52
2018-12-21,30.41
2018-12-28,31.11
2019-01-04,32.28
2019-01-11,33.93
2019-01-18,34.43
2019-01-25,35.11
2019-02-01,36.4
2019-02-08,35.09
2019-02-15,34.76
2019-02-22,35.13
2019-03-01,35.37
2019-03-08,35.27
2019-03-15,35.07
2019-03-22,36.53
2019-03-29,36.55
2019-04-05,38.09
2019-04-12,38.8
2019-04-19,38.92
2019-04-26,40.54
2019-05-03,39.52
2019-05-10,39.36
2019-05-17,39.31
2019-05-24,38.85
2019-05-31,38.55
2019-06-07,39.81
2019-06-14,39.86
2019-06-21,40.76
2019-06-28,40.3
2019-07-05,41.0
2019-07-12,41.65
2019-07-19,42.71
2019-07-26,43.33
2019-08-02,42.9
2019-08-09,44.05
2019-08-16,44.23
2019-08-23,43.54
2019-08-30,43.94
2019-09-06,44.58
2019-09-13,43.3
2019-09-20,43.32
2019-09-27,44.43
2019-10-04,44.74
2019-10-11,45.09
2019-10-18,45.45
2019-10-25,45.53
2019-11-01,46.42
2019-11-08,47.0
2019-11-15,47.78
2019-11-22,47.67
2019-11-29,47.63
2019-12-06,47.13
2019-12-13,47.06
2019-12-20,45.41
2019-12-27,45.09
2020-01-03,45.16
