date,value
2015-01-02,41.68
2015-01-09,42.28
2015-01-16,42.22
2015-01-23,43.75
2015-01-30,41.24
2015-02-06,42.04
2015-02-13,42.98
2015-02-20,43.33
2015-02-27,43.76
2015-03-06,41.26
2015-03-13,41.49
2015-03-20,43.34
2015-03-27,43.1
2015-04-03,45.66
2015-04-10,50.79
2015-04-17,50.03
2015-04-24,51.92
2015-05-01,51.8
2015-05-08,50.51
2015-05-15,50.6
2015-05-22,51.34
2015-05-29,48.76
2015-06-05,48.96
2015-06-12,49.1
2015-06-19,46.79
2015-06-26,46.21
2015-07-03,45.81
2015-07-10,42.76
2015-07-17,42.84
2015-07-24,41.74
2015-07-31,40.48
2015-08-07,40.53
2015-08-14,40.43
2015-08-21,36.56
2015-08-28,36.36
2015-09-04,33.58
2015-09-11,36.34
2015-09-18,36.29
2015-09-25,35.26
2015-10-02,37.01
2015-10-09,38.66
2015-10-16,39.76
2015-10-23,40.37
2015-10-30,38.27
2015-11-06,38.95
2015-11-13,37.13
2015-11-20,38.47
2015-11-27,36.93
2015-12-04,37.36
2015-12-11,34.53
2015-12-18,36.175
2015-12-25,36.46
2016-01-01,35.29
2016-01-08,31.62
2016-01-15,29.795
2016-01-22,30.73
2016-01-29,31.2
2016-02-05,29.73
2016-02-12,29.07
2016-02-19,30.46
2016-02-26,30.42
2016-03-04,32.99
2016-03-11,32.86
2016-03-18,33.68
2016-03-25,32.74
2016-04-01,33.58
2016-04-08,32.82
2016-04-15,34.48
2016-04-22,34.35
2016-04-29,33.53
2016-05-06,32.11
2016-05-13,31.24
2016-05-20,31.64
2016-05-27,32.84
2016-06-03,33.77
2016-06-10,33.61
2016-06-17,32.81
2016-06-24,32.48
2016-07-01,34.48
2016-07-08,34.18
2016-07-15,35.46
2016-07-22,35.66
2016-07-29,35.43
2016-08-05,35.94
2016-08-12,37.12
2016-08-19,37.65
2016-08-26,36.93
2016-09-02,38.08
2016-09-09,38.23
2016-09-16,37.73
2016-09-23,38.31
2016-09-30,38.01
2016-10-07,38.49
2016-10-14,37.59
2016-10-21,37.83
2016-10-28,36.85
2016-11-04,36.24
2016-11-11,35.98
2016-11-18,35.94
2016-11-25,37.09
2016-12-02,37.31
2016-12-09,37.47
2016-12-16,35.5
2016-12-23,33.97
2016-12-30,34.71
2017-01-06,35.75
2017-01-13,36.57
2017-01-20,36.29
