date,value
2015-01-02,4.65
2015-01-09,5.54
2015-01-16,5.73
2015-01-23,5.37
2015-01-30,5.9
2015-02-06,5.58
2015-02-13,4.83
2015-02-20,4.26
2015-02-27,4.65
2015-03-06,3.83
2015-03-13,3.69
2015-03-20,4.36
2015-03-27,4.37
2015-04-03,4.23
2015-04-10,4.29
2015-04-17,4.02
2015-04-24,4.1
2015-05-01,4.41
2015-05-08,3.71
2015-05-15,3.84
2015-05-22,3.46
2015-05-29,3.41
2015-06-05,3.19
2015-06-12,3.16
2015-06-19,3.15
2015-06-26,3.26
2015-07-03,3.15
2015-07-10,3.07
2015-07-17,3.08
2015-07-24,2.92
2015-07-31,2.76
2015-08-07,2.48
2015-08-14,2.65
2015-08-21,3.55
2015-08-28,3.23
2015-09-04,2.89
2015-09-11,2.75
2015-09-18,2.87
2015-09-25,2.69
2015-10-02,2.84
2015-10-09,3.01
2015-10-16,2.93
2015-10-23,2.89
2015-10-30,2.53
2015-11-06,2.42
2015-11-13,2.3
2015-11-20,2.5
2015-11-27,2.42
2015-12-04,2.52
2015-12-11,2.74
2015-12-18,2.65
2015-12-25,2.93
2016-01-01,2.77
2016-01-08,3.1
2016-01-15,3.14
2016-01-22,2.9
2016-01-29,3.4
2016-02-05,4.17
2016-02-12,4.56
2016-02-19,3.97
2016-02-26,4.07
2016-03-04,4.1
2016-03-11,4.08
2016-03-18,3.76
2016-03-25,3.64
2016-04-01,3.98
2016-04-08,4.16
2016-04-15,4.08
2016-04-22,4.06
2016-04-29,4.7
2016-05-06,4.62
2016-05-13,4.24
2016-05-20,4.03
2016-05-27,3.5
2016-06-03,4.21
2016-06-10,4.38
2016-06-17,4.31
2016-06-24,4.64
2016-07-01,5.18
2016-07-08,5.66
2016-07-15,5.9
2016-07-22,5.88
2016-07-29,6.21
2016-08-05,6.14
2016-08-12,6.38
2016-08-19,6.37
2016-08-26,5.8
2016-09-02,5.52
2016-09-09,5.06
2016-09-16,4.79
2016-09-23,4.94
2016-09-30,4.85
2016-10-07,4.25
2016-10-14,4.01
2016-10-21,4.34
2016-10-28,4.05
2016-11-04,4.17
2016-11-11,3.39
2016-11-18,3.24
2016-11-25,3.08
2016-12-02,3.16
2016-12-09,2.9
2016-12-16,2.67
2016-12-23,2.84
2016-12-30,3.01
2017-01-06,3.24
2017-01-13,3.44
2017-01-20,3.47
2017-01-27,3.46
2017-02-03,3.58
2017-02-10,3.47
2017-02-17,3.27
2017-02-24,3.25
2017-03-03,3.24
2017-03-10,3.01
2017-03-17,3.47
2017-03-24,3.52
2017-03-31,3.53
2017-04-07,3.73
2017-04-14,4.05
2017-04-21,3.84
2017-04-28,3.25
2017-05-05,3.13
2017-05-12,3.61
2017-05-19,3.78
2017-05-26,3.81
2017-06-02,3.68
2017-06-09,3.75
2017-06-16,3.42
2017-06-23,3.64
2017-06-30,3.48
2017-07-07,3.46
2017-07-14,3.74
2017-07-21,3.78
2017-07-28,4.04
2017-08-04,3.99
2017-08-11,4.14
2017-08-18,4.32
2017-08-25,4.15
2017-09-01,4.45
2017-09-08,4.52
2017-09-15,4.35
2017-09-22,4.3
2017-09-29,4.31
2017-10-06,4.23
2017-10-13,4.12
2017-10-20,3.97
2017-10-27,3.95
2017-11-03,3.96
2017-11-10,3.96
2017-11-17,4.05
2017-11-24,4.08
2017-12-01,4.14
2017-12-08,3.76
2017-12-15,3.97
2017-12-22,4.05
2017-12-29,4.3
2018-01-05,4.31
2018-01-12,4.37
2018-01-19,4.15
2018-01-26,4.37
2018-02-02,4.15
2018-02-09,3.82
2018-02-16,4.09
2018-02-23,3.97
2018-03-02,3.93
2018-03-09,3.89
2018-03-16,3.73
2018-03-23,4.1
2018-03-30,4.02
2018-04-06,3.9
2018-04-13,3.91
2018-04-20,4.02
2018-04-27,3.78
2018-05-04,3.91
2018-05-11,3.86
2018-05-18,3.62
2018-05-25,3.63
2018-06-01,3.55
2018-06-08,3.63
2018-06-15,3.71
2018-06-22,3.54
2018-06-29,3.57
2018-07-06,3.71
2018-07-13,3.56
2018-07-20,3.61
2018-07-27,3.66
2018-08-03,3.64
2018-08-10,3.51
2018-08-17,2.49
2018-08-24,2.54
2018-08-31,2.49
2018-09-07,2.35
2018-09-14,2.36
2018-09-21,2.44
2018-09-28,2.42
2018-10-05,2.48
2018-10-12,2.79
2018-10-19,2.92
2018-10-26,2.74
2018-11-02,2.74
2018-11-09,2.8
2018-11-16,2.96
2018-11-23,3.05
2018-11-30,2.93
2018-12-07,3.17
2018-12-14,3.22
2018-12-21,3.38
2018-12-28,3.46
2019-01-04,3.67
2019-01-11,3.69
2019-01-18,3.58
2019-01-25,3.79
2019-02-01,4.0
2019-02-08,3.62
2019-02-15,3.91
2019-02-22,4.16
2019-03-01,3.92
2019-03-08,3.9
2019-03-15,3.92
2019-03-22,4.14
2019-03-29,3.73
2019-04-05,3.86
2019-04-12,3.81
2019-04-19,3.78
2019-04-26,3.99
2019-05-03,3.71
2019-05-10,3.72
2019-05-17,3.65
2019-05-24,3.88
2019-05-31,4.46
2019-06-07,5.05
2019-06-14,5.27
2019-06-21,5.35
2019-06-28,5.41
2019-07-05,5.18
2019-07-12,5.17
2019-07-19,5.66
2019-07-26,5.41
2019-08-02,5.45
2019-08-09,6.11
2019-08-16,5.39
2019-08-23,6.1
2019-08-30,5.94
2019-09-06,5.21
2019-09-13,4.53
2019-09-20,5.17
2019-09-27,5.09
2019-10-04,5.32
2019-10-11,5.49
2019-10-18,5.58
2019-10-25,5.87
2019-11-01,6.05
2019-11-08,5.07
2019-11-15,5.35
2019-11-22,5.25
2019-11-29,5.35
2019-12-06,5.79
2019-12-13,6.07
2019-12-20,5.96
2019-12-27,6.56
2020-01-03,6.54
