date,value
2015-01-02,54.16
2015-01-09,52.57
2015-01-16,51.85
2015-01-23,51.76
2015-01-30,50.07
2015-02-06,53.01
2015-02-13,54.05
2015-02-20,54.18
2015-02-27,53.25
2015-03-06,53.79
2015-03-13,53.57
2015-03-20,55.66
2015-03-27,54.67
2015-04-03,55.11
2015-04-10,55.86
2015-04-17,56.49
2015-04-24,56.09
2015-05-01,56.38
2015-05-08,57.2
2015-05-15,56.45
2015-05-22,57.68
2015-05-29,57.07
2015-06-05,57.52
2015-06-12,58.19
2015-06-19,58.71
2015-06-26,59.15
2015-07-03,58.82
2015-07-10,58.75
2015-07-17,60.32
2015-07-24,62.16
2015-07-31,61.61
2015-08-07,61.97
2015-08-14,62.5
2015-08-21,59.35
2015-08-28,58.92
2015-09-04,56.9
2015-09-11,57.62
2015-09-18,56.66
2015-09-25,57.39
2015-10-02,56.51
2015-10-09,57.9
2015-10-16,58.08
2015-10-23,59.03
2015-10-30,58.01
2015-11-06,59.76
2015-11-13,58.55
2015-11-20,60.53
2015-11-27,60.95
2015-12-04,60.98
2015-12-11,58.48
2015-12-18,55.36
2015-12-25,57.27
2016-01-01,57.16
2016-01-08,54.42
2016-01-15,52.95
2016-01-22,53.1
2016-01-29,54.34
2016-02-05,52.82
2016-02-12,50.12
2016-02-19,51.88
2016-02-26,52.17
2016-03-04,53.44
2016-03-11,54.82
2016-03-18,55.71
2016-03-25,54.13
2016-04-01,54.69
2016-04-08,53.39
2016-04-15,55.56
2016-04-22,57.13
2016-04-29,57.89
2016-05-06,58.14
2016-05-13,58.3
2016-05-20,59.62
2016-05-27,60.94
2016-06-03,60.45
2016-06-10,60.18
2016-06-17,60.09
2016-06-24,59.61
2016-07-01,61.71
2016-07-08,61.32
2016-07-15,62.55
2016-07-22,62.25
2016-07-29,61.87
2016-08-05,62.11
2016-08-12,61.1
2016-08-19,62.9
2016-08-26,63.44
2016-09-02,65.08
2016-09-09,64.37
2016-09-16,63.84
2016-09-23,63.85
2016-09-30,63.89
2016-10-07,64.38
2016-10-14,63.74
2016-10-21,63.48
2016-10-28,63.37
2016-11-04,63.65
2016-11-11,70.02
2016-11-18,70.06
2016-11-25,71.1
2016-12-02,70.98
2016-12-09,73.69
2016-12-16,73.35
2016-12-23,74.27
2016-12-30,73.76
2017-01-06,74.59
2017-01-13,73.88
2017-01-20,73.99
2017-01-27,74.55
2017-02-03,74.25
2017-02-10,74.92
2017-02-17,77.12
2017-02-24,77.55
2017-03-03,78.19
2017-03-10,78.34
2017-03-17,78.63
2017-03-24,76.59
2017-03-31,77.04
2017-04-07,76.16
2017-04-14,74.48
2017-04-21,76.33
2017-04-28,76.71
2017-05-05,76.83
2017-05-12,75.24
2017-05-19,74.37
2017-05-26,75.23
2017-06-02,76.47
2017-06-09,76.76
2017-06-16,77.24
2017-06-23,75.68
2017-06-30,76.5
2017-07-07,77.64
2017-07-14,78.15
2017-07-21,78.32
2017-07-28,78.89
2017-08-04,79.07
2017-08-11,78.16
2017-08-18,76.61
2017-08-25,77.7
2017-09-01,77.52
2017-09-08,76.07
2017-09-15,77.22
2017-09-22,78.64
2017-09-29,80.09
2017-10-06,80.81
2017-10-13,81.61
2017-10-20,83.12
2017-10-27,84.96
2017-11-03,85.42
2017-11-10,84.26
2017-11-17,85.44
2017-11-24,85.16
2017-12-01,88.53
2017-12-08,89.95
2017-12-15,89.61
2017-12-22,90.69
2017-12-29,90.71
2018-01-05,91.06
2018-01-12,92.25
2018-01-19,92.15
2018-01-26,93.32
2018-02-02,88.21
2018-02-09,82.64
2018-02-16,86.65
2018-02-23,86.51
2018-03-02,82.96
2018-03-09,87.34
2018-03-16,85.59
2018-03-23,80.91
2018-03-30,84.17
2018-04-06,82.98
2018-04-13,84.34
2018-04-20,87.18
2018-04-27,87.52
2018-05-04,85.46
2018-05-11,85.52
2018-05-18,85.64
2018-05-25,85.71
2018-06-01,85.78
2018-06-08,86.24
2018-06-15,84.48
2018-06-22,83.68
2018-06-29,81.41
2018-07-06,82.79
2018-07-13,83.43
2018-07-20,83.47
2018-07-27,87.73
2018-08-03,86.87
2018-08-10,86.61
2018-08-17,88.18
2018-08-24,88.42
2018-08-31,87.92
2018-09-07,88.39
2018-09-14,86.84
2018-09-21,88.89
2018-09-28,86.69
2018-10-05,87.42
2018-10-12,83.98
2018-10-19,86.03
2018-10-26,82.69
2018-11-02,84.73
2018-11-09,86.92
2018-11-16,86.4
2018-11-23,86.06
2018-11-30,86.41
2018-12-07,80.25
2018-12-14,77.14
2018-12-21,72.53
2018-12-28,73.85
2019-01-04,77.67
2019-01-11,80.08
2019-01-18,81.98
2019-01-25,83.27
2019-02-01,84.05
2019-02-08,81.02
2019-02-15,83.36
2019-02-22,82.94
2019-03-01,82.87
2019-03-08,81.15
2019-03-15,83.11
2019-03-22,80.31
2019-03-29,81.95
2019-04-05,85.32
2019-04-12,86.84
2019-04-19,88.74
2019-04-26,87.0
2019-05-03,87.9
2019-05-10,88.24
2019-05-17,87.39
2019-05-24,87.19
2019-05-31,85.51
2019-06-07,88.87
2019-06-14,89.17
2019-06-21,88.08
2019-06-28,89.46
2019-07-05,91.77
2019-07-12,92.05
2019-07-19,91.04
2019-07-26,92.93
2019-08-02,87.65
2019-08-09,88.01
2019-08-16,87.17
2019-08-23,86.13
2019-08-30,89.26
2019-09-06,91.68
2019-09-13,95.35
2019-09-20,94.65
2019-09-27,96.2
2019-10-04,94.51
2019-10-11,94.25
2019-10-18,94.68
2019-10-25,96.39
2019-11-01,98.1
2019-11-08,98.93
2019-11-15,99.23
2019-11-22,100.94
2019-11-29,102.76
2019-12-06,103.3
2019-12-13,105.62
2019-12-20,106.63
2019-12-27,105.86
2020-01-03,104.3
