date,value
2015-01-02,12.76
2015-01-09,12.47
2015-01-16,12.21
2015-01-23,12.05
2015-01-30,11.91
2015-02-06,12.24
2015-02-13,12.3
2015-02-20,12.45
2015-02-27,12.56
2015-03-06,12.63
2015-03-13,12.66
2015-03-20,12.65
2015-03-27,12.48
2015-04-03,12.57
2015-04-10,12.75
2015-04-17,12.64
2015-04-24,12.74
2015-05-01,12.6
2015-05-08,12.42
2015-05-15,12.36
2015-05-22,12.536
2015-05-29,12.2
2015-06-05,12.48
2015-06-12,12.47
2015-06-19,12.38
2015-06-26,12.37
2015-07-03,12.25
2015-07-10,12.28
2015-07-17,12.39
2015-07-24,12.26
2015-07-31,12.31
2015-08-07,12.2
2015-08-14,12.15
2015-08-21,11.64
2015-08-28,11.27
2015-09-04,11.14
2015-09-11,11.18
2015-09-18,11.07
2015-09-25,10.97
2015-10-02,10.79
2015-10-09,11.12
2015-10-16,11.29
2015-10-23,11.31
2015-10-30,11.25
2015-11-06,11.52
2015-11-13,11.06
2015-11-20,10.95
2015-11-27,10.93
2015-12-04,10.85
2015-12-11,10.36
2015-12-18,10.33
2015-12-25,10.55
2016-01-01,10.44
2016-01-08,10.04
2016-01-15,9.24
2016-01-22,9.25
2016-01-29,9.4
2016-02-05,9.25
2016-02-12,9.0
2016-02-19,8.94
2016-02-26,9.12
2016-03-04,9.42
2016-03-11,9.46
2016-03-18,9.49
2016-03-25,9.28
2016-04-01,9.55
2016-04-08,9.41
2016-04-15,9.38
2016-04-22,9.53
2016-04-29,9.47
2016-05-06,9.35
2016-05-13,9.45
2016-05-20,9.3
2016-05-27,9.42
2016-06-03,9.48
2016-06-10,9.41
2016-06-17,9.26
2016-06-24,9.07
2016-07-01,9.4
2016-07-08,9.52
2016-07-15,9.43
2016-07-22,9.56
2016-07-29,9.65
2016-08-05,9.67
2016-08-12,9.69
2016-08-19,9.74
2016-08-26,9.77
2016-09-02,9.89
2016-09-09,9.78
2016-09-16,9.57
2016-09-23,9.69
2016-09-30,9.67
2016-10-07,9.55
2016-10-14,9.48
