date,value
2015-01-02,34.84
2015-01-09,35.59
2015-01-16,33.68
2015-01-23,33.75
2015-01-30,32.62
2015-02-06,36.0
2015-02-13,37.62
2015-02-20,37.65
2015-02-27,37.31
2015-03-06,36.84
2015-03-13,38.05
2015-03-20,38.87
2015-03-27,37.31
2015-04-03,36.5
2015-04-10,36.57
2015-04-17,36.64
2015-04-24,35.59
2015-05-01,35.42
2015-05-08,35.32
2015-05-15,34.91
2015-05-22,35.7
2015-05-29,35.97
2015-06-05,35.12
2015-06-12,35.71
2015-06-19,36.11
2015-06-26,34.38
2015-07-03,33.23
2015-07-10,31.4
2015-07-17,30.65
2015-07-24,31.06
2015-07-31,31.51
2015-08-07,31.74
2015-08-14,31.49
2015-08-21,29.6
2015-08-28,29.0
2015-09-04,28.88
2015-09-11,30.15
2015-09-18,30.51
2015-09-25,29.41
2015-10-02,31.73
2015-10-09,32.95
2015-10-16,33.15
2015-10-23,35.95
2015-10-30,34.91
2015-11-06,35.75
2015-11-13,34.31
2015-11-20,36.34
2015-11-27,36.37
2015-12-04,36.25
2015-12-11,34.55
2015-12-18,33.67
2015-12-25,34.6
2016-01-01,34.01
2016-01-08,29.53
2016-01-15,29.57
2016-01-22,29.28
2016-01-29,29.64
2016-02-05,28.54
2016-02-12,27.71
2016-02-19,28.78
2016-02-26,29.63
2016-03-04,31.37
2016-03-11,31.26
2016-03-18,31.96
2016-03-25,30.96
2016-04-01,30.47
2016-04-08,29.37
2016-04-15,30.56
2016-04-22,32.18
2016-04-29,31.8
2016-05-06,30.96
2016-05-13,30.52
2016-05-20,30.57
2016-05-27,31.39
2016-06-03,29.6
2016-06-10,29.06
2016-06-17,29.23
2016-06-24,28.35
2016-07-01,28.89
2016-07-08,29.66
2016-07-15,30.77
2016-07-22,32.16
2016-07-29,31.54
2016-08-05,30.8
2016-08-12,31.57
2016-08-19,31.83
2016-08-26,31.53
2016-09-02,32.16
2016-09-09,30.48
2016-09-16,30.97
2016-09-23,32.12
2016-09-30,31.77
2016-10-07,32.34
2016-10-14,31.87
