date,value
2015-01-02,30.19
2015-01-09,29.85
2015-01-16,30.49
2015-01-23,31.15
2015-01-30,33.42
2015-02-06,35.05
2015-02-13,37.2
2015-02-20,36.5
2015-02-27,37.01
2015-03-06,39.55
2015-03-13,38.56
2015-03-20,38.7
2015-03-27,37.86
2015-04-03,37.42
2015-04-10,38.115
2015-04-17,37.1
2015-04-24,39.7
2015-05-01,38.39
2015-05-08,40.29
2015-05-15,43.22
2015-05-22,42.6
2015-05-29,44.0
2015-06-05,43.32
2015-06-12,46.21
2015-06-19,43.835
2015-06-26,44.42
2015-07-03,43.18
2015-07-10,45.485
2015-07-17,49.72
2015-07-24,49.175
2015-07-31,47.13
2015-08-07,46.04
2015-08-14,47.635
2015-08-21,43.2
2015-08-28,44.66
2015-09-04,46.17
2015-09-11,49.6
2015-09-18,49.02
2015-09-25,48.66
2015-10-02,47.31
2015-10-09,47.49
2015-10-16,46.54
2015-10-23,48.03
2015-10-30,49.7
2015-11-06,50.725
2015-11-13,52.885
2015-11-20,60.25
2015-11-27,63.37
2015-12-04,68.22
2015-12-11,67.23
2015-12-18,66.7
2015-12-25,67.04
2016-01-01,67.01
2016-01-08,63.83
2016-01-15,62.8
2016-01-22,61.3
2016-01-29,62.45
2016-02-05,55.35
2016-02-12,49.34
2016-02-19,55.5
2016-02-26,61.0
2016-03-04,61.01
2016-03-11,60.22
2016-03-18,62.0
2016-03-25,63.73
2016-04-01,70.27
2016-04-08,72.4
2016-04-15,70.63
2016-04-22,72.8
2016-04-29,73.74
2016-05-06,73.25
2016-05-13,76.4
2016-05-20,84.9
2016-05-27,90.63
2016-06-03,93.979
2016-06-10,88.33
2016-06-17,82.7
2016-06-24,82.9
2016-07-01,92.15
2016-07-08,89.345
2016-07-15,85.07
2016-07-22,84.77
2016-07-29,91.15
2016-08-05,91.16
2016-08-12,87.92
2016-08-19,83.71
2016-08-26,81.54
2016-09-02,79.37
2016-09-09,74.95
2016-09-16,81.56
2016-09-23,86.4
2016-09-30,85.55
2016-10-07,85.32
2016-10-14,83.12
2016-10-21,83.164
2016-10-28,83.37
2016-11-04,88.02
2016-11-11,87.83
2016-11-18,88.75
2016-11-25,89.38
2016-12-02,84.83
2016-12-09,84.48
2016-12-16,80.0
2016-12-23,80.61
2016-12-30,82.913
2017-01-06,92.6
2017-01-13,92.04
2017-01-20,89.775
2017-01-27,95.475
2017-02-03,99.99
2017-02-10,102.0
2017-02-17,100.82
2017-02-24,98.17
2017-03-03,98.77
2017-03-10,100.19
2017-03-17,106.875
2017-03-24,101.92
2017-03-31,96.8
2017-04-07,88.73
2017-04-14,88.92
2017-04-21,93.96
2017-04-28,99.67
2017-05-05,101.18
2017-05-12,100.78
2017-05-19,106.66
2017-05-26,104.61
2017-06-02,110.44
2017-06-09,105.94
2017-06-16,107.8
2017-06-23,111.256
2017-06-30,106.92
2017-07-07,106.44
2017-07-14,109.54
2017-07-21,112.64
2017-07-28,113.15
2017-08-04,112.08
2017-08-11,104.94
2017-08-18,105.15
2017-08-25,112.14
2017-09-01,116.43
2017-09-08,117.23
2017-09-15,113.75
2017-09-22,114.87
2017-09-29,110.56
2017-10-06,110.1
2017-10-13,113.81
2017-10-20,105.41
2017-10-27,101.06
2017-11-03,93.82
2017-11-10,89.97
2017-11-17,97.15
2017-11-24,95.21
2017-12-01,96.83
2017-12-08,94.465
2017-12-15,82.32
2017-12-22,83.135
2017-12-29,82.88
2018-01-05,89.06
2018-01-12,93.96
2018-01-19,96.21
2018-01-26,94.6975
2018-02-02,88.915
2018-02-09,86.5
2018-02-16,91.48
2018-02-23,103.42
2018-03-02,101.76
2018-03-09,104.68
2018-03-16,104.32
2018-03-23,103.75
2018-03-30,108.41
2018-04-06,100.65
2018-04-13,99.79
2018-04-20,104.32
2018-04-27,103.05
2018-05-04,20.53
2018-05-11,20.99
2018-05-18,20.68
2018-05-25,18.87
2018-06-01,15.49
2018-06-08,15.14
2018-06-15,15.32
2018-06-22,15.64
2018-06-29,15.32
2018-07-06,16.155
2018-07-13,16.98
2018-07-20,17.88
2018-07-27,17.8
2018-08-03,17.2
2018-08-10,16.24
2018-08-17,16.34
2018-08-24,16.64
2018-08-31,17.365
2018-09-07,16.555
2018-09-14,17.01
2018-09-21,16.525
2018-09-28,15.75
2018-10-05,15.285
2018-10-12,14.35
2018-10-19,14.205
2018-10-26,12.53
2018-11-02,14.81
2018-11-09,15.05
2018-11-16,14.045
2018-11-23,14.98
2018-11-30,15.385
2018-12-07,15.185
2018-12-14,16.03
2018-12-21,16.13
2018-12-28,16.35
2019-01-04,16.41
2019-01-11,16.58
2019-01-18,15.635
2019-01-25,14.585
2019-02-01,14.76
2019-02-08,14.675
2019-02-15,15.37
2019-02-22,16.355
2019-03-01,17.765
2019-03-08,17.29
2019-03-15,17.105
2019-03-22,17.495
2019-03-29,17.44
2019-04-05,17.92
2019-04-12,17.52
2019-04-19,16.905
2019-04-26,16.94
2019-05-03,16.75
2019-05-10,16.6599
2019-05-17,17.205
2019-05-24,18.4499
2019-05-31,17.4
2019-06-07,17.8401
2019-06-14,17.74
2019-06-21,18.39
2019-06-28,18.474
2019-07-05,18.14
2019-07-12,18.8199
2019-07-19,18.1
2019-07-26,18.59
2019-08-02,18.29
2019-08-09,18.94
2019-08-16,20.03
2019-08-23,20.11
2019-08-30,20.38
2019-09-06,20.86
2019-09-13,20.06
2019-09-20,20.46
2019-09-27,19.77
2019-10-04,19.46
2019-10-11,19.48
2019-10-18,21.05
2019-10-25,21.09
2019-11-01,22.13
2019-11-08,22.08
2019-11-15,22.34
2019-11-22,22.72
2019-11-29,23.41
2019-12-06,23.8
2019-12-13,22.17
2019-12-20,21.7
2019-12-27,22.27
2020-01-03,21.49
