date,value
2015-01-02,25.29
2015-01-09,25.46
2015-01-16,25.6101
2015-01-23,25.67
2015-01-30,25.89
2015-02-06,25.41
2015-02-13,25.3268
2015-02-20,25.25
2015-02-27,25.41
2015-03-06,25.1
2015-03-13,25.275
2015-03-20,25.5
2015-03-27,25.52
2015-04-03,25.55
2015-04-10,25.48
2015-04-17,25.61
2015-04-24,25.54
2015-05-01,25.26
2015-05-08,25.2233
2015-05-15,25.24
2015-05-22,25.16
2015-05-29,25.26
2015-06-05,24.95
2015-06-12,24.969
2015-06-19,25.11
2015-06-26,24.9
2015-07-03,24.98
2015-07-10,24.98
2015-07-17,25.06
2015-07-24,25.17
2015-07-31,25.2578
2015-08-07,25.27
2015-08-14,25.25
2015-08-21,25.44
2015-08-28,25.22
2015-09-04,25.27
2015-09-11,25.22
2015-09-18,25.31
2015-09-25,25.27
2015-10-02,25.49
2015-10-09,25.33
2015-10-16,25.45
2015-10-23,25.38
2015-10-30,25.31
2015-11-06,25.0
2015-11-13,25.09
2015-11-20,25.11
2015-11-27,25.13
2015-12-04,25.07
2015-12-11,25.28
2015-12-18,25.2
2015-12-25,25.11
2016-01-01,25.06
2016-01-08,25.27
2016-01-15,25.42
2016-01-22,25.43
2016-01-29,25.6
2016-02-05,25.69
2016-02-12,25.82
2016-02-19,25.8
2016-02-26,25.76
2016-03-04,25.59
2016-03-11,25.48
2016-03-18,25.65
2016-03-25,25.64
2016-04-01,25.77
2016-04-08,25.89
2016-04-15,25.83
2016-04-22,25.65
2016-04-29,25.71
2016-05-06,25.77
2016-05-13,25.88
2016-05-20,25.695
2016-05-27,25.67
2016-06-03,25.89
2016-06-10,25.99
2016-06-17,26.06
2016-06-24,26.11
2016-07-01,26.3
2016-07-08,26.43
2016-07-15,26.13
2016-07-22,26.14
2016-07-29,26.33
2016-08-05,26.11
2016-08-12,26.18
2016-08-19,26.12
2016-08-26,26.07
2016-09-02,26.07
2016-09-09,25.96
2016-09-16,25.93
2016-09-23,26.05
2016-09-30,26.08
2016-10-07,25.87
2016-10-14,25.77
2016-10-21,25.86
2016-10-28,25.72
2016-11-04,25.8
2016-11-11,25.24
2016-11-18,25.06
2016-11-25,25.03
2016-12-02,24.98
2016-12-09,24.87
2016-12-16,24.75
2016-12-23,24.81
2016-12-30,24.93
2017-01-06,25.0
2017-01-13,25.025
2017-01-20,24.97
2017-01-27,24.96
2017-02-03,24.95
2017-02-10,25.05
2017-02-17,25.01
2017-02-24,25.16
2017-03-03,24.89
2017-03-10,24.78
2017-03-17,24.89
2017-03-24,25.03
2017-03-31,25.05
2017-04-07,25.06
2017-04-14,25.28
2017-04-21,25.27
2017-04-28,25.2
2017-05-05,25.1
2017-05-12,25.13
2017-05-19,25.27
2017-05-26,25.27
2017-06-02,25.36
2017-06-09,25.3
2017-06-16,25.38
2017-06-23,25.42
2017-06-30,25.26
2017-07-07,25.12
2017-07-14,25.21
2017-07-21,25.35
2017-07-28,25.26
2017-08-04,25.295
2017-08-11,25.405
2017-08-18,25.41
2017-08-25,25.45
2017-09-01,25.415
2017-09-08,25.57
2017-09-15,25.38
2017-09-22,25.31
2017-09-29,25.24
2017-10-06,25.15
2017-10-13,25.26
2017-10-20,25.15
2017-10-27,25.1
2017-11-03,25.21
2017-11-10,25.12
2017-11-17,25.18
2017-11-24,25.19
2017-12-01,25.15
2017-12-08,25.15
2017-12-15,25.19
2017-12-22,24.96
2017-12-29,25.08
2018-01-05,25.01
2018-01-12,24.92
2018-01-19,24.83
2018-01-26,24.82
2018-02-02,24.57
2018-02-09,24.56
2018-02-16,24.53
2018-02-23,24.51
2018-03-02,24.52
2018-03-09,24.49
2018-03-16,24.58
2018-03-23,24.63
2018-03-30,24.69
2018-04-06,24.67
2018-04-13,24.6
2018-04-20,24.43
2018-04-27,24.44
2018-05-04,24.44
2018-05-11,24.41
2018-05-18,24.32
2018-05-25,24.53
2018-06-01,24.51
2018-06-08,24.47
2018-06-15,24.49
2018-06-22,24.54
2018-06-29,24.63
2018-07-06,24.63
2018-07-13,24.63
2018-07-20,24.57
2018-07-27,24.46
2018-08-03,24.44
2018-08-10,24.57
2018-08-17,24.6
2018-08-24,24.65
2018-08-31,24.61
2018-09-07,24.47
2018-09-14,24.39
2018-09-21,24.33
2018-09-28,24.34
2018-10-05,24.09
2018-10-12,24.17
2018-10-19,24.15
2018-10-26,24.3
2018-11-02,24.08
2018-11-09,24.12
2018-11-16,24.29
2018-11-23,24.31
2018-11-30,24.37
2018-12-07,24.54
2018-12-14,24.54
2018-12-21,24.67
2018-12-28,24.755
2019-01-04,24.86
2019-01-11,24.79
2019-01-18,24.69
2019-01-25,24.76
2019-02-01,24.79
2019-02-08,24.88
2019-02-15,24.86
2019-02-22,24.865
2019-03-01,24.68
2019-03-08,24.89
2019-03-15,24.92
2019-03-22,25.15
2019-03-29,25.24
2019-04-05,25.06
2019-04-12,24.98
2019-04-19,25.0
2019-04-26,25.1
2019-05-03,25.04
2019-05-10,25.14
2019-05-17,25.25
2019-05-24,25.37
2019-05-31,25.65
2019-06-07,25.67
2019-06-14,25.69
2019-06-21,25.72
2019-06-28,25.82
2019-07-05,25.72
2019-07-12,25.61
2019-07-19,25.71
2019-07-26,25.69
2019-08-02,25.98
2019-08-09,26.19
2019-08-16,26.535
2019-08-23,26.54
2019-08-30,26.59
2019-09-06,26.5
2019-09-13,25.93
2019-09-20,26.22
2019-09-27,26.29
2019-10-04,26.56
2019-10-11,26.21
2019-10-18,26.19
2019-10-25,26.1
2019-11-01,26.21
2019-11-08,25.86
2019-11-15,26.05
2019-11-22,26.16
2019-11-29,26.17
2019-12-06,26.04
2019-12-13,26.08
2019-12-20,25.92
2019-12-27,25.99
2020-01-03,26.12
