date,value
2015-01-02,42.37
2015-01-09,42.8
2015-01-16,43.7
2015-01-23,45.01
2015-01-30,44.0
2015-02-06,46.0
2015-02-13,47.94
2015-02-20,47.35
2015-02-27,47.42
2015-03-06,46.73
2015-03-13,46.37
2015-03-20,48.81
2015-03-27,47.02
2015-04-03,46.71
2015-04-10,48.23
2015-04-17,47.29
2015-04-24,46.59
2015-05-01,45.97
2015-05-08,45.28
2015-05-15,44.77
2015-05-22,45.26
2015-05-29,44.37
2015-06-05,42.56
2015-06-12,42.71
2015-06-19,43.06
2015-06-26,42.89
2015-07-03,42.26
2015-07-10,42.45
2015-07-17,42.96
2015-07-24,41.39
2015-07-31,43.44
2015-08-07,44.82
2015-08-14,43.97
2015-08-21,41.23
2015-08-28,41.25
2015-09-04,39.69
2015-09-11,40.26
2015-09-18,39.97
2015-09-25,38.48
2015-10-02,39.5
2015-10-09,40.22
2015-10-16,41.96
2015-10-23,42.11
2015-10-30,43.06
2015-11-06,41.92
2015-11-13,39.87
2015-11-20,41.12
2015-11-27,40.96
2015-12-04,40.27
2015-12-11,39.31
2015-12-18,39.43
2015-12-25,40.93
2016-01-01,40.35
2016-01-08,39.42
2016-01-15,38.9
2016-01-22,40.03
2016-01-29,41.29
2016-02-05,40.76
2016-02-12,39.76
2016-02-19,39.76
2016-02-26,39.14
2016-03-04,39.14
2016-03-11,40.35
2016-03-18,40.08
2016-03-25,39.56
2016-04-01,40.34
2016-04-08,41.55
2016-04-15,42.88
2016-04-22,43.07
2016-04-29,42.91
2016-05-06,42.13
2016-05-13,41.91
2016-05-20,42.01
2016-05-27,42.75
2016-06-03,42.89
2016-06-10,40.93
2016-06-17,40.33
2016-06-24,40.8
2016-07-01,43.17
2016-07-08,43.38
2016-07-15,43.92
2016-07-22,43.88
2016-07-29,45.07
2016-08-05,44.89
2016-08-12,44.17
2016-08-19,44.16
2016-08-26,43.55
2016-09-02,44.26
2016-09-09,42.5
2016-09-16,42.88
2016-09-23,43.42
2016-09-30,43.13
2016-10-07,42.96
2016-10-14,41.68
2016-10-21,41.13
2016-10-28,40.14
2016-11-04,38.63
2016-11-11,39.19
2016-11-18,38.11
2016-11-25,38.86
2016-12-02,37.7
2016-12-09,37.79
2016-12-16,38.54
2016-12-23,38.35
2016-12-30,38.51
2017-01-06,39.38
2017-01-13,39.22
2017-01-20,38.72
2017-01-27,38.73
2017-02-03,39.32
2017-02-10,40.28
2017-02-17,41.34
2017-02-24,41.56
2017-03-03,41.99
2017-03-10,41.37
2017-03-17,42.27
2017-03-24,42.31
2017-03-31,42.16
2017-04-07,41.47
2017-04-14,41.81
2017-04-21,40.78
2017-04-28,40.9
2017-05-05,41.78
2017-05-12,43.26
2017-05-19,43.6
2017-05-26,42.67
2017-06-02,44.37
2017-06-09,43.51
2017-06-16,43.82
2017-06-23,44.29
2017-06-30,43.12
2017-07-07,42.26
2017-07-14,42.75
2017-07-21,42.66
2017-07-28,40.93
2017-08-04,40.53
2017-08-11,38.79
2017-08-18,38.75
2017-08-25,39.47
2017-09-01,40.2
2017-09-08,40.05
2017-09-15,40.24
2017-09-22,40.58
2017-09-29,40.6
2017-10-06,40.61
2017-10-13,41.01
2017-10-20,40.84
2017-10-27,36.23
2017-11-03,36.15
2017-11-10,35.3
2017-11-17,35.06
2017-11-24,35.04
2017-12-01,35.32
2017-12-08,35.17
2017-12-15,34.99
2017-12-22,35.13
2017-12-29,35.47
2018-01-05,37.51
2018-01-12,37.5
2018-01-19,38.2
2018-01-26,39.04
2018-02-02,37.1
2018-02-09,36.49
2018-02-16,37.7
2018-02-23,36.84
2018-03-02,36.22
2018-03-09,37.36
2018-03-16,37.28
2018-03-23,37.42
2018-03-30,39.07
2018-04-06,39.93
2018-04-13,40.58
2018-04-20,40.0
2018-04-27,40.56
2018-05-04,39.82
2018-05-11,40.03
2018-05-18,40.03
2018-05-25,39.85
2018-06-01,40.75
2018-06-08,41.02
2018-06-15,41.44
2018-06-22,40.89
2018-06-29,40.31
2018-07-06,41.02
2018-07-13,41.74
2018-07-20,41.87
2018-07-27,40.76
2018-08-03,40.82
2018-08-10,40.15
2018-08-17,41.25
2018-08-24,41.28
2018-08-31,40.5
2018-09-07,39.6
2018-09-14,39.01
2018-09-21,40.3
2018-09-28,40.17
2018-10-05,39.81
2018-10-12,38.31
2018-10-19,40.87
2018-10-26,39.32
2018-11-02,38.84
2018-11-09,41.3
2018-11-16,40.34
2018-11-23,40.66
2018-11-30,41.87
2018-12-07,37.3
2018-12-14,37.61
2018-12-21,37.58
2018-12-28,38.15
2019-01-04,38.62
2019-01-11,39.38
2019-01-18,39.06
2019-01-25,38.42
2019-02-01,39.2
2019-02-08,41.09
2019-02-15,41.24
2019-02-22,40.55
2019-03-01,40.39
2019-03-08,40.12
2019-03-15,40.63
2019-03-22,41.25
2019-03-29,41.79
2019-04-05,41.6
2019-04-12,40.6
2019-04-19,39.85
2019-04-26,40.4
2019-05-03,40.75
2019-05-10,39.53
2019-05-17,39.46
2019-05-24,40.18
2019-05-31,38.64
2019-06-07,39.8
2019-06-14,40.12
2019-06-21,40.27
2019-06-28,40.02
2019-07-05,40.85
2019-07-12,40.42
2019-07-19,40.96
2019-07-26,41.91
2019-08-02,41.05
2019-08-09,40.47
2019-08-16,40.19
2019-08-23,41.19
2019-08-30,41.58
2019-09-06,42.09
2019-09-13,40.89
2019-09-20,41.63
2019-09-27,42.34
2019-10-04,41.99
2019-10-11,42.18
2019-10-18,42.53
2019-10-25,43.82
2019-11-01,45.27
2019-11-08,44.42
2019-11-15,44.09
2019-11-22,44.01
2019-11-29,45.48
2019-12-06,45.51
2019-12-13,45.98
2019-12-20,47.32
2019-12-27,47.29
2020-01-03,46.48
