date,value
2019-06-07,10.0
2019-06-14,9.5
2019-06-21,9.6
2019-06-28,10.79
2019-07-05,10.6
2019-07-12,9.12
2019-07-19,10.34
2019-07-26,13.0
2019-08-02,12.79
2019-08-09,13.36
2019-08-16,13.45
2019-08-23,13.57
2019-08-30,14.32
2019-09-06,12.3
2019-09-13,13.44
2019-09-20,14.59
2019-09-27,15.02
2019-10-04,14.7
2019-10-11,14.31
2019-10-18,14.25
2019-10-25,15.41
2019-11-01,16.29
2019-11-08,15.31
2019-11-15,14.91
2019-11-22,18.57
2019-11-29,17.59
2019-12-06,19.63
2019-12-13,20.49
2019-12-20,20.93
2019-12-27,21.91
2020-01-03,23.43
