date,value
2016-02-12,50.06
2016-02-19,49.98
2016-02-26,50.13
2016-03-04,49.88
2016-03-11,49.88
2016-03-18,49.77
2016-03-25,50.252
2016-04-01,50.395
2016-04-08,50.715
2016-04-15,50.65
2016-04-22,50.57
2016-04-29,50.6226
2016-05-06,50.6493
2016-05-13,50.755
2016-05-20,50.71
2016-05-27,50.795
2016-06-03,50.988
2016-06-10,51.17
2016-06-17,50.94
2016-06-24,51.37
2016-07-01,51.42
2016-07-08,51.9499
2016-07-15,51.68
2016-07-22,52.1
2016-07-29,52.32
2016-08-05,52.1899
2016-08-12,52.5
2016-08-19,52.33
2016-08-26,52.38
2016-09-02,52.3499
2016-09-09,52.0
2016-09-16,52.29
2016-09-23,52.44
2016-09-30,52.5
2016-10-07,52.2634
2016-10-14,52.21
2016-10-21,52.2737
2016-10-28,52.01
2016-11-04,52.05
2016-11-11,51.1
2016-11-18,50.9922
2016-11-25,50.93
2016-12-02,50.89
2016-12-09,50.79
2016-12-16,50.86
2016-12-23,50.84
2016-12-30,50.58
2017-01-06,50.7949
2017-01-13,50.9899
2017-01-20,51.01
2017-01-27,50.9262
2017-02-03,50.8203
2017-02-10,51.1599
2017-02-17,51.2525
2017-02-24,51.4486
2017-03-03,51.0634
2017-03-10,50.91
2017-03-17,51.0
2017-03-24,51.3675
2017-03-31,51.4596
2017-04-07,51.52
2017-04-14,51.8
2017-04-21,51.87
2017-04-28,51.91
2017-05-05,51.79
2017-05-12,51.87
2017-05-19,51.94
2017-05-26,52.04
2017-06-02,52.18
2017-06-09,52.1
2017-06-16,52.315
2017-06-23,52.51
2017-06-30,52.25
2017-07-07,51.9799
2017-07-14,52.0756
2017-07-21,52.485
2017-07-28,52.3792
2017-08-04,52.27
2017-08-11,52.385
2017-08-18,52.555
2017-08-25,52.63
2017-09-01,52.5199
2017-09-08,52.68
2017-09-15,52.61
2017-09-22,52.67
2017-09-29,52.55
2017-10-06,52.51
2017-10-13,52.77
2017-10-20,52.65
2017-10-27,52.675
2017-11-03,52.826
2017-11-10,52.64
2017-11-17,52.89
2017-11-24,52.831
2017-12-01,52.9302
2017-12-08,53.07
2017-12-15,53.17
2017-12-22,52.92
2017-12-29,52.805
2018-01-05,52.68
2018-01-12,52.68
2018-01-19,52.56
2018-01-26,52.62
2018-02-02,52.41
2018-02-09,52.169
2018-02-16,52.26
2018-02-23,52.13
2018-03-02,52.09
2018-03-09,51.98
2018-03-16,52.137
2018-03-23,52.192
2018-03-30,52.318
2018-04-06,52.244
2018-04-13,52.285
2018-04-20,51.9
2018-04-27,51.771
2018-05-04,51.83
2018-05-11,51.7
2018-05-18,51.45
2018-05-25,51.784
2018-06-01,52.04
2018-06-08,51.71
2018-06-15,51.813
2018-06-22,51.899
2018-06-29,51.99
2018-07-06,51.989
2018-07-13,52.07
2018-07-20,51.999
2018-07-27,51.776
2018-08-03,51.714
2018-08-10,51.988
2018-08-17,52.125
2018-08-24,52.18
2018-08-31,52.121
2018-09-07,51.83
2018-09-14,51.74
2018-09-21,51.648
2018-09-28,51.52
2018-10-05,51.1
2018-10-12,51.375
2018-10-19,51.179
2018-10-26,51.065
2018-11-02,50.878
2018-11-09,50.04
2018-11-16,50.97
2018-11-23,50.82
2018-11-30,50.8
2018-12-07,51.095
2018-12-14,51.075
2018-12-21,51.22
2018-12-28,50.11
2019-01-04,50.265
2019-01-11,50.45
2019-01-18,50.46
2019-01-25,50.475
2019-02-01,50.69
2019-02-08,51.1
2019-02-15,50.99
2019-02-22,50.965
2019-03-01,50.8
2019-03-08,51.12
2019-03-15,51.2384
2019-03-22,51.591
2019-03-29,51.745
2019-04-05,51.66
2019-04-12,51.645
2019-04-19,51.75
2019-04-26,51.825
2019-05-03,51.795
2019-05-10,51.95
2019-05-17,52.11
2019-05-24,52.18
2019-05-31,52.62
2019-06-07,52.8337
2019-06-14,52.89
2019-06-21,53.18
2019-06-28,53.257
2019-07-05,53.255
2019-07-12,53.135
2019-07-19,53.384
2019-07-26,53.232
2019-08-02,53.768
2019-08-09,53.985
2019-08-16,54.456
2019-08-23,54.58
2019-08-30,54.665
2019-09-06,54.645
2019-09-13,53.58
2019-09-20,54.28
2019-09-27,54.316
2019-10-04,54.77
2019-10-11,54.116
2019-10-18,54.222
2019-10-25,54.091
2019-11-01,54.425
2019-11-08,53.875
2019-11-15,54.25
2019-11-22,54.382
2019-11-29,54.476
2019-12-06,54.375
2019-12-13,54.585
2019-12-20,54.481
2019-12-27,54.27
2020-01-03,54.55
