date,value
2015-01-02,59.56
2015-01-09,58.56
2015-01-16,56.08
2015-01-23,58.02
2015-01-30,56.26
2015-02-06,56.63
2015-02-13,59.51
2015-02-20,59.27
2015-02-27,60.54
2015-03-06,58.89
2015-03-13,58.71
2015-03-20,59.42
2015-03-27,58.7
2015-04-03,58.53
2015-04-10,59.09
2015-04-17,57.35
2015-04-24,58.38
2015-05-01,59.09
2015-05-08,59.22
2015-05-15,59.41
2015-05-22,58.59
2015-05-29,57.46
2015-06-05,56.94
2015-06-12,57.58
2015-06-19,57.46
2015-06-26,57.98
2015-07-03,57.83
2015-07-10,58.1
2015-07-17,58.99
2015-07-24,56.0
2015-07-31,55.83
2015-08-07,52.29
2015-08-14,53.14
2015-08-21,51.19
2015-08-28,52.38
2015-09-04,50.21
2015-09-11,51.73
2015-09-18,49.58
2015-09-25,48.29
2015-10-02,48.72
2015-10-09,52.12
2015-10-16,49.8
2015-10-23,49.7
2015-10-30,50.4
2015-11-06,51.96
2015-11-13,49.53
2015-11-20,49.51
2015-11-27,49.55
2015-12-04,49.46
2015-12-11,48.03
2015-12-18,48.16
2015-12-25,48.2
2016-01-01,47.02
2016-01-08,41.26
2016-01-15,36.99
2016-01-22,38.66
2016-01-29,38.68
2016-02-05,39.63
2016-02-12,39.61
2016-02-19,45.58
2016-02-26,46.12
2016-03-04,48.16
2016-03-11,47.23
2016-03-18,47.41
2016-03-25,47.26
2016-04-01,48.46
2016-04-08,46.88
2016-04-15,48.09
2016-04-22,46.5
2016-04-29,47.88
2016-05-06,48.75
2016-05-13,47.81
2016-05-20,45.66
2016-05-27,46.38
2016-06-03,47.57
2016-06-10,47.5
2016-06-17,48.8
2016-06-24,47.33
2016-07-01,49.79
2016-07-08,49.8
2016-07-15,50.88
2016-07-22,51.38
2016-07-29,50.44
2016-08-05,52.53
2016-08-12,52.63
2016-08-19,54.11
2016-08-26,54.08
2016-09-02,53.33
2016-09-09,50.44
2016-09-16,50.19
2016-09-23,50.35
2016-09-30,49.22
2016-10-07,49.99
2016-10-14,50.07
2016-10-21,50.32
2016-10-28,49.94
2016-11-04,50.61
2016-11-11,52.98
2016-11-18,53.65
2016-11-25,54.03
2016-12-02,53.38
2016-12-09,56.51
2016-12-16,57.69
2016-12-23,56.44
2016-12-30,55.26
2017-01-06,54.97
2017-01-13,55.31
2017-01-20,54.44
2017-01-27,55.6
2017-02-03,55.74
2017-02-10,56.15
2017-02-17,53.55
2017-02-24,51.87
2017-03-03,51.82
2017-03-10,51.4
2017-03-17,53.26
2017-03-24,52.62
2017-03-31,53.98
2017-04-07,53.29
2017-04-14,53.9
2017-04-21,55.09
2017-04-28,55.5
2017-05-05,58.06
2017-05-12,58.41
2017-05-19,58.02
2017-05-26,57.52
2017-06-02,57.91
2017-06-09,56.56
2017-06-16,57.87
2017-06-23,57.7
2017-06-30,56.21
2017-07-07,55.32
2017-07-14,54.97
2017-07-21,55.21
2017-07-28,55.43
2017-08-04,60.35
2017-08-11,56.5
2017-08-18,56.01
2017-08-25,57.82
2017-09-01,59.66
2017-09-08,59.56
2017-09-15,60.52
2017-09-22,61.29
2017-09-29,61.79
2017-10-06,61.6
2017-10-13,61.42
2017-10-20,61.85
2017-10-27,62.52
2017-11-03,67.36
2017-11-10,69.83
2017-11-17,69.88
2017-11-24,71.34
2017-12-01,72.46
2017-12-08,72.29
2017-12-15,71.25
2017-12-22,72.96
2017-12-29,73.54
2018-01-05,73.22
2018-01-12,78.93
2018-01-19,79.74
2018-01-26,81.63
2018-02-02,79.3
2018-02-09,76.98
2018-02-16,79.73
2018-02-23,79.94
2018-03-02,76.56
2018-03-09,80.14
2018-03-16,79.98
2018-03-23,76.36
2018-03-30,76.26
2018-04-06,74.91
2018-04-13,75.95
2018-04-20,78.24
2018-04-27,77.07
2018-05-04,78.46
2018-05-11,81.6
2018-05-18,81.19
2018-05-25,80.86
2018-06-01,84.18
2018-06-08,82.63
