date,value
2015-07-17,25.35
2015-07-24,25.4
2015-07-31,25.87
2015-08-07,25.78
2015-08-14,24.19
2015-08-21,24.19
2015-08-28,21.86
2015-09-04,21.86
2015-09-11,23.37
2015-09-18,23.37
2015-09-25,22.94
2015-10-02,22.94
2015-10-09,22.94
2015-10-16,24.14
2015-10-23,24.05
2015-10-30,24.29
2015-11-06,23.58
2015-11-13,22.86
2015-11-20,24.01
2015-11-27,23.82
2015-12-04,22.01
2015-12-11,20.87
2015-12-18,21.44
2015-12-25,21.93
2016-01-01,21.27
2016-01-08,21.81
2016-01-15,20.32
2016-01-22,20.32
2016-01-29,20.25
2016-02-05,20.1
2016-02-12,19.41
2016-02-19,20.25
2016-02-26,19.85
2016-03-04,20.88
2016-03-11,20.88
2016-03-18,20.88
2016-03-25,20.88
2016-04-01,20.63
2016-04-08,20.52
2016-04-15,20.01
2016-04-22,21.63
2016-04-29,21.63
2016-05-06,21.63
2016-05-13,21.83
2016-05-20,22.11
2016-05-27,22.11
2016-06-03,21.84
2016-06-10,22.11
2016-06-17,22.11
2016-06-24,22.11
2016-07-01,21.49
2016-07-08,21.16
2016-07-15,22.08
2016-07-22,22.3
2016-07-29,22.49
2016-08-05,22.02
2016-08-12,22.38
2016-08-19,22.38
2016-08-26,22.38
2016-09-02,21.89
2016-09-09,21.54
2016-09-16,21.54
2016-09-23,22.07
2016-09-30,22.07
2016-10-07,22.45
2016-10-14,22.45
2016-10-21,22.29
2016-10-28,22.3
2016-11-04,21.23
2016-11-11,21.57
2016-11-18,22.18
2016-11-25,22.64
2016-12-02,22.64
2016-12-09,22.54
2016-12-16,23.11
2016-12-23,23.36
2016-12-30,22.89
2017-01-06,23.26
2017-01-13,23.3
2017-01-20,22.86
2017-01-27,23.03
2017-02-03,22.85
2017-02-10,23.0
2017-02-17,23.62
2017-02-24,23.44
2017-03-03,23.6
2017-03-10,23.52
2017-03-17,23.62
2017-03-24,23.54
2017-03-31,24.17
2017-04-07,24.17
2017-04-14,24.08
2017-04-21,24.08
2017-04-28,24.37
2017-05-05,24.36
2017-05-12,23.97
2017-05-19,23.57
2017-05-26,23.78
2017-06-02,23.62
2017-06-09,23.1
2017-06-16,23.5
2017-06-23,23.31
2017-06-30,23.31
2017-07-07,22.8
2017-07-14,22.84
2017-07-21,22.81
2017-07-28,23.16
2017-08-04,23.16
2017-08-11,22.95
2017-08-18,23.32
2017-08-25,23.32
2017-09-01,23.32
2017-09-08,22.98
2017-09-15,23.29
2017-09-22,22.96
2017-09-29,22.96
2017-10-06,23.2
2017-10-13,23.2
2017-10-20,23.2
2017-10-27,23.79
2017-11-03,23.79
2017-11-10,24.39
2017-11-17,24.39
2017-11-24,24.39
2017-12-01,24.39
2017-12-08,24.12
2017-12-15,25.23
2017-12-22,24.5
2017-12-29,24.5
2018-01-05,24.11
2018-01-12,24.43
2018-01-19,23.79
2018-01-26,23.9
2018-02-02,23.9
2018-02-09,22.42
2018-02-16,23.41
2018-02-23,23.89
2018-03-02,23.6
2018-03-09,23.82
2018-03-16,23.8
2018-03-23,22.91
2018-03-30,23.1
2018-04-06,22.98
2018-04-13,23.29
2018-04-20,23.39
2018-04-27,23.39
2018-05-04,23.91
2018-05-11,24.38
2018-05-18,24.49
2018-05-25,24.08
2018-06-01,24.08
2018-06-08,24.09
2018-06-15,24.09
2018-06-22,24.54
2018-06-29,24.54
2018-07-06,24.54
2018-07-13,24.6
2018-07-20,24.7
2018-07-27,24.7
2018-08-03,24.68
2018-08-10,24.99
2018-08-17,25.27
2018-08-24,24.79
2018-08-31,24.79
2018-09-07,24.53
2018-09-14,24.46
2018-09-21,24.66
2018-09-28,24.89
2018-10-05,24.89
2018-10-12,23.26
2018-10-19,23.7
2018-10-26,22.68
2018-11-02,22.68
2018-11-09,22.68
2018-11-16,22.68
2018-11-23,22.94
2018-11-30,22.91
2018-12-07,22.71
2018-12-14,22.52
2018-12-21,21.95
2018-12-28,22.06
2019-01-04,21.9
2019-01-11,22.71
2019-01-18,23.13
2019-01-25,23.04
2019-02-01,22.9
2019-02-08,23.66
2019-02-15,23.82
2019-02-22,24.09
2019-03-01,24.48
2019-03-08,24.39
2019-03-15,24.47
2019-03-22,24.21
2019-03-29,24.42
2019-04-05,24.38
2019-04-12,24.53
2019-04-19,24.69
2019-04-26,25.21
2019-05-03,25.16
2019-05-10,25.12
2019-05-17,25.26
2019-05-24,25.74
2019-05-31,25.42
2019-06-07,25.91
2019-06-14,26.18
2019-06-21,26.61
2019-06-28,26.58
2019-07-05,26.5
2019-07-12,26.14
2019-07-19,26.19
2019-07-26,26.67
2019-08-02,26.48
2019-08-09,25.71
2019-08-16,25.43
2019-08-23,25.38
2019-08-30,26.14
2019-09-06,26.41
2019-09-13,26.69
2019-09-20,26.95
2019-09-27,26.84
2019-10-04,26.28
2019-10-11,26.65
2019-10-18,26.62
2019-10-25,27.26
2019-11-01,26.89
2019-11-08,27.17
2019-11-15,27.4
2019-11-22,27.12
2019-11-29,27.66
2019-12-06,27.12
2019-12-13,27.28
2019-12-20,27.36
2019-12-27,26.69
2020-01-03,26.43
