date,value
2015-01-02,73.97
2015-01-09,74.65
2015-01-16,69.84
2015-01-23,68.64
2015-01-30,70.8
2015-02-06,67.98
2015-02-13,68.54
2015-02-20,69.79
2015-02-27,71.54
2015-03-06,72.82
2015-03-13,71.8
2015-03-20,76.03
2015-03-27,76.07
2015-04-03,75.05
2015-04-10,78.24
2015-04-17,78.04
2015-04-24,77.74
2015-05-01,74.5
2015-05-08,76.9
2015-05-15,79.84
2015-05-22,82.13
2015-05-29,81.83
2015-06-05,81.28
2015-06-12,82.46
2015-06-19,84.4
2015-06-26,91.84
2015-07-03,90.5
2015-07-10,92.97
2015-07-17,93.24
2015-07-24,92.83
2015-07-31,93.01
2015-08-07,91.46
2015-08-14,91.4
2015-08-21,86.25
2015-08-28,88.82
2015-09-04,85.41
2015-09-11,84.69
2015-09-18,82.48
2015-09-25,79.45
2015-10-02,77.89
2015-10-09,77.91
2015-10-16,72.95
2015-10-23,68.98
2015-10-30,68.79
2015-11-06,69.97
2015-11-13,66.45
2015-11-20,67.42
2015-11-27,69.45
2015-12-04,67.25
2015-12-11,66.3
2015-12-18,64.47
2015-12-25,68.92
2016-01-01,67.63
2016-01-08,64.27
2016-01-15,64.27
2016-01-22,65.82
2016-01-29,69.58
2016-02-05,69.19
2016-02-12,66.01
2016-02-19,67.62
2016-02-26,70.44
2016-03-04,73.0
2016-03-11,74.95
2016-03-18,75.46
2016-03-25,76.37
2016-04-01,79.2
2016-04-08,79.14
2016-04-15,80.33
2016-04-22,80.91
2016-04-29,80.62
2016-05-06,80.9
2016-05-13,77.92
2016-05-20,77.12
2016-05-27,77.36
2016-06-03,78.14
2016-06-10,79.55
2016-06-17,77.43
2016-06-24,76.72
2016-07-01,76.66
2016-07-08,78.21
2016-07-15,78.71
2016-07-22,80.35
2016-07-29,77.13
2016-08-05,75.84
2016-08-12,76.64
2016-08-19,74.51
2016-08-26,74.26
2016-09-02,76.51
2016-09-09,75.94
2016-09-16,75.29
2016-09-23,76.12
2016-09-30,75.63
2016-10-07,74.23
2016-10-14,80.32
2016-10-21,81.74
2016-10-28,77.31
2016-11-04,75.33
2016-11-11,69.58
2016-11-18,72.39
2016-11-25,71.39
2016-12-02,70.31
2016-12-09,73.25
2016-12-16,74.16
2016-12-23,74.46
2016-12-30,74.02
2017-01-06,76.62
2017-01-13,79.4
2017-01-20,79.71
2017-01-27,79.52
2017-02-03,83.8
2017-02-10,83.63
2017-02-17,84.63
2017-02-24,87.07
2017-03-03,88.53
2017-03-10,85.75
2017-03-17,84.59
2017-03-24,86.04
2017-03-31,88.99
2017-04-07,87.9
2017-04-14,87.72
2017-04-21,83.55
2017-04-28,84.21
2017-05-05,83.5
2017-05-12,84.61
2017-05-19,82.15
2017-05-26,82.7
2017-06-02,83.33
2017-06-09,83.57
2017-06-16,83.41
2017-06-23,86.24
2017-06-30,87.2
2017-07-07,86.14
2017-07-14,86.64
2017-07-21,85.73
2017-07-28,80.44
2017-08-04,78.87
2017-08-11,79.37
2017-08-18,77.53
2017-08-25,79.51
2017-09-01,78.67
2017-09-08,77.05
2017-09-15,79.24
2017-09-22,78.22
2017-09-29,79.59
2017-10-06,76.64
2017-10-13,74.58
2017-10-20,81.05
2017-10-27,76.67
2017-11-03,76.43
2017-11-10,78.68
2017-11-17,75.24
2017-11-24,77.19
2017-12-01,84.05
2017-12-08,84.84
2017-12-15,88.46
2017-12-22,89.09
2017-12-29,87.84
2018-01-05,86.93
2018-01-12,88.8
2018-01-19,93.01
2018-01-26,97.07
2018-02-02,99.69
2018-02-09,97.84
2018-02-16,101.0
2018-02-23,100.84
2018-03-02,101.38
2018-03-09,103.9
2018-03-16,102.77
2018-03-23,98.78
2018-03-30,97.0
2018-04-06,96.24
2018-04-13,96.28
2018-04-20,97.45
2018-04-27,96.25
2018-05-04,97.55
2018-05-11,101.78
2018-05-18,102.83
2018-05-25,103.69
2018-06-01,104.32
2018-06-08,105.39
2018-06-15,106.51
2018-06-22,106.74
2018-06-29,102.6
2018-07-06,105.22
2018-07-13,106.55
2018-07-20,108.0
2018-07-27,124.15
2018-08-03,130.16
2018-08-10,128.17
2018-08-17,131.57
2018-08-24,131.36
2018-08-31,134.11
2018-09-07,132.47
2018-09-14,133.63
2018-09-21,133.37
2018-09-28,139.12
2018-10-05,138.97
2018-10-12,133.86
2018-10-19,133.71
2018-10-26,127.86
2018-11-02,134.44
2018-11-09,143.95
2018-11-16,140.29
2018-11-23,134.93
2018-11-30,143.99
2018-12-07,135.86
2018-12-14,126.73
2018-12-21,120.08
2018-12-28,122.51
2019-01-04,123.39
2019-01-11,129.14
2019-01-18,134.54
2019-01-25,132.9
2019-02-01,139.71
2019-02-08,139.53
2019-02-15,144.26
2019-02-22,144.04
2019-03-01,138.47
2019-03-08,124.74
2019-03-15,132.35
2019-03-22,134.44
2019-03-29,130.38
2019-04-05,134.08
2019-04-12,127.87
2019-04-19,115.24
2019-04-26,125.55
2019-05-03,125.61
2019-05-10,123.75
2019-05-17,123.51
2019-05-24,123.84
2019-05-31,120.96
2019-06-07,128.41
2019-06-14,126.63
2019-06-21,128.23
2019-06-28,135.17
2019-07-05,138.53
2019-07-12,141.51
2019-07-19,139.48
2019-07-26,145.06
2019-08-02,127.14
2019-08-09,127.5
2019-08-16,123.93
2019-08-23,119.78
2019-08-30,120.2
2019-09-06,126.1
2019-09-13,129.07
2019-09-20,124.28
2019-09-27,118.96
2019-10-04,117.62
2019-10-11,120.43
2019-10-18,123.64
