date,value
2016-03-18,13.5
2016-03-25,13.49
2016-04-01,13.5
2016-04-08,13.3
2016-04-15,13.48
2016-04-22,13.4
2016-04-29,13.1
2016-05-06,13.8
2016-05-13,12.5
2016-05-20,12.32
2016-05-27,13.1
2016-06-03,13.46
2016-06-10,13.95
2016-06-17,14.0
2016-06-24,13.225
2016-07-01,13.15
2016-07-08,13.76
2016-07-15,13.48
2016-07-22,12.93
2016-07-29,13.13
2016-08-05,13.03
2016-08-12,13.14
2016-08-19,12.42
2016-08-26,12.95
2016-09-02,12.54
2016-09-09,12.5
2016-09-16,12.47
2016-09-23,12.28
2016-09-30,11.9
2016-10-07,11.81
2016-10-14,11.3
2016-10-21,11.67
2016-10-28,11.88
2016-11-04,12.0
2016-11-11,12.1
2016-11-18,12.31
2016-11-25,12.57
2016-12-02,14.36
2016-12-09,14.0
2016-12-16,14.03
2016-12-23,13.855
2016-12-30,13.57
2017-01-06,14.0
2017-01-13,13.81
2017-01-20,13.89
2017-01-27,13.87
2017-02-03,13.97
2017-02-10,13.59
2017-02-17,13.38
2017-02-24,13.34
2017-03-03,13.11
2017-03-10,14.16
2017-03-17,19.0
2017-03-24,19.01
2017-03-31,19.95
2017-04-07,20.27
2017-04-14,20.14
2017-04-21,18.33
2017-04-28,19.49
2017-05-05,18.96
2017-05-12,18.87
2017-05-19,20.22
2017-05-26,20.99
2017-06-02,20.59
2017-06-09,19.885
2017-06-16,22.93
2017-06-23,23.69
2017-06-30,23.31
2017-07-07,23.315
2017-07-14,22.95
2017-07-21,22.96
2017-07-28,23.12
2017-08-04,24.6
2017-08-11,24.38
2017-08-18,25.06
2017-08-25,24.2
2017-09-01,25.7
2017-09-08,25.28
2017-09-15,25.59
2017-09-22,25.88
2017-09-29,27.27
2017-10-06,29.59
2017-10-13,30.45
2017-10-20,27.77
2017-10-27,31.74
2017-11-03,29.57
2017-11-10,29.99
2017-11-17,35.15
2017-11-24,34.59
2017-12-01,34.57
2017-12-08,33.89
2017-12-15,32.88
2017-12-22,36.97
2017-12-29,39.42
2018-01-05,40.48
2018-01-12,38.98
2018-01-19,39.56
2018-01-26,36.01
2018-02-02,36.99
2018-02-09,30.62
2018-02-16,33.72
2018-02-23,33.96
2018-03-02,34.41
2018-03-09,36.6
2018-03-16,33.68
2018-03-23,31.4
2018-03-30,29.56
2018-04-06,29.67
2018-04-13,32.05
2018-04-20,32.93
2018-04-27,33.49
2018-05-04,33.58
2018-05-11,34.34
2018-05-18,33.01
2018-05-25,30.16
2018-06-01,27.79
2018-06-08,31.33
2018-06-15,32.76
2018-06-22,31.11
2018-06-29,30.14
2018-07-06,30.62
2018-07-13,31.67
2018-07-20,33.81
2018-07-27,34.38
2018-08-03,31.79
2018-08-10,32.9
2018-08-17,29.36
2018-08-24,28.93
2018-08-31,29.26
2018-09-07,27.79
2018-09-14,28.25
2018-09-21,28.57
2018-09-28,32.19
2018-10-05,30.53
2018-10-12,28.67
2018-10-19,30.18
2018-10-26,29.61
2018-11-02,32.65
2018-11-09,32.09
2018-11-16,30.16
2018-11-23,33.91
2018-11-30,34.47
2018-12-07,31.62
2018-12-14,33.89
2018-12-21,24.27
2018-12-28,23.17
2019-01-04,21.45
2019-01-11,21.55
2019-01-18,22.15
2019-01-25,22.28
2019-02-01,22.81
2019-02-08,22.7
2019-02-15,25.7
2019-02-22,26.01
2019-03-01,26.82
2019-03-08,26.9
2019-03-15,27.92
2019-03-22,28.58
2019-03-29,30.58
2019-04-05,31.49
2019-04-12,31.2
2019-04-19,30.35
2019-04-26,30.06
2019-05-03,29.86
2019-05-10,25.54
2019-05-17,26.74
2019-05-24,26.81
2019-05-31,27.61
2019-06-07,26.66
2019-06-14,26.3
2019-06-21,28.61
2019-06-28,22.0
2019-07-05,22.57
2019-07-12,22.18
2019-07-19,20.83
2019-07-26,20.68
2019-08-02,20.11
2019-08-09,20.59
2019-08-16,20.53
2019-08-23,20.68
2019-08-30,21.79
2019-09-06,21.32
2019-09-13,21.77
2019-09-20,20.22
2019-09-27,17.97
2019-10-04,18.7
2019-10-11,17.17
2019-10-18,19.12
2019-10-25,20.06
2019-11-01,20.17
2019-11-08,22.4
2019-11-15,23.28
2019-11-22,23.95
2019-11-29,24.11
2019-12-06,23.73
2019-12-13,23.04
2019-12-20,25.58
2019-12-27,25.49
2020-01-03,26.52
