date,value
2015-01-02,29.46
2015-01-09,28.61
2015-01-16,27.23
2015-01-23,28.46
2015-01-30,28.83
2015-02-06,28.19
2015-02-13,28.62
2015-02-20,29.62
2015-02-27,29.505
2015-03-06,29.02
2015-03-13,29.87
2015-03-20,29.69
2015-03-27,30.23
2015-04-03,31.51
2015-04-10,31.76
2015-04-17,32.4
2015-04-24,33.5
2015-05-01,32.98
2015-05-08,32.82
2015-05-15,32.23
2015-05-22,33.32
2015-05-29,32.45
2015-06-05,33.23
2015-06-12,33.79
2015-06-19,34.76
2015-06-26,35.36
2015-07-03,35.02
2015-07-10,34.81
2015-07-17,36.12
2015-07-24,33.59
2015-07-31,35.8
2015-08-07,34.24
2015-08-14,34.89
2015-08-21,33.08
2015-08-28,33.29
2015-09-04,32.17
2015-09-11,32.28
2015-09-18,32.51
2015-09-25,30.63
2015-10-02,28.87
2015-10-09,31.33
2015-10-16,28.83
2015-10-23,29.83
2015-10-30,29.79
2015-11-06,30.54
2015-11-13,28.39
2015-11-20,30.77
2015-11-27,31.56
2015-12-04,31.56
2015-12-11,29.6
2015-12-18,29.04
2015-12-25,30.37
2016-01-01,30.03
2016-01-08,27.21
2016-01-15,26.03
2016-01-22,26.0
2016-01-29,26.27
2016-02-05,24.24
2016-02-12,23.31
2016-02-19,26.12
2016-02-26,27.98
2016-03-04,28.99
2016-03-11,28.32
2016-03-18,31.93
2016-03-25,32.06
2016-04-01,33.34
2016-04-08,33.6
2016-04-15,33.33
2016-04-22,34.4
2016-04-29,34.28
2016-05-06,33.51
2016-05-13,32.77
2016-05-20,33.38
2016-05-27,34.5
2016-06-03,34.7
2016-06-10,34.7
2016-06-17,34.18
2016-06-24,34.24
2016-07-01,34.7
2016-07-08,35.41
2016-07-15,36.84
2016-07-22,36.4
2016-07-29,36.19
2016-08-05,35.63
2016-08-12,36.05
2016-08-19,36.31
2016-08-26,35.6
2016-09-02,36.78
2016-09-09,30.54
2016-09-16,31.47
2016-09-23,31.9
2016-09-30,31.98
2016-10-07,32.72
2016-10-14,31.4
2016-10-21,31.87
2016-10-28,32.76
2016-11-04,31.95
2016-11-11,36.84
2016-11-18,38.35
2016-11-25,39.67
2016-12-02,39.08
2016-12-09,41.54
2016-12-16,41.45
2016-12-23,42.91
2016-12-30,42.51
2017-01-06,42.04
2017-01-13,41.87
2017-01-20,41.66
2017-01-27,42.69
2017-02-03,42.64
2017-02-10,44.24
2017-02-17,43.25
2017-02-24,42.57
2017-03-03,43.28
2017-03-10,41.99
2017-03-17,41.78
2017-03-24,40.33
2017-03-31,41.13
2017-04-07,40.04
2017-04-14,39.55
2017-04-21,39.92
2017-04-28,40.3
2017-05-05,40.5
2017-05-12,40.12
2017-05-19,41.89
2017-05-26,41.41
2017-06-02,41.47
2017-06-09,31.51
2017-06-16,31.72
2017-06-23,31.2
2017-06-30,30.63
2017-07-07,30.42
2017-07-14,30.7
2017-07-21,31.7
2017-07-28,32.35
2017-08-04,31.59
2017-08-11,30.76
2017-08-18,30.39
2017-08-25,31.52
2017-09-01,33.02
2017-09-08,33.45
2017-09-15,32.46
2017-09-22,34.92
2017-09-29,36.07
2017-10-06,36.39
2017-10-13,35.74
2017-10-20,36.75
2017-10-27,35.17
2017-11-03,36.12
2017-11-10,35.67
