date,value
2015-01-02,25.27
2015-01-09,25.01
2015-01-16,25.16
2015-01-23,25.9
2015-01-30,25.85
2015-02-06,26.35
2015-02-13,26.82
2015-02-20,27.37
2015-02-27,27.57
2015-03-06,27.62
2015-03-13,27.82
2015-03-20,28.41
2015-03-27,28.06
2015-04-03,28.17
2015-04-10,29.01
2015-04-17,28.36
2015-04-24,28.85
2015-05-01,28.46
2015-05-08,28.45
2015-05-15,28.4
2015-05-22,28.96
2015-05-29,28.67
2015-06-05,28.21
2015-06-12,28.02
2015-06-19,27.67
2015-06-26,28.38
2015-07-03,27.26
2015-07-10,27.41
2015-07-17,28.18
2015-07-24,27.53
2015-07-31,27.83
2015-08-07,27.93
2015-08-14,27.45
2015-08-21,25.23
2015-08-28,25.78
2015-09-04,24.68
2015-09-11,25.2
2015-09-18,24.91
2015-09-25,24.63
2015-10-02,25.03
2015-10-09,25.86
2015-10-16,25.89
2015-10-23,26.7
2015-10-30,26.28
2015-11-06,26.75
2015-11-13,25.93
2015-11-20,26.71
2015-11-27,26.77
2015-12-04,26.2
2015-12-11,24.79
2015-12-18,25.15
2015-12-25,25.69
2016-01-01,25.4
2016-01-08,23.7
2016-01-15,23.12
2016-01-22,23.81
2016-01-29,24.33
2016-02-05,23.0
2016-02-12,22.06
2016-02-19,22.89
2016-02-26,23.27
2016-03-04,24.07
2016-03-11,24.27
2016-03-18,24.08
2016-03-25,23.85
2016-04-01,23.6
2016-04-08,23.44
2016-04-15,24.33
2016-04-22,24.95
2016-04-29,23.96
2016-05-06,23.78
2016-05-13,23.78
2016-05-20,24.13
2016-05-27,24.73
2016-06-03,24.31
2016-06-10,23.82
2016-06-17,23.32
2016-06-24,22.94
2016-07-01,23.95
2016-07-08,23.26
2016-07-15,24.12
2016-07-22,24.34
2016-07-29,24.28
2016-08-05,24.3
2016-08-12,24.7
2016-08-19,24.43
2016-08-26,24.49
2016-09-02,25.05
2016-09-09,24.54
2016-09-16,24.26
2016-09-23,24.84
2016-09-30,24.81
2016-10-07,24.92
2016-10-14,24.92
2016-10-21,25.2
2016-10-28,25.01
