date,value
2015-07-10,23.83
2015-07-17,25.58
2015-07-24,25.1
2015-07-31,24.97
2015-08-07,24.9
2015-08-14,24.41
2015-08-21,22.61
2015-08-28,23.0
2015-09-04,21.67
2015-09-11,21.67
2015-09-18,21.81
2015-09-25,21.0
2015-10-02,21.45
2015-10-09,22.88
2015-10-16,22.77
2015-10-23,23.3
2015-10-30,22.83
2015-11-06,23.14
2015-11-13,22.27
2015-11-20,22.77
2015-11-27,22.82
2015-12-04,22.31
2015-12-11,20.94
2015-12-18,21.12
2015-12-25,21.22
2016-01-01,20.41
2016-01-08,19.09
2016-01-15,18.41
2016-01-22,18.93
2016-01-29,19.04
2016-02-05,18.34
2016-02-12,17.0
2016-02-19,17.59
2016-02-26,17.95
2016-03-04,19.0
2016-03-11,19.75
2016-03-18,19.63
2016-03-25,19.12
2016-04-01,18.66
2016-04-08,18.21
2016-04-15,19.29
2016-04-22,20.17
2016-04-29,19.83
2016-05-06,19.13
2016-05-13,18.92
2016-05-20,19.29
2016-05-27,20.0
2016-06-03,19.38
2016-06-10,18.55
2016-06-17,18.36
2016-06-24,16.85
2016-07-01,18.17
2016-07-08,17.62
2016-07-15,18.32
2016-07-22,18.51
2016-07-29,18.52
2016-08-05,18.29
2016-08-12,18.75
2016-08-19,18.19
2016-08-26,18.52
2016-09-02,19.17
2016-09-09,19.49
2016-09-16,18.64
2016-09-23,18.98
2016-09-30,18.95
2016-10-07,18.68
2016-10-14,18.92
2016-10-21,19.69
2016-10-28,19.79
2016-11-04,18.94
2016-11-11,18.87
2016-11-18,18.78
2016-11-25,18.86
2016-12-02,18.77
2016-12-09,20.24
2016-12-16,20.6
2016-12-23,20.61
2016-12-30,19.99
2017-01-06,20.58
2017-01-13,20.45
2017-01-20,20.18
2017-01-27,20.59
2017-02-03,20.52
2017-02-10,20.29
2017-02-17,20.56
2017-02-24,20.35
2017-03-03,21.15
2017-03-10,21.66
2017-03-17,22.27
2017-03-24,22.44
2017-03-31,22.77
2017-04-07,22.97
2017-04-14,22.41
2017-04-21,22.65
2017-04-28,23.47
2017-05-05,24.63
2017-05-12,23.98
2017-05-19,23.84
2017-05-26,23.92
2017-06-02,23.97
2017-06-09,24.12
2017-06-16,23.9
2017-06-23,23.51
2017-06-30,23.35
2017-07-07,23.26
2017-07-14,23.55
2017-07-21,23.0
2017-07-28,23.35
2017-08-04,23.63
2017-08-11,22.69
2017-08-18,22.9
2017-08-25,22.82
2017-09-01,22.88
2017-09-08,22.34
2017-09-15,22.8
2017-09-22,22.83
2017-09-29,23.03
2017-10-06,22.6
2017-10-13,22.75
2017-10-20,22.67
2017-10-27,22.67
2017-11-03,23.05
2017-11-10,22.56
2017-11-17,22.38
2017-11-24,22.36
2017-12-01,22.67
2017-12-08,23.03
2017-12-15,22.71
2017-12-22,22.82
2017-12-29,22.17
2018-01-05,23.04
2018-01-12,23.25
2018-01-19,23.38
2018-01-26,23.67
2018-02-02,22.64
2018-02-09,21.72
2018-02-16,22.05
2018-02-23,22.15
2018-03-02,21.52
2018-03-09,21.77
2018-03-16,21.84
2018-03-23,20.85
2018-03-30,21.64
2018-04-06,21.64
2018-04-13,22.02
2018-04-20,22.4
2018-04-27,22.46
2018-05-04,22.91
2018-05-11,23.24
2018-05-18,22.84
2018-05-25,22.12
2018-06-01,21.75
2018-06-08,21.93
2018-06-15,22.13
2018-06-22,22.07
2018-06-29,21.8
2018-07-06,21.55
2018-07-13,21.96
2018-07-20,21.84
2018-07-27,21.9
2018-08-03,22.13
2018-08-10,21.62
2018-08-17,21.26
2018-08-24,21.54
2018-08-31,21.22
2018-09-07,20.9
2018-09-14,21.16
2018-09-21,21.78
2018-09-28,21.18
2018-10-05,21.13
2018-10-12,20.2
2018-10-19,20.42
2018-10-26,19.95
2018-11-02,20.74
2018-11-09,21.2
2018-11-16,20.97
2018-11-23,20.58
2018-11-30,21.03
2018-12-07,20.26
2018-12-14,20.74
2018-12-21,19.82
2018-12-28,19.49
2019-01-04,20.21
2019-01-11,20.47
2019-01-18,20.95
2019-01-25,21.13
2019-02-01,20.68
2019-02-08,20.51
2019-02-15,21.03
2019-02-22,21.23
2019-03-01,21.47
2019-03-08,21.22
2019-03-15,21.72
2019-03-22,21.34
2019-03-29,21.43
2019-04-05,22.2
2019-04-12,22.17
2019-04-19,22.37
2019-04-26,22.27
2019-05-03,22.24
2019-05-10,21.69
2019-05-17,21.85
2019-05-24,21.75
2019-05-31,21.27
2019-06-07,21.87
2019-06-14,21.82
2019-06-21,21.94
2019-06-28,21.89
2019-07-05,22.0
2019-07-12,21.88
2019-07-19,21.58
2019-07-26,21.7
2019-08-02,20.91
2019-08-09,20.68
2019-08-16,20.44
2019-08-23,20.17
2019-08-30,20.71
2019-09-06,21.06
2019-09-13,21.55
2019-09-20,21.54
2019-09-27,21.59
2019-10-04,21.2
2019-10-11,21.78
2019-10-18,22.06
2019-10-25,22.31
2019-11-01,22.07
2019-11-08,22.29
2019-11-15,21.8
2019-11-22,21.92
2019-11-29,22.09
2019-12-06,22.17
2019-12-13,22.58
2019-12-20,22.89
2019-12-27,22.32
2020-01-03,22.22
