date,value
2015-07-10,24.39
2015-07-17,25.16
2015-07-24,25.13
2015-07-31,24.75
2015-08-07,25.01
2015-08-14,24.52
2015-08-21,23.58
2015-08-28,22.94
2015-09-04,22.73
2015-09-11,23.02
2015-09-18,22.66
2015-09-25,22.58
2015-10-02,23.18
2015-10-09,23.9
2015-10-16,23.75
2015-10-23,23.94
2015-10-30,23.93
2015-11-06,23.83
2015-11-13,23.47
2015-11-20,23.46
2015-11-27,23.46
2015-12-04,23.3
2015-12-11,22.63
2015-12-18,22.33
2015-12-25,23.25
2016-01-01,22.76
2016-01-08,21.5
2016-01-15,21.18
2016-01-22,21.68
2016-01-29,22.36
2016-02-05,21.44
2016-02-12,20.66
2016-02-19,21.97
2016-02-26,22.07
2016-03-04,22.69
2016-03-11,22.6
2016-03-18,22.79
2016-03-25,22.79
2016-04-01,22.71
2016-04-08,22.37
2016-04-15,23.5
2016-04-22,23.57
2016-04-29,23.25
2016-05-06,22.77
2016-05-13,22.71
2016-05-20,22.71
2016-05-27,23.35
2016-06-03,23.03
2016-06-10,23.18
2016-06-17,22.25
2016-06-24,22.72
2016-07-01,24.65
2016-07-08,23.95
2016-07-15,24.22
2016-07-22,24.46
2016-07-29,24.45
2016-08-05,24.71
2016-08-12,25.26
2016-08-19,25.08
2016-08-26,24.84
2016-09-02,25.27
2016-09-09,24.65
2016-09-16,24.65
2016-09-23,25.22
2016-09-30,25.31
2016-10-07,25.88
2016-10-14,25.66
2016-10-21,25.77
2016-10-28,25.51
2016-11-04,24.34
2016-11-11,24.74
2016-11-18,24.87
2016-11-25,25.2
2016-12-02,21.62
2016-12-09,22.52
2016-12-16,22.57
2016-12-23,22.77
2016-12-30,22.63
2017-01-06,23.03
2017-01-13,23.35
2017-01-20,22.92
2017-01-27,22.9
2017-02-03,22.96
2017-02-10,23.2
2017-02-17,23.43
2017-02-24,23.36
2017-03-03,23.69
2017-03-10,23.66
2017-03-17,24.0
2017-03-24,23.64
2017-03-31,23.69
2017-04-07,23.76
2017-04-14,23.63
2017-04-21,23.04
2017-04-28,23.28
2017-05-05,23.66
2017-05-12,24.1
2017-05-19,24.34
2017-05-26,24.48
2017-06-02,24.59
2017-06-09,24.45
2017-06-16,24.39
2017-06-23,24.2
2017-06-30,23.84
2017-07-07,23.43
2017-07-14,23.53
2017-07-21,23.75
2017-07-28,23.5
2017-08-04,23.97
2017-08-11,23.48
2017-08-18,23.5
2017-08-25,23.78
2017-09-01,23.92
2017-09-08,23.67
2017-09-15,23.15
2017-09-22,23.46
2017-09-29,23.53
2017-10-06,24.14
2017-10-13,24.24
2017-10-20,24.19
2017-10-27,24.05
2017-11-03,24.29
2017-11-10,23.94
2017-11-17,23.78
2017-11-24,23.94
2017-12-01,23.66
2017-12-08,23.91
2017-12-15,24.19
2017-12-22,24.55
2017-12-29,24.32
2018-01-05,24.52
2018-01-12,24.7
2018-01-19,24.56
2018-01-26,24.45
2018-02-02,23.51
2018-02-09,22.57
2018-02-16,23.3
2018-02-23,23.16
2018-03-02,22.77
2018-03-09,23.2
2018-03-16,22.95
2018-03-23,22.21
2018-03-30,22.7
2018-04-06,23.02
2018-04-13,23.4
2018-04-20,23.73
2018-04-27,24.2
2018-05-04,24.4
2018-05-11,24.93
2018-05-18,25.17
2018-05-25,24.93
2018-06-01,24.95
2018-06-08,24.96
2018-06-15,24.85
2018-06-22,24.94
2018-06-29,24.77
2018-07-06,24.21
2018-07-13,24.37
2018-07-20,24.35
2018-07-27,24.37
2018-08-03,24.37
2018-08-10,24.48
2018-08-17,24.18
2018-08-24,24.25
2018-08-31,23.88
2018-09-07,23.33
2018-09-14,23.42
2018-09-21,24.05
2018-09-28,24.11
2018-10-05,23.56
2018-10-12,22.63
2018-10-19,22.74
2018-10-26,22.45
2018-11-02,22.96
2018-11-09,22.95
2018-11-16,22.9
2018-11-23,22.63
2018-11-30,22.81
2018-12-07,22.24
2018-12-14,22.19
2018-12-21,21.64
2018-12-28,21.46
2019-01-04,21.84
2019-01-11,22.1
2019-01-18,22.36
2019-01-25,21.73
2019-02-01,22.45
2019-02-08,22.74
2019-02-15,23.23
2019-02-22,23.13
2019-03-01,23.0
2019-03-08,23.1
2019-03-15,23.4
2019-03-22,23.28
2019-03-29,23.61
2019-04-05,24.14
2019-04-12,24.17
2019-04-19,24.28
2019-04-26,24.18
2019-05-03,24.01
2019-05-10,23.68
2019-05-17,24.02
2019-05-24,23.81
2019-05-31,23.43
2019-06-07,24.08
2019-06-14,24.18
2019-06-21,24.27
2019-06-28,24.45
2019-07-05,24.26
2019-07-12,24.05
2019-07-19,24.1
2019-07-26,24.26
2019-08-02,23.73
2019-08-09,23.51
2019-08-16,23.06
2019-08-23,22.75
2019-08-30,23.43
2019-09-06,23.67
2019-09-13,23.82
2019-09-20,23.81
2019-09-27,24.03
2019-10-04,23.32
2019-10-11,23.52
2019-10-18,23.24
2019-10-25,23.84
2019-11-01,23.76
2019-11-08,24.03
2019-11-15,23.83
2019-11-22,23.93
2019-11-29,23.98
2019-12-06,23.6
2019-12-13,24.09
2019-12-20,24.75
2019-12-27,24.56
2020-01-03,24.45
