date,value
2015-07-03,25.3
2015-07-10,24.49
2015-07-17,24.49
2015-07-24,24.49
2015-07-31,24.49
2015-08-07,23.4899
2015-08-14,23.26
2015-08-21,23.26
2015-08-28,23.26
2015-09-04,23.26
2015-09-11,23.26
2015-09-18,23.26
2015-09-25,23.26
2015-10-02,22.78
2015-10-09,22.78
2015-10-16,22.78
2015-10-23,24.69
2015-10-30,24.9299
2015-11-06,25.45
2015-11-13,25.45
2015-11-20,25.45
2015-11-27,25.45
2015-12-04,24.06
2015-12-11,23.1515
2015-12-18,23.8035
2015-12-25,24.122
2016-01-01,23.259
2016-01-08,22.1677
2016-01-15,22.5881
2016-01-22,22.14
2016-01-29,22.63
2016-02-05,22.47
2016-02-12,21.915
2016-02-19,22.5499
2016-02-26,22.582
2016-03-04,23.2
2016-03-11,23.5892
2016-03-18,23.8
2016-03-25,23.62
2016-04-01,23.45
2016-04-08,23.3763
2016-04-15,23.9552
2016-04-22,23.98
2016-04-29,23.98
2016-05-06,23.11
2016-05-13,23.0492
2016-05-20,22.87
2016-05-27,22.87
2016-06-03,23.47
2016-06-10,23.7758
2016-06-17,23.25
2016-06-24,23.16
2016-07-01,23.085
2016-07-08,23.3801
2016-07-15,23.3801
2016-07-22,24.05
2016-07-29,24.13
2016-08-05,24.469
2016-08-12,24.83
2016-08-19,24.78
2016-08-26,24.8901
2016-09-02,24.91
2016-09-09,24.66
2016-09-16,24.38
2016-09-23,25.19
2016-09-30,25.12
2016-10-07,25.27
2016-10-14,24.66
2016-10-21,25.2
2016-10-28,24.8601
2016-11-04,24.55
2016-11-11,24.36
2016-11-18,24.36
2016-11-25,24.36
2016-12-02,23.5947
2016-12-09,23.5947
2016-12-16,24.31
2016-12-23,24.31
2016-12-30,24.03
2017-01-06,24.7972
2017-01-13,24.7972
2017-01-20,24.96
2017-01-27,25.5
2017-02-03,25.47
2017-02-10,25.5
2017-02-17,25.27
2017-02-24,25.7
2017-03-03,25.31
2017-03-10,25.44
2017-03-17,26.22
2017-03-24,26.58
2017-03-31,26.31
2017-04-07,26.23
2017-04-14,26.17
2017-04-21,26.105
2017-04-28,26.105
2017-05-05,27.26
2017-05-12,28.2
2017-05-19,28.29
2017-05-26,28.51
2017-06-02,29.08
2017-06-09,29.08
2017-06-16,29.12
2017-06-23,29.12
2017-06-30,29.211
2017-07-07,29.1379
2017-07-14,29.8
2017-07-21,30.37
2017-07-28,30.055
2017-08-04,29.272
2017-08-11,29.0601
2017-08-18,29.04
2017-08-25,29.418
2017-09-01,29.09
2017-09-08,28.9
2017-09-15,29.38
2017-09-22,29.38
2017-09-29,29.69
2017-10-06,30.39
2017-10-13,31.2
2017-10-20,30.98
2017-10-27,31.0598
2017-11-03,31.0598
2017-11-10,31.6229
2017-11-17,31.75
2017-11-24,31.77
2017-12-01,31.23
2017-12-08,30.8222
2017-12-15,30.97
2017-12-22,30.97
2017-12-29,30.2604
2018-01-05,30.8416
2018-01-12,31.0572
2018-01-19,31.17
2018-01-26,31.88
2018-02-02,30.77
2018-02-09,28.5
2018-02-16,30.339
2018-02-23,30.3299
2018-03-02,29.5213
2018-03-09,30.1799
2018-03-16,30.96
2018-03-23,30.52
2018-03-30,29.614
2018-04-06,29.614
2018-04-13,30.1105
2018-04-20,30.739
2018-04-27,31.02
2018-05-04,30.2866
2018-05-11,30.367
2018-05-18,30.367
2018-05-25,30.3
2018-06-01,29.76
2018-06-08,29.76
2018-06-15,29.79
2018-06-22,29.79
2018-06-29,28.7
2018-07-06,27.86
2018-07-13,27.86
2018-07-20,28.4343
2018-07-27,28.5362
2018-08-03,27.9988
2018-08-10,27.795
2018-08-17,27.64
2018-08-24,27.64
2018-08-31,28.59
2018-09-07,28.59
2018-09-14,28.28
2018-09-21,28.28
2018-09-28,29.21
2018-10-05,27.86
2018-10-12,26.9405
2018-10-19,26.8144
2018-10-26,25.3526
2018-11-02,26.11
2018-11-09,25.7501
2018-11-16,26.26
2018-11-23,25.5835
2018-11-30,25.99
2018-12-07,24.47
2018-12-14,24.46
2018-12-21,24.32
2018-12-28,24.3228
2019-01-04,24.1516
2019-01-11,24.67
2019-01-18,25.5979
2019-01-25,26.09
2019-02-01,26.5391
2019-02-08,26.0835
2019-02-15,26.4523
2019-02-22,26.8064
2019-03-01,26.2894
2019-03-08,25.61
2019-03-15,26.0
2019-03-22,25.8186
2019-03-29,25.6863
2019-04-05,26.6676
2019-04-12,26.8618
2019-04-19,26.6227
2019-04-26,26.1952
2019-05-03,26.4551
2019-05-10,25.0738
2019-05-17,24.39
2019-05-24,24.4249
2019-05-31,24.4651
2019-06-07,24.9825
2019-06-14,24.9591
2019-06-21,25.44
2019-06-28,25.7279
2019-07-05,25.1523
2019-07-12,25.175
2019-07-19,25.175
2019-07-26,25.1607
2019-08-02,24.1549
2019-08-09,23.5675
2019-08-16,23.5
2019-08-23,23.4752
2019-08-30,24.01
2019-09-06,24.555
2019-09-13,25.3726
2019-09-20,25.435
2019-09-27,24.8607
2019-10-04,24.8435
2019-10-11,25.3458
2019-10-18,25.2995
2019-10-25,25.8948
2019-11-01,26.2
2019-11-08,26.311
2019-11-15,26.6955
2019-11-22,25.98
2019-11-29,25.75
2019-12-06,20.7
2019-12-13,21.48
2019-12-20,21.9784
2019-12-27,21.7
2020-01-03,21.3525
