date,value
2015-01-02,41.79
2015-01-09,40.68
2015-01-16,39.96
2015-01-23,40.14
2015-01-30,38.9
2015-02-06,40.28
2015-02-13,41.27
2015-02-20,41.47
2015-02-27,40.96
2015-03-06,41.01
2015-03-13,42.05
2015-03-20,43.1
2015-03-27,41.95
2015-04-03,42.13
2015-04-10,42.56
2015-04-17,41.9
2015-04-24,41.84
2015-05-01,41.1
2015-05-08,41.71
2015-05-15,41.33
2015-05-22,41.86
2015-05-29,41.11
2015-06-05,41.54
2015-06-12,42.2
2015-06-19,42.02
2015-06-26,42.07
2015-07-03,44.03
2015-07-10,43.78
2015-07-17,46.84
2015-07-24,46.47
2015-07-31,47.55
2015-08-07,47.93
2015-08-14,49.38
2015-08-21,46.74
2015-08-28,46.22
2015-09-04,44.72
2015-09-11,45.95
2015-09-18,44.32
2015-09-25,45.38
2015-10-02,45.91
2015-10-09,46.88
2015-10-16,47.14
2015-10-23,49.24
2015-10-30,46.26
2015-11-06,47.6
2015-11-13,45.14
2015-11-20,45.98
2015-11-27,45.55
2015-12-04,46.71
2015-12-11,43.87
2015-12-18,42.11
2015-12-25,43.66
2016-01-01,43.46
2016-01-08,40.65
2016-01-15,39.08
2016-01-22,38.71
2016-01-29,40.18
2016-02-05,40.54
2016-02-12,40.79
2016-02-19,41.78
2016-02-26,42.83
2016-03-04,43.76
2016-03-11,44.71
2016-03-18,45.91
2016-03-25,45.58
2016-04-01,46.8
2016-04-08,45.03
2016-04-15,45.92
2016-04-22,45.09
2016-04-29,44.38
2016-05-06,43.87
2016-05-13,44.44
2016-05-20,45.0
2016-05-27,45.2
2016-06-03,44.32
2016-06-10,43.77
2016-06-17,44.0
2016-06-24,42.4
2016-07-01,44.26
2016-07-08,43.58
2016-07-15,43.75
2016-07-22,44.77
2016-07-29,39.85
2016-08-05,40.65
2016-08-12,40.09
2016-08-19,40.25
2016-08-26,39.87
2016-09-02,40.99
2016-09-09,41.05
2016-09-16,41.8
2016-09-23,42.77
2016-09-30,42.82
2016-10-07,43.61
2016-10-14,43.31
2016-10-21,42.58
2016-10-28,44.25
2016-11-04,43.22
2016-11-11,46.82
2016-11-18,47.25
2016-11-25,47.87
2016-12-02,47.42
2016-12-09,48.54
2016-12-16,47.65
2016-12-23,48.25
2016-12-30,47.65
2017-01-06,48.45
2017-01-13,48.33
2017-01-20,48.31
2017-01-27,48.93
2017-02-03,47.33
2017-02-10,47.86
2017-02-17,48.36
2017-02-24,48.62
2017-03-03,49.15
2017-03-10,49.72
2017-03-17,48.78
2017-03-24,47.33
2017-03-31,48.07
2017-04-07,47.83
2017-04-14,47.73
2017-04-21,47.28
2017-04-28,48.36
2017-05-05,49.5
2017-05-12,49.08
2017-05-19,48.42
2017-05-26,49.23
2017-06-02,49.64
2017-06-09,51.51
2017-06-16,52.41
2017-06-23,51.45
2017-06-30,52.57
2017-07-07,52.73
2017-07-14,53.36
2017-07-21,53.79
