date,value
2017-03-03,18.72
2017-03-10,18.47
2017-03-17,19.25
2017-03-24,19.03
2017-03-31,18.67
2017-04-07,18.45
2017-04-14,18.62
2017-04-21,18.46
2017-04-28,18.72
2017-05-05,19.31
2017-05-12,19.7
2017-05-19,19.54
2017-05-26,20.45
2017-06-02,20.99
2017-06-09,20.73
2017-06-16,21.26
2017-06-23,21.81
2017-06-30,21.99
2017-07-07,22.19
2017-07-14,21.76
2017-07-21,22.15
2017-07-28,22.63
2017-08-04,21.72
2017-08-11,22.45
2017-08-18,22.48
2017-08-25,22.92
2017-09-01,23.48
2017-09-08,22.55
2017-09-15,23.63
2017-09-22,25.26
2017-09-29,26.85
2017-10-06,26.67
2017-10-13,27.12
2017-10-20,27.0
2017-10-27,27.6
2017-11-03,28.16
2017-11-10,30.97
2017-11-17,32.0
2017-11-24,33.27
2017-12-01,34.64
2017-12-08,34.6
2017-12-15,33.8
2017-12-22,34.94
2017-12-29,35.39
2018-01-05,35.0
2018-01-12,36.97
2018-01-19,38.27
2018-01-26,38.85
2018-02-02,36.78
2018-02-09,35.17
2018-02-16,36.86
2018-02-23,36.49
2018-03-02,35.02
2018-03-09,36.99
2018-03-16,37.78
2018-03-23,36.78
2018-03-30,37.23
2018-04-06,36.98
2018-04-13,38.56
2018-04-20,40.18
2018-04-27,41.58
2018-05-04,43.76
2018-05-11,45.78
2018-05-18,46.15
2018-05-25,45.74
2018-06-01,48.39
2018-06-08,48.96
2018-06-15,46.24
2018-06-22,46.97
2018-06-29,47.97
2018-07-06,49.35
2018-07-13,49.23
2018-07-20,51.2
2018-07-27,49.1
2018-08-03,47.72
2018-08-10,46.28
2018-08-17,47.03
2018-08-24,46.35
2018-08-31,48.78
2018-09-07,48.52
2018-09-14,46.52
2018-09-21,47.45
2018-09-28,44.28
2018-10-05,40.89
2018-10-12,38.66
2018-10-19,39.04
2018-10-26,37.34
2018-11-02,35.41
2018-11-09,37.79
2018-11-16,38.2
2018-11-23,37.75
2018-11-30,37.82
2018-12-07,35.11
2018-12-14,33.95
2018-12-21,34.32
2018-12-28,36.49
2019-01-04,36.92
2019-01-11,35.64
2019-01-18,36.29
2019-01-25,36.79
2019-02-01,37.07
2019-02-08,43.1
2019-02-15,44.0
2019-02-22,45.64
2019-03-01,46.97
2019-03-08,45.96
2019-03-15,42.65
2019-03-22,41.42
2019-03-29,43.58
2019-04-05,45.08
2019-04-12,47.75
2019-04-19,47.82
2019-04-26,48.62
2019-05-03,51.99
2019-05-10,49.54
2019-05-17,50.51
2019-05-24,49.33
2019-05-31,49.16
2019-06-07,52.92
2019-06-14,53.38
2019-06-21,56.77
2019-06-28,57.06
2019-07-05,59.49
2019-07-12,58.62
2019-07-19,57.88
2019-07-26,60.54
2019-08-02,58.44
2019-08-09,56.32
2019-08-16,55.51
2019-08-23,56.12
2019-08-30,62.14
2019-09-06,63.16
2019-09-13,60.49
2019-09-20,61.11
2019-09-27,57.5
2019-10-04,56.41
2019-10-11,56.26
2019-10-18,58.37
2019-10-25,58.64
2019-11-01,60.0
2019-11-08,55.41
2019-11-15,56.09
2019-11-22,55.53
2019-11-29,58.0
2019-12-06,58.09
2019-12-13,57.58
2019-12-20,61.07
2019-12-27,61.18
2020-01-03,60.09
