date,value
2015-01-02,100.23
2015-01-09,98.93
2015-01-16,98.22
2015-01-23,102.5
2015-01-30,97.76
2015-02-06,101.75
2015-02-13,104.38
2015-02-20,105.36
2015-02-27,102.78
2015-03-06,101.87
2015-03-13,101.17
2015-03-20,105.4
2015-03-27,102.96
2015-04-03,103.51
2015-04-10,104.7
2015-04-17,101.7
2015-04-24,102.5
2015-05-01,102.5
2015-05-08,102.12
2015-05-15,106.85
2015-05-22,105.92
2015-05-29,104.2
2015-06-05,103.74
2015-06-12,104.05
2015-06-19,105.34
2015-06-26,103.54
2015-07-03,102.51
2015-07-10,102.41
2015-07-17,105.54
2015-07-24,102.77
2015-07-31,105.05
2015-08-07,105.46
2015-08-14,106.08
2015-08-21,98.88
2015-08-28,100.02
2015-09-04,96.59
2015-09-11,99.62
2015-09-18,98.04
2015-09-25,93.52
2015-10-02,96.54
2015-10-09,101.16
2015-10-16,97.03
2015-10-23,103.13
2015-10-30,103.28
2015-11-06,104.0
2015-11-13,101.08
2015-11-20,105.63
2015-11-27,104.06
2015-12-04,104.55
2015-12-11,98.23
2015-12-18,101.83
2015-12-25,104.65
2016-01-01,103.57
2016-01-08,98.43
2016-01-15,97.26
2016-01-22,97.82
2016-01-29,103.2
2016-02-05,102.13
2016-02-12,103.48
2016-02-19,107.27
2016-02-26,103.03
2016-03-04,108.15
2016-03-11,109.03
2016-03-18,112.1
2016-03-25,111.32
2016-04-01,113.23
2016-04-08,112.12
2016-04-15,114.63
2016-04-22,114.17
2016-04-29,114.27
2016-05-06,113.78
2016-05-13,113.2
2016-05-20,113.22
2016-05-27,114.33
2016-06-03,114.79
2016-06-10,116.68
2016-06-17,115.92
2016-06-24,112.98
2016-07-01,116.5
2016-07-08,118.84
2016-07-15,119.23
2016-07-22,115.61
2016-07-29,116.33
2016-08-05,116.37
2016-08-12,116.1
2016-08-19,116.11
2016-08-26,116.75
2016-09-02,116.39
2016-09-09,112.01
2016-09-16,114.26
2016-09-23,115.98
2016-09-30,116.59
2016-10-07,106.94
2016-10-14,109.0
2016-10-21,108.96
2016-10-28,109.83
2016-11-04,108.25
2016-11-11,113.25
2016-11-18,112.09
2016-11-25,114.17
2016-12-02,112.45
2016-12-09,116.23
2016-12-16,116.38
2016-12-23,116.99
2016-12-30,115.85
2017-01-06,118.53
2017-01-13,118.07
2017-01-20,117.82
2017-01-27,118.42
2017-02-03,119.19
2017-02-10,121.85
2017-02-17,124.56
2017-02-24,125.03
2017-03-03,126.21
2017-03-10,127.04
2017-03-17,127.16
2017-03-24,124.77
2017-03-31,124.87
2017-04-07,124.27
2017-04-14,122.5
2017-04-21,127.08
2017-04-28,131.14
2017-05-05,131.41
2017-05-12,131.49
2017-05-19,131.4
2017-05-26,133.25
2017-06-02,134.03
2017-06-09,133.79
2017-06-16,134.63
2017-06-23,133.99
2017-06-30,133.29
2017-07-07,134.12
2017-07-14,135.83
2017-07-21,136.35
2017-07-28,136.79
2017-08-04,140.04
2017-08-11,136.59
2017-08-18,134.95
2017-08-25,136.82
2017-09-01,137.63
2017-09-08,137.57
2017-09-15,138.95
2017-09-22,141.75
2017-09-29,141.74
2017-10-06,143.62
2017-10-13,143.37
2017-10-20,145.35
2017-10-27,146.2
2017-11-03,144.97
2017-11-10,145.75
2017-11-17,146.49
2017-11-24,149.66
2017-12-01,154.4
2017-12-08,153.66
2017-12-15,154.25
2017-12-22,153.49
2017-12-29,153.36
2018-01-05,155.58
2018-01-12,159.07
2018-01-19,158.69
2018-01-26,164.99
2018-02-02,156.65
2018-02-09,147.9
2018-02-16,154.03
2018-02-23,155.12
2018-03-02,148.14
2018-03-09,154.21
2018-03-16,151.78
2018-03-23,143.28
2018-03-30,144.51
2018-04-06,142.74
2018-04-13,146.12
2018-04-20,150.57
2018-04-27,146.93
2018-05-04,143.89
2018-05-11,147.36
2018-05-18,148.34
2018-05-25,150.66
2018-06-01,150.09
2018-06-08,151.86
2018-06-15,150.23
2018-06-22,144.0
2018-06-29,144.05
2018-07-06,145.72
2018-07-13,147.5
2018-07-20,153.13
2018-07-27,159.34
2018-08-03,155.04
2018-08-10,153.09
2018-08-17,155.17
2018-08-24,157.51
2018-08-31,159.06
2018-09-07,162.81
2018-09-14,165.11
2018-09-21,167.34
2018-09-28,166.4
2018-10-05,164.07
2018-10-12,156.2
2018-10-19,153.47
2018-10-26,146.04
2018-11-02,145.48
2018-11-09,150.32
2018-11-16,148.55
2018-11-23,143.26
2018-11-30,146.75
2018-12-07,138.71
2018-12-14,136.44
2018-12-21,129.44
2018-12-28,130.76
2019-01-04,134.62
2019-01-11,137.36
2019-01-18,141.85
2019-01-25,141.71
2019-02-01,144.71
2019-02-08,148.61
2019-02-15,153.32
2019-02-22,153.2
2019-03-01,155.72
2019-03-08,151.59
2019-03-15,155.35
2019-03-22,155.83
2019-03-29,158.92
2019-04-05,161.7
2019-04-12,162.47
2019-04-19,169.06
2019-04-26,172.25
2019-05-03,173.54
2019-05-10,171.63
2019-05-17,169.95
2019-05-24,166.68
2019-05-31,164.31
2019-06-07,172.26
2019-06-14,172.81
2019-06-21,174.31
2019-06-28,174.59
2019-07-05,176.59
2019-07-12,177.14
2019-07-19,172.99
2019-07-26,173.61
2019-08-02,168.01
2019-08-09,166.67
2019-08-16,165.03
2019-08-23,156.49
2019-08-30,164.62
2019-09-06,171.16
2019-09-13,167.71
2019-09-20,168.31
2019-09-27,168.04
2019-10-04,163.63
2019-10-11,163.53
2019-10-18,165.57
2019-10-25,171.63
2019-11-01,176.12
2019-11-08,181.21
2019-11-15,181.75
2019-11-22,176.79
2019-11-29,178.55
2019-12-06,175.46
2019-12-13,176.98
2019-12-20,176.41
2019-12-27,176.48
2020-01-03,178.86
