date,value
2015-10-23,17.0
2015-10-30,14.72
2015-11-06,14.4
2015-11-13,13.39
2015-11-20,14.21
2015-11-27,14.35
2015-12-04,15.22
2015-12-11,14.18
2015-12-18,14.16
2015-12-25,15.02
2016-01-01,15.2
2016-01-08,13.54
2016-01-15,12.54
2016-01-22,13.35
2016-01-29,13.76
2016-02-05,13.2
2016-02-12,12.29
2016-02-19,13.67
2016-02-26,13.44
2016-03-04,15.44
2016-03-11,16.33
2016-03-18,17.33
2016-03-25,17.57
2016-04-01,18.4
2016-04-08,17.89
2016-04-15,17.4
2016-04-22,17.49
2016-04-29,16.66
2016-05-06,15.78
2016-05-13,15.77
2016-05-20,15.87
2016-05-27,18.26
2016-06-03,18.35
2016-06-10,19.12
2016-06-17,18.94
2016-06-24,18.16
2016-07-01,18.49
2016-07-08,19.04
2016-07-15,19.77
2016-07-22,20.05
2016-07-29,21.02
2016-08-05,21.91
2016-08-12,21.89
2016-08-19,21.88
2016-08-26,21.78
2016-09-02,22.21
2016-09-09,20.92
2016-09-16,22.26
2016-09-23,22.98
2016-09-30,22.75
2016-10-07,22.34
2016-10-14,21.53
2016-10-21,21.63
2016-10-28,22.17
2016-11-04,22.04
2016-11-11,23.31
2016-11-18,23.31
2016-11-25,23.22
2016-12-02,23.85
2016-12-09,24.51
2016-12-16,23.49
2016-12-23,23.82
2016-12-30,23.14
2017-01-06,23.1
2017-01-13,22.94
2017-01-20,22.88
2017-01-27,22.55
2017-02-03,23.5
2017-02-10,23.99
2017-02-17,24.4
2017-02-24,22.96
2017-03-03,23.05
2017-03-10,22.37
2017-03-17,22.85
2017-03-24,22.77
2017-03-31,23.7
2017-04-07,18.28
2017-04-14,17.99
2017-04-21,18.14
2017-04-28,18.63
2017-05-05,18.83
2017-05-12,18.88
2017-05-19,18.53
2017-05-26,18.83
2017-06-02,17.4
2017-06-09,16.99
2017-06-16,16.49
2017-06-23,16.85
2017-06-30,16.59
2017-07-07,16.61
2017-07-14,17.19
2017-07-21,18.01
2017-07-28,17.51
2017-08-04,17.51
2017-08-11,17.3
2017-08-18,17.18
2017-08-25,17.95
2017-09-01,14.31
2017-09-08,13.12
2017-09-15,13.52
2017-09-22,14.26
2017-09-29,14.71
2017-10-06,14.8
2017-10-13,14.89
2017-10-20,14.04
2017-10-27,14.28
2017-11-03,13.5
2017-11-10,13.7
2017-11-17,13.68
2017-11-24,13.32
2017-12-01,14.44
2017-12-08,14.34
2017-12-15,14.41
2017-12-22,14.71
2017-12-29,14.36
2018-01-05,15.05
2018-01-12,15.81
2018-01-19,16.08
2018-01-26,16.71
2018-02-02,16.65
2018-02-09,15.3
2018-02-16,16.39
2018-02-23,18.14
2018-03-02,18.78
2018-03-09,19.16
2018-03-16,18.79
2018-03-23,17.63
2018-03-30,17.54
2018-04-06,16.7
2018-04-13,17.4
2018-04-20,17.29
2018-04-27,17.35
2018-05-04,17.21
2018-05-11,17.67
2018-05-18,17.56
2018-05-25,15.52
2018-06-01,15.53
2018-06-08,16.01
2018-06-15,15.95
2018-06-22,15.24
2018-06-29,14.61
2018-07-06,14.98
2018-07-13,15.49
2018-07-20,15.47
2018-07-27,15.59
2018-08-03,15.98
2018-08-10,15.85
2018-08-17,16.67
2018-08-24,16.2
2018-08-31,16.53
2018-09-07,16.53
2018-09-14,16.58
2018-09-21,17.02
2018-09-28,16.31
2018-10-05,16.14
2018-10-12,15.42
2018-10-19,15.44
2018-10-26,14.63
2018-11-02,15.89
2018-11-09,15.72
2018-11-16,15.2
2018-11-23,14.54
2018-11-30,15.0
2018-12-07,14.71
2018-12-14,14.22
2018-12-21,12.61
2018-12-28,13.03
2019-01-04,13.8
2019-01-11,14.24
2019-01-18,14.68
2019-01-25,15.35
2019-02-01,15.69
2019-02-08,15.92
2019-02-15,16.09
2019-02-22,16.32
2019-03-01,16.38
2019-03-08,15.61
2019-03-15,16.07
2019-03-22,15.29
2019-03-29,15.43
2019-04-05,16.15
2019-04-12,16.4
2019-04-19,16.66
2019-04-26,15.77
2019-05-03,15.93
2019-05-10,14.79
2019-05-17,14.62
2019-05-24,14.39
2019-05-31,13.72
2019-06-07,14.09
2019-06-14,14.15
2019-06-21,14.94
2019-06-28,14.95
2019-07-05,15.17
2019-07-12,14.91
2019-07-19,14.84
2019-07-26,14.63
2019-08-02,13.27
2019-08-09,13.39
2019-08-16,12.8
2019-08-23,12.75
2019-08-30,13.82
2019-09-06,14.57
2019-09-13,15.32
2019-09-20,14.43
2019-09-27,15.0
2019-10-04,14.4
2019-10-11,14.35
2019-10-18,15.35
2019-10-25,16.16
2019-11-01,16.5
2019-11-08,17.43
2019-11-15,17.23
2019-11-22,17.12
2019-11-29,15.83
2019-12-06,15.91
2019-12-13,16.03
2019-12-20,15.58
2019-12-27,15.9
2020-01-03,15.77
