date,value
2015-01-02,40.24
2015-01-09,40.67
2015-01-16,38.34
2015-01-23,40.08
2015-01-30,36.13
2015-02-06,37.95
2015-02-13,38.56
2015-02-20,38.39
2015-02-27,34.84
2015-03-06,33.18
2015-03-13,32.43
2015-03-20,33.28
2015-03-27,31.49
2015-04-03,31.4
2015-04-10,32.11
2015-04-17,32.53
2015-04-24,33.26
2015-05-01,33.8
2015-05-08,33.41
2015-05-15,33.6
2015-05-22,34.76
2015-05-29,33.4
2015-06-05,32.92
2015-06-12,32.41
2015-06-19,31.8
2015-06-26,30.53
2015-07-03,30.69
2015-07-10,30.65
2015-07-17,30.36
2015-07-24,30.81
2015-07-31,30.52
2015-08-07,29.41
2015-08-14,28.71
2015-08-21,27.47
2015-08-28,28.03
2015-09-04,26.99
2015-09-11,27.15
2015-09-18,26.54
2015-09-25,25.01
2015-10-02,26.07
2015-10-09,29.3
2015-10-16,28.86
2015-10-23,29.03
2015-10-30,26.96
2015-11-06,14.01
2015-11-13,13.11
2015-11-20,14.06
2015-11-27,12.61
2015-12-04,12.32
2015-12-11,12.21
2015-12-18,11.51
2015-12-25,11.73
2016-01-01,11.84
2016-01-08,10.58
2016-01-15,10.11
2016-01-22,9.8
2016-01-29,9.71
2016-02-05,9.91
2016-02-12,9.42
2016-02-19,10.32
2016-02-26,10.64
2016-03-04,11.18
2016-03-11,11.7
2016-03-18,12.18
2016-03-25,12.07
2016-04-01,12.26
2016-04-08,12.06
2016-04-15,12.52
2016-04-22,12.61
2016-04-29,12.27
2016-05-06,11.59
2016-05-13,11.5
2016-05-20,11.66
2016-05-27,13.17
2016-06-03,13.44
2016-06-10,13.51
2016-06-17,13.12
2016-06-24,12.26
2016-07-01,12.73
2016-07-08,13.08
2016-07-15,13.85
2016-07-22,14.11
2016-07-29,14.01
2016-08-05,14.28
2016-08-12,14.28
2016-08-19,14.42
2016-08-26,14.39
2016-09-02,14.49
2016-09-09,14.07
2016-09-16,14.53
2016-09-23,15.09
2016-09-30,15.53
2016-10-07,15.58
2016-10-14,14.48
2016-10-21,13.8
2016-10-28,14.09
2016-11-04,14.71
2016-11-11,15.82
2016-11-18,15.87
2016-11-25,15.18
2016-12-02,15.12
2016-12-09,15.78
2016-12-16,15.05
2016-12-23,15.1
2016-12-30,14.84
2017-01-06,15.0
2017-01-13,14.77
2017-01-20,14.73
2017-01-27,14.8
2017-02-03,15.27
2017-02-10,15.72
2017-02-17,15.95
2017-02-24,17.65
2017-03-03,17.35
2017-03-10,17.39
2017-03-17,17.56
2017-03-24,17.23
2017-03-31,17.88
2017-04-07,17.37
2017-04-14,18.2
2017-04-21,18.29
2017-04-28,18.82
2017-05-05,18.91
2017-05-12,19.3
2017-05-19,19.0
2017-05-26,18.47
2017-06-02,18.98
2017-06-09,17.8
2017-06-16,17.35
2017-06-23,17.8
2017-06-30,17.48
2017-07-07,17.35
2017-07-14,18.42
2017-07-21,19.15
2017-07-28,19.17
2017-08-04,19.37
2017-08-11,18.9
2017-08-18,18.51
2017-08-25,19.31
2017-09-01,19.36
2017-09-08,19.12
2017-09-15,19.47
2017-09-22,19.94
2017-09-29,19.96
2017-10-06,20.58
2017-10-13,21.71
2017-10-20,22.02
2017-10-27,21.5
2017-11-03,21.47
2017-11-10,21.23
2017-11-17,21.75
2017-11-24,21.24
2017-12-01,21.41
2017-12-08,21.07
2017-12-15,20.92
2017-12-22,21.26
2017-12-29,21.01
2018-01-05,21.75
2018-01-12,22.92
2018-01-19,23.7
2018-01-26,23.91
2018-02-02,22.48
2018-02-09,20.11
2018-02-16,21.4
2018-02-23,22.13
2018-03-02,23.57
2018-03-09,24.65
2018-03-16,23.51
2018-03-23,21.85
2018-03-30,21.92
2018-04-06,20.78
2018-04-13,21.77
2018-04-20,21.53
2018-04-27,21.61
2018-05-04,21.68
2018-05-11,22.71
2018-05-18,22.14
2018-05-25,21.91
2018-06-01,22.68
2018-06-08,23.71
2018-06-15,23.59
2018-06-22,23.8
2018-06-29,22.69
2018-07-06,23.01
2018-07-13,23.71
2018-07-20,22.94
2018-07-27,23.23
2018-08-03,23.34
2018-08-10,23.99
2018-08-17,24.54
2018-08-24,24.15
2018-08-31,24.65
2018-09-07,24.71
2018-09-14,25.04
2018-09-21,25.83
2018-09-28,25.77
2018-10-05,25.34
2018-10-12,23.67
2018-10-19,23.84
2018-10-26,23.13
2018-11-02,24.63
2018-11-09,25.0
2018-11-16,24.16
2018-11-23,22.51
2018-11-30,23.0
2018-12-07,22.93
2018-12-14,22.01
2018-12-21,19.65
2018-12-28,20.34
2019-01-04,20.72
2019-01-11,21.17
2019-01-18,21.75
2019-01-25,22.1
2019-02-01,22.26
2019-02-08,22.92
2019-02-15,23.28
2019-02-22,23.74
2019-03-01,19.6
2019-03-08,18.74
2019-03-15,19.94
2019-03-22,19.34
2019-03-29,19.43
2019-04-05,19.79
2019-04-12,20.21
2019-04-19,20.52
2019-04-26,19.41
2019-05-03,20.29
2019-05-10,19.12
2019-05-17,19.02
2019-05-24,20.03
2019-05-31,18.68
2019-06-07,19.71
2019-06-14,19.91
2019-06-21,20.7
2019-06-28,20.79
2019-07-05,21.16
2019-07-12,21.23
2019-07-19,21.39
2019-07-26,21.52
2019-08-02,20.14
2019-08-09,19.28
2019-08-16,19.08
2019-08-23,17.81
2019-08-30,18.29
2019-09-06,19.1
2019-09-13,19.08
2019-09-20,18.47
2019-09-27,18.53
2019-10-04,16.64
2019-10-11,16.24
2019-10-18,16.85
2019-10-25,17.33
2019-11-01,17.78
2019-11-08,19.52
2019-11-15,20.18
2019-11-22,19.94
2019-11-29,20.08
2019-12-06,20.5
2019-12-13,20.35
2019-12-20,20.56
2019-12-27,20.53
2020-01-03,20.53
