date,value
2015-01-02,51.62
2015-01-09,51.28
2015-01-16,51.49
2015-01-23,53.35
2015-01-30,51.22
2015-02-06,53.58
2015-02-13,55.73
2015-02-20,57.92
2015-02-27,58.51
2015-03-06,56.76
2015-03-13,55.25
2015-03-20,56.8
2015-03-27,57.26
2015-04-03,57.42
2015-04-10,57.96
2015-04-17,56.35
2015-04-24,54.85
2015-05-01,55.28
2015-05-08,55.97
2015-05-15,56.67
2015-05-22,56.92
2015-05-29,57.22
2015-06-05,56.26
2015-06-12,56.46
2015-06-19,57.24
2015-06-26,57.72
2015-07-03,56.85
2015-07-10,57.31
2015-07-17,57.62
2015-07-24,57.56
2015-07-31,59.21
2015-08-07,60.23
2015-08-14,61.21
2015-08-21,61.38
2015-08-28,61.5
2015-09-04,60.67
2015-09-11,61.72
2015-09-18,61.08
2015-09-25,62.19
2015-10-02,64.18
2015-10-09,65.42
2015-10-16,65.9
2015-10-23,68.33
2015-10-30,67.55
2015-11-06,66.63
2015-11-13,66.17
2015-11-20,68.17
2015-11-27,75.01
2015-12-04,77.59
2015-12-11,77.44
2015-12-18,78.79
2015-12-25,79.82
2016-01-01,79.08
2016-01-08,78.17
2016-01-15,76.12
2016-01-22,75.98
2016-01-29,80.41
2016-02-05,78.94
2016-02-12,41.5
2016-02-19,42.75
2016-02-26,42.97
2016-03-04,44.01
2016-03-11,43.58
2016-03-18,43.7
2016-03-25,43.27
2016-04-01,43.91
2016-04-08,41.82
2016-04-15,39.46
2016-04-22,37.66
2016-04-29,38.55
2016-05-06,38.55
2016-05-13,39.9
2016-05-20,34.86
2016-05-27,34.78
2016-06-03,34.67
2016-06-10,34.76
2016-06-17,34.88
2016-06-24,35.34
2016-07-01,36.28
2016-07-08,36.61
2016-07-15,36.27
2016-07-22,36.88
2016-07-29,37.35
2016-08-05,36.41
2016-08-12,37.06
2016-08-19,38.66
2016-08-26,37.92
2016-09-02,38.46
2016-09-09,36.01
2016-09-16,36.37
2016-09-23,37.87
2016-09-30,37.93
2016-10-07,37.45
2016-10-14,37.92
2016-10-21,37.71
2016-10-28,38.22
2016-11-04,36.43
2016-11-11,34.78
2016-11-18,35.58
2016-11-25,35.86
2016-12-02,33.81
2016-12-09,34.39
2016-12-16,34.63
2016-12-23,35.31
2016-12-30,34.81
2017-01-06,36.34
2017-01-13,35.53
2017-01-20,36.27
2017-01-27,36.12
2017-02-03,36.14
2017-02-10,37.13
2017-02-17,37.26
2017-02-24,34.66
2017-03-03,35.37
2017-03-10,35.07
2017-03-17,34.92
2017-03-24,34.52
2017-03-31,34.63
2017-04-07,34.25
2017-04-14,34.04
2017-04-21,34.69
2017-04-28,35.08
2017-05-05,34.75
2017-05-12,34.41
2017-05-19,34.83
2017-05-26,33.12
2017-06-02,34.11
2017-06-09,34.77
2017-06-16,33.95
2017-06-23,34.94
2017-06-30,34.11
2017-07-07,33.2
2017-07-14,32.83
2017-07-21,33.23
2017-07-28,34.15
2017-08-04,33.67
2017-08-11,34.01
2017-08-18,34.09
2017-08-25,31.34
2017-09-01,30.92
2017-09-08,31.6
2017-09-15,31.38
2017-09-22,31.27
2017-09-29,32.14
2017-10-06,31.62
2017-10-13,31.85
2017-10-20,30.74
2017-10-27,30.38
2017-11-03,31.32
2017-11-10,32.33
2017-11-17,33.12
2017-11-24,34.41
2017-12-01,36.77
2017-12-08,37.24
2017-12-15,36.79
2017-12-22,36.73
2017-12-29,36.39
2018-01-05,36.35
2018-01-12,34.55
2018-01-19,34.76
2018-01-26,34.66
2018-02-02,33.65
2018-02-09,32.81
2018-02-16,34.35
2018-02-23,32.64
2018-03-02,32.65
2018-03-09,33.76
2018-03-16,33.5
2018-03-23,32.55
2018-03-30,34.32
2018-04-06,34.93
2018-04-13,35.04
2018-04-20,35.45
2018-04-27,36.47
2018-05-04,35.77
2018-05-11,36.26
2018-05-18,35.9
2018-05-25,35.86
2018-06-01,35.79
2018-06-08,36.21
2018-06-15,36.44
2018-06-22,36.27
2018-06-29,37.21
2018-07-06,37.15
2018-07-13,37.58
2018-07-20,37.25
2018-07-27,36.65
2018-08-03,37.02
2018-08-10,37.09
2018-08-17,38.64
2018-08-24,37.96
2018-08-31,39.15
2018-09-07,41.29
2018-09-14,41.9
2018-09-21,40.01
2018-09-28,39.4
2018-10-05,39.7
2018-10-12,39.69
2018-10-19,41.73
2018-10-26,41.17
2018-11-02,43.2
2018-11-09,45.02
2018-11-16,45.89
2018-11-23,45.67
2018-11-30,45.09
2018-12-07,44.34
2018-12-14,44.57
2018-12-21,42.54
2018-12-28,42.37
2019-01-04,41.7
2019-01-11,42.54
2019-01-18,43.84
2019-01-25,41.46
2019-02-01,42.0
2019-02-08,42.94
2019-02-15,43.2
2019-02-22,42.91
2019-03-01,43.39
2019-03-08,42.99
2019-03-15,42.56
2019-03-22,43.59
2019-03-29,44.76
2019-04-05,41.93
2019-04-12,41.15
2019-04-19,40.39
2019-04-26,39.94
2019-05-03,39.68
2019-05-10,39.86
2019-05-17,39.79
2019-05-24,40.27
2019-05-31,39.49
2019-06-07,42.05
2019-06-14,41.43
2019-06-21,41.41
2019-06-28,40.54
2019-07-05,41.5
2019-07-12,41.01
2019-07-19,41.26
2019-07-26,41.38
2019-08-02,41.36
2019-08-09,41.71
2019-08-16,41.45
2019-08-23,42.0
2019-08-30,42.61
2019-09-06,42.6
2019-09-13,42.98
2019-09-20,42.94
2019-09-27,43.54
2019-10-04,43.74
2019-10-11,41.16
2019-10-18,40.81
2019-10-25,40.57
2019-11-01,41.26
2019-11-08,41.97
2019-11-15,42.38
2019-11-22,42.31
2019-11-29,44.53
2019-12-06,45.34
2019-12-13,44.9
2019-12-20,44.96
2019-12-27,45.26
2020-01-03,44.25
