date,value
2015-01-02,136.835
2015-01-09,141.21
2015-01-16,139.5
2015-01-23,143.33
2015-01-30,138.07
2015-02-06,139.83
2015-02-13,143.175
2015-02-20,142.55
2015-02-27,140.05
2015-03-06,137.84
2015-03-13,136.37
2015-03-20,143.01
2015-03-27,138.8
2015-04-03,139.33
2015-04-10,141.855
2015-04-17,138.27
2015-04-24,142.54
2015-05-01,138.84
2015-05-08,138.27
2015-05-15,139.77
2015-05-22,142.05
2015-05-29,141.67
2015-06-05,140.22
2015-06-12,142.16
2015-06-19,144.84
2015-06-26,145.45
2015-07-03,144.45
2015-07-10,145.47
2015-07-17,148.1
2015-07-24,147.02
2015-07-31,147.98
2015-08-07,144.83
2015-08-14,145.1
2015-08-21,138.1
2015-08-28,139.4
2015-09-04,133.27
2015-09-11,135.24
2015-09-18,137.35
2015-09-25,131.11
2015-10-02,137.64
2015-10-09,141.7
2015-10-16,144.84
2015-10-23,149.92
2015-10-30,151.71
2015-11-06,153.69
2015-11-13,151.07
2015-11-20,156.13
2015-11-27,156.63
2015-12-04,158.35
2015-12-11,153.18
2015-12-18,152.14
2015-12-25,157.09
2016-01-01,158.19
2016-01-08,150.28
2016-01-15,146.72
2016-01-22,146.57
2016-01-29,151.44
2016-02-05,147.87
2016-02-12,158.99
2016-02-19,166.24
2016-02-26,167.53
2016-03-04,167.97
2016-03-11,169.75
2016-03-18,167.62
2016-03-25,167.98
2016-04-01,172.9
2016-04-08,167.99
2016-04-15,169.98
2016-04-22,170.83
2016-04-29,168.7
2016-05-06,170.0
2016-05-13,171.97
2016-05-20,170.75
2016-05-27,173.8
2016-06-03,175.87
2016-06-10,178.35
2016-06-17,172.9
2016-06-24,170.87
2016-07-01,177.21
2016-07-08,180.72
2016-07-15,180.58
2016-07-22,180.66
2016-07-29,180.98
2016-08-05,166.96
2016-08-12,165.46
2016-08-19,161.29
2016-08-26,163.36
2016-09-02,164.29
2016-09-09,158.86
2016-09-16,164.1
2016-09-23,164.45
2016-09-30,162.98
2016-10-07,161.77
2016-10-14,153.36
2016-10-21,152.54
2016-10-28,149.31
2016-11-04,154.86
2016-11-11,156.67
2016-11-18,156.96
2016-11-25,151.18
2016-12-02,149.57
2016-12-09,152.19
2016-12-16,153.76
2016-12-23,152.79
2016-12-30,151.71
2017-01-06,156.18
2017-01-13,159.05
2017-01-20,156.9
2017-01-27,159.65
2017-02-03,162.66
2017-02-10,165.07
2017-02-17,168.11
2017-02-24,173.53
2017-03-03,171.57
2017-03-10,172.17
2017-03-17,171.25
2017-03-24,171.25
2017-03-31,169.97
2017-04-07,167.55
2017-04-14,167.85
2017-04-21,168.11
2017-04-28,173.8
2017-05-05,178.35
2017-05-12,175.62
2017-05-19,177.81
2017-05-26,182.68
2017-06-02,186.57
2017-06-09,185.75
2017-06-16,182.73
2017-06-23,184.17
2017-06-30,183.02
2017-07-07,182.84
2017-07-14,184.52
2017-07-21,184.92
2017-07-28,182.91
2017-08-04,178.71
2017-08-11,170.58
2017-08-18,169.49
2017-08-25,171.57
2017-09-01,173.53
2017-09-08,175.34
2017-09-15,82.88
2017-09-22,79.6
2017-09-29,81.99
2017-10-06,80.99
2017-10-13,80.93
2017-10-20,84.53
2017-10-27,76.55
2017-11-03,77.64
2017-11-10,67.05
2017-11-17,69.12
2017-11-24,69.97
2017-12-01,70.66
2017-12-08,67.9
2017-12-15,70.16
2017-12-22,71.01
2017-12-29,69.88
2018-01-05,73.33
2018-01-12,74.84
2018-01-19,75.96
2018-01-26,78.93
2018-02-02,74.35
2018-02-09,71.75
2018-02-16,69.52
2018-02-23,68.05
2018-03-02,65.19
2018-03-09,68.43
2018-03-16,68.05
2018-03-23,64.59
2018-03-30,67.21
2018-04-06,66.78
2018-04-13,68.98
2018-04-20,69.07
2018-04-27,76.8
2018-05-04,75.55
2018-05-11,72.94
2018-05-18,71.94
2018-05-25,70.43
2018-06-01,69.53
2018-06-08,72.12
2018-06-15,73.29
2018-06-22,74.69
2018-06-29,72.64
2018-07-06,75.8
2018-07-13,74.86
2018-07-20,75.31
2018-07-27,77.58
2018-08-03,80.23
2018-08-10,77.37
2018-08-17,80.34
2018-08-24,81.15
2018-08-31,77.68
2018-09-07,80.18
2018-09-14,83.39
2018-09-21,85.67
2018-09-28,85.03
2018-10-05,88.44
2018-10-12,83.95
2018-10-19,82.51
2018-10-26,79.93
2018-11-02,83.51
2018-11-09,85.43
2018-11-16,86.07
2018-11-23,83.94
2018-11-30,89.2
2018-12-07,85.16
2018-12-14,80.52
2018-12-21,75.96
2018-12-28,77.92
2019-01-04,74.5
2019-01-11,79.76
2019-01-18,79.3
2019-01-25,77.25
2019-02-01,77.24
2019-02-08,59.15
2019-02-15,62.39
2019-02-22,59.94
2019-03-01,60.07
2019-03-08,58.57
2019-03-15,59.29
2019-03-22,59.8
2019-03-29,60.11
2019-04-05,62.73
2019-04-12,61.78
2019-04-19,61.5
2019-04-26,64.47
2019-05-03,63.23
2019-05-10,68.9
2019-05-17,67.92
2019-05-24,67.02
2019-05-31,64.46
2019-06-07,69.76
2019-06-14,71.28
2019-06-21,69.88
2019-06-28,69.9
2019-07-05,69.16
2019-07-12,70.585
2019-07-19,67.5
2019-07-26,67.8
2019-08-02,65.9
2019-08-09,63.03
2019-08-16,61.75
2019-08-23,59.46
2019-08-30,61.62
2019-09-06,61.56
2019-09-13,64.32
2019-09-20,62.85
2019-09-27,62.58
2019-10-04,62.93
2019-10-11,62.94
2019-10-18,62.81
2019-10-25,62.25
2019-11-01,63.3
2019-11-08,68.91
2019-11-15,68.46
2019-11-22,69.3
2019-11-29,68.9
2019-12-06,69.42
2019-12-13,68.49
2019-12-20,66.66
2019-12-27,66.58
2020-01-03,66.56
