date,value
2015-01-02,15.12
2015-01-09,14.58
2015-01-16,14.12
2015-01-23,15.06
2015-01-30,15.02
2015-02-06,15.41
2015-02-13,15.49
2015-02-20,15.5
2015-02-27,15.55
2015-03-06,14.6
2015-03-13,13.99
2015-03-20,13.98
2015-03-27,13.65
2015-04-03,13.62
2015-04-10,13.75
2015-04-17,13.85
2015-04-24,13.97
2015-05-01,13.87
2015-05-08,12.88
2015-05-15,12.72
2015-05-22,12.77
2015-05-29,12.83
2015-06-05,12.76
2015-06-12,12.14
2015-06-19,11.78
2015-06-26,11.84
2015-07-03,11.48
2015-07-10,11.59
2015-07-17,11.67
2015-07-24,10.78
2015-07-31,11.18
2015-08-07,11.9
2015-08-14,11.81
2015-08-21,11.6
2015-08-28,11.51
2015-09-04,11.32
2015-09-11,11.33
2015-09-18,10.76
2015-09-25,10.97
2015-10-02,10.23
2015-10-09,10.68
2015-10-16,10.67
2015-10-23,11.18
2015-10-30,11.16
2015-11-06,11.57
2015-11-13,10.96
2015-11-20,10.99
2015-11-27,11.37
2015-12-04,11.77
2015-12-11,10.87
2015-12-18,11.62
2015-12-25,12.26
2016-01-01,12.19
2016-01-08,12.01
2016-01-15,10.9
2016-01-22,11.06
2016-01-29,10.98
2016-02-05,10.79
2016-02-12,10.38
2016-02-19,10.43
2016-02-26,11.0
2016-03-04,11.22
2016-03-11,11.4
2016-03-18,11.22
2016-03-25,11.74
2016-04-01,12.31
2016-04-08,12.23
2016-04-15,12.17
2016-04-22,12.17
2016-04-29,12.27
2016-05-06,11.89
2016-05-13,11.83
2016-05-20,11.94
2016-05-27,12.41
2016-06-03,12.33
2016-06-10,12.2
2016-06-17,12.15
2016-06-24,12.11
2016-07-01,12.42
2016-07-08,12.5
2016-07-15,12.72
2016-07-22,13.18
2016-07-29,13.26
2016-08-05,13.67
2016-08-12,13.7
2016-08-19,13.77
2016-08-26,13.58
2016-09-02,13.76
2016-09-09,13.53
2016-09-16,13.29
2016-09-23,13.29
2016-09-30,13.56
2016-10-07,13.62
2016-10-14,13.49
2016-10-21,13.61
2016-10-28,13.76
2016-11-04,12.9
2016-11-11,13.55
2016-11-18,13.81
2016-11-25,13.85
2016-12-02,13.55
2016-12-09,13.67
2016-12-16,13.45
2016-12-23,13.99
2016-12-30,14.11
2017-01-06,14.41
2017-01-13,14.19
2017-01-20,14.17
2017-01-27,14.41
2017-02-03,14.45
2017-02-10,14.66
2017-02-17,15.17
2017-02-24,15.12
2017-03-03,14.82
2017-03-10,14.69
2017-03-17,15.09
2017-03-24,14.81
2017-03-31,15.13
2017-04-07,15.01
2017-04-14,15.1
2017-04-21,15.34
2017-04-28,15.52
2017-05-05,13.0
2017-05-12,12.66
2017-05-19,13.26
2017-05-26,13.22
2017-06-02,13.09
2017-06-09,13.05
2017-06-16,13.28
2017-06-23,13.3
2017-06-30,13.24
2017-07-07,13.27
2017-07-14,13.44
2017-07-21,13.29
2017-07-28,13.3
2017-08-04,12.78
2017-08-11,12.67
2017-08-18,12.53
2017-08-25,12.43
2017-09-01,12.41
2017-09-08,12.04
2017-09-15,12.4
2017-09-22,12.64
2017-09-29,12.9
2017-10-06,12.69
2017-10-13,12.7
2017-10-20,12.71
2017-10-27,12.63
2017-11-03,13.4
2017-11-10,13.47
2017-11-17,13.65
2017-11-24,13.67
2017-12-01,13.39
2017-12-08,13.34
2017-12-15,12.99
2017-12-22,12.95
2017-12-29,13.12
2018-01-05,12.99
2018-01-12,13.0
2018-01-19,13.1
2018-01-26,13.1
