date,value
2017-07-14,50.5
2017-07-21,50.67
2017-07-28,50.88
2017-08-04,51.01
2017-08-11,51.96
2017-08-18,50.74
2017-08-25,50.93
2017-09-01,50.91
2017-09-08,50.79
2017-09-15,51.07
2017-09-22,51.11
2017-09-29,51.29
2017-10-06,51.06
2017-10-13,51.16
2017-10-20,51.34
2017-10-27,51.27
2017-11-03,51.04
2017-11-10,50.57
2017-11-17,50.72
2017-11-24,51.02
2017-12-01,50.68
2017-12-08,50.73
2017-12-15,50.79
2017-12-22,50.52
2017-12-29,50.69
2018-01-05,51.09
2018-01-12,51.03
2018-01-19,51.05
2018-01-26,51.18
2018-02-02,50.55
2018-02-09,49.25
2018-02-16,50.28
2018-02-23,50.28
2018-03-02,49.71
2018-03-09,49.87
2018-03-16,49.95
2018-03-23,49.53
2018-03-30,49.75
2018-04-06,49.61
2018-04-13,50.05
2018-04-20,50.06
2018-04-27,49.51
2018-05-04,49.45
2018-05-11,49.55
2018-05-18,49.39
2018-05-25,49.44
2018-06-01,49.26
2018-06-08,49.46
2018-06-15,49.62
2018-06-22,49.58
2018-06-29,49.22
2018-07-06,49.05
2018-07-13,49.32
2018-07-20,49.38
2018-07-27,49.5
2018-08-03,49.4
2018-08-10,49.55
2018-08-17,49.55
2018-08-24,49.72
2018-08-31,49.77
2018-09-07,49.39
2018-09-14,49.64
2018-09-21,49.61
2018-09-28,49.73
2018-10-05,49.15
2018-10-12,48.93
2018-10-19,48.71
2018-10-26,48.5
2018-11-02,48.27
2018-11-09,48.3
2018-11-16,47.67
2018-11-23,47.37
2018-11-30,47.83
2018-12-07,47.35
2018-12-14,47.73
2018-12-21,45.94
2018-12-28,46.39
2019-01-04,46.89
2019-01-11,47.82
2019-01-18,48.21
2019-01-25,48.23
2019-02-01,48.31
2019-02-08,48.45
2019-02-15,48.87
2019-02-22,48.98
2019-03-01,48.96
2019-03-08,48.62
2019-03-15,49.09
2019-03-22,49.04
2019-03-29,49.29
2019-04-05,49.45
2019-04-12,49.77
2019-04-19,49.74
2019-04-26,49.93
2019-05-03,49.76
2019-05-10,49.5
2019-05-17,49.28
2019-05-24,49.07
2019-05-31,48.66
2019-06-07,49.18
2019-06-14,49.37
2019-06-21,49.98
2019-06-28,49.97
2019-07-05,49.88
2019-07-12,49.94
2019-07-19,49.97
2019-07-26,50.44
2019-08-02,50.06
2019-08-09,49.96
2019-08-16,50.03
2019-08-23,50.05
2019-08-30,50.54
2019-09-06,50.46
2019-09-13,50.5
2019-09-20,50.64
2019-09-27,50.55
2019-10-04,50.29
2019-10-11,50.44
2019-10-18,50.63
2019-10-25,50.8
2019-11-01,50.5
2019-11-08,50.48
2019-11-15,50.32
2019-11-22,50.0
2019-11-29,50.21
2019-12-06,50.12
2019-12-13,50.47
2019-12-20,50.6
2019-12-27,50.7
2020-01-03,50.74
