date,value
2015-01-02,93.78
2015-01-09,93.32
2015-01-16,92.6
2015-01-23,93.01
2015-01-30,92.9
2015-02-06,94.36
2015-02-13,94.63
2015-02-20,94.85
2015-02-27,95.2
2015-03-06,94.51
2015-03-13,93.95
2015-03-20,93.65
2015-03-27,93.66
2015-04-03,93.46
2015-04-10,94.17
2015-04-17,93.66
2015-04-24,93.86
2015-05-01,94.34
2015-05-08,94.06
2015-05-15,94.07
2015-05-22,94.2
2015-05-29,93.99
2015-06-05,93.43
2015-06-12,93.17
2015-06-19,92.9
2015-06-26,92.84
2015-07-03,91.88
2015-07-10,92.13
2015-07-17,91.99
2015-07-24,90.43
2015-07-31,91.22
2015-08-07,89.58
2015-08-14,89.21
2015-08-21,87.7
2015-08-28,89.0
2015-09-04,88.11
2015-09-11,88.85
2015-09-18,88.12
2015-09-25,86.3
2015-10-02,83.86
2015-10-09,86.96
2015-10-16,86.78
2015-10-23,87.74
2015-10-30,87.75
2015-11-06,87.23
2015-11-13,85.81
2015-11-20,85.2
2015-11-27,85.13
2015-12-04,85.35
2015-12-11,81.11
2015-12-18,81.89
2015-12-25,83.24
2016-01-01,83.05
2016-01-08,81.79
2016-01-15,79.15
2016-01-22,80.25
2016-01-29,80.67
2016-02-05,78.63
2016-02-12,77.49
2016-02-19,78.28
2016-02-26,79.29
2016-03-04,82.08
2016-03-11,83.41
2016-03-18,83.6
2016-03-25,83.01
2016-04-01,82.72
2016-04-08,81.96
2016-04-15,83.27
2016-04-22,84.79
2016-04-29,84.54
2016-05-06,83.74
2016-05-13,83.77
2016-05-20,84.31
2016-05-27,85.12
2016-06-03,84.4
2016-06-10,84.48
2016-06-17,84.01
2016-06-24,83.83
2016-07-01,85.87
2016-07-08,85.39
2016-07-15,86.1
2016-07-22,86.55
2016-07-29,85.77
2016-08-05,85.96
2016-08-12,87.09
2016-08-19,87.66
2016-08-26,87.51
2016-09-02,87.89
2016-09-09,87.25
2016-09-16,86.8
2016-09-23,87.81
2016-09-30,87.91
2016-10-07,88.29
2016-10-14,87.95
2016-10-21,88.52
2016-10-28,87.81
2016-11-04,86.47
2016-11-11,85.49
2016-11-18,87.46
2016-11-25,88.47
2016-12-02,88.05
2016-12-09,89.4
2016-12-16,89.42
2016-12-23,90.21
2016-12-30,89.58
2017-01-06,90.22
2017-01-13,90.33
2017-01-20,90.25
2017-01-27,90.81
2017-02-03,90.6
2017-02-10,90.53
2017-02-17,90.9
2017-02-24,91.14
2017-03-03,91.56
2017-03-10,89.97
2017-03-17,90.5
2017-03-24,89.93
2017-03-31,91.02
2017-04-07,90.75
2017-04-14,90.0
2017-04-21,90.35
2017-04-28,91.02
2017-05-05,90.57
2017-05-12,90.86
2017-05-19,90.85
2017-05-26,91.29
2017-06-02,91.17
2017-06-09,91.03
2017-06-16,90.77
2017-06-23,90.72
2017-06-30,91.33
2017-07-07,90.81
2017-07-14,91.44
2017-07-21,91.52
2017-07-28,91.66
2017-08-04,91.19
