date,value
2016-06-17,49.75
2016-06-24,49.91
2016-07-01,50.69
2016-07-08,50.69
2016-07-15,51.47
2016-07-22,51.53
2016-07-29,51.47
2016-08-05,50.93
2016-08-12,50.93
2016-08-19,50.93
2016-08-26,51.99
2016-09-02,51.61
2016-09-09,51.55
2016-09-16,51.55
2016-09-23,51.85
2016-09-30,51.57
2016-10-07,51.29
2016-10-14,51.52
2016-10-21,51.68
2016-10-28,51.92
2016-11-04,50.54
2016-11-11,50.33
2016-11-18,50.33
2016-11-25,50.79
2016-12-02,50.38
2016-12-09,50.77
2016-12-16,50.77
2016-12-23,50.77
2016-12-30,50.61
2017-01-06,51.5
2017-01-13,51.5
2017-01-20,51.68
2017-01-27,51.68
2017-02-03,51.72
2017-02-10,51.73
2017-02-17,51.85
2017-02-24,52.24
2017-03-03,52.06
2017-03-10,51.29
2017-03-17,51.29
2017-03-24,51.32
2017-03-31,51.32
2017-04-07,51.81
2017-04-14,51.75
2017-04-21,51.75
2017-04-28,52.26
2017-05-05,51.9
2017-05-12,52.06
2017-05-19,51.97
2017-05-26,52.08
2017-06-02,52.12
2017-06-09,52.12
2017-06-16,52.12
2017-06-23,52.1
2017-06-30,52.27
2017-07-07,52.1
2017-07-14,52.1
2017-07-21,52.48
2017-07-28,52.5
2017-08-04,52.19
2017-08-11,51.69
2017-08-18,51.75
2017-08-25,52.0
2017-09-01,52.06
2017-09-08,51.94
2017-09-15,51.91
2017-09-22,51.91
2017-09-29,51.91
2017-10-06,51.95
2017-10-13,51.94
2017-10-20,51.94
2017-10-27,51.94
2017-11-03,51.65
2017-11-10,51.02
2017-11-17,50.9
2017-11-24,51.48
2017-12-01,51.24
2017-12-08,51.16
2017-12-15,51.2
2017-12-22,51.2
2017-12-29,51.06
2018-01-05,51.38
2018-01-12,51.21
2018-01-19,51.18
2018-01-26,51.28
2018-02-02,50.91
2018-02-09,49.88
2018-02-16,50.7
2018-02-23,50.41
2018-03-02,50.33
2018-03-09,50.5
2018-03-16,50.3
2018-03-23,49.97
2018-03-30,49.99
2018-04-06,50.08
2018-04-13,50.41
2018-04-20,50.53
2018-04-27,50.33
2018-05-04,50.05
2018-05-11,50.2
2018-05-18,50.08
2018-05-25,50.13
2018-06-01,50.13
2018-06-08,50.13
2018-06-15,50.44
2018-06-22,50.39
2018-06-29,50.02
2018-07-06,49.81
2018-07-13,50.09
2018-07-20,50.35
2018-07-27,50.35
2018-08-03,50.38
2018-08-10,50.52
2018-08-17,50.5
2018-08-24,50.62
2018-08-31,50.77
2018-09-07,50.38
2018-09-14,50.71
2018-09-21,50.78
2018-09-28,50.68
2018-10-05,50.31
2018-10-12,49.83
2018-10-19,49.98
2018-10-26,49.62
2018-11-02,49.65
2018-11-09,49.79
2018-11-16,49.1
2018-11-23,49.19
2018-11-30,49.5
2018-12-07,49.05
2018-12-14,49.22
2018-12-21,47.76
2018-12-28,47.9
2019-01-04,48.02
2019-01-11,49.53
2019-01-18,49.96
2019-01-25,49.81
2019-02-01,50.01
2019-02-08,50.0
2019-02-15,50.36
2019-02-22,50.53
2019-03-01,50.7
2019-03-08,50.22
2019-03-15,50.66
2019-03-22,50.6
2019-03-29,51.01
2019-04-05,50.98
2019-04-12,51.22
2019-04-19,51.11
2019-04-26,51.29
2019-05-03,51.02
2019-05-10,50.89
2019-05-17,50.58
2019-05-24,50.88
2019-05-31,50.62
2019-06-07,50.95
2019-06-14,51.1
2019-06-21,51.68
2019-06-28,51.52
2019-07-05,51.43
2019-07-12,51.44
2019-07-19,51.45
2019-07-26,51.73
2019-08-02,51.33
2019-08-09,51.37
2019-08-16,51.31
2019-08-23,51.5
2019-08-30,51.84
2019-09-06,51.81
2019-09-13,51.85
2019-09-20,51.9
2019-09-27,51.91
2019-10-04,51.39
2019-10-11,51.52
2019-10-18,51.83
2019-10-25,52.1
2019-11-01,51.82
2019-11-08,51.79
2019-11-15,51.86
2019-11-22,51.75
2019-11-29,51.93
2019-12-06,51.92
2019-12-13,52.11
2019-12-20,52.14
2019-12-27,52.29
2020-01-03,52.39
