date,value
2016-01-08,44.42
2016-01-15,44.0
2016-01-22,43.01
2016-01-29,44.28
2016-02-05,44.46
2016-02-12,43.6621
2016-02-19,43.74
2016-02-26,43.55
2016-03-04,44.82
2016-03-11,46.73
2016-03-18,47.01
2016-03-25,46.505
2016-04-01,47.48
2016-04-08,47.4
2016-04-15,47.37
2016-04-22,47.82
2016-04-29,47.82
2016-05-06,48.31
2016-05-13,47.31
2016-05-20,47.52
2016-05-27,46.96
2016-06-03,48.02
2016-06-10,47.77
2016-06-17,46.88
2016-06-24,45.7
2016-07-01,46.44
2016-07-08,46.25
2016-07-15,46.75
2016-07-22,46.49
2016-07-29,47.32
2016-08-05,47.32
2016-08-12,47.81
2016-08-19,48.5228
2016-08-26,48.33
2016-09-02,48.15
2016-09-09,48.365
2016-09-16,47.7
2016-09-23,48.15
2016-09-30,48.0399
2016-10-07,47.84
2016-10-14,47.23
2016-10-21,46.95
2016-10-28,46.96
2016-11-04,46.96
2016-11-11,46.96
2016-11-18,46.96
2016-11-25,46.96
2016-12-02,45.07
2016-12-09,45.4115
2016-12-16,45.09
2016-12-23,45.19
2016-12-30,45.85
2017-01-06,46.0801
2017-01-13,46.34
2017-01-20,46.77
2017-01-27,46.7601
2017-02-03,47.1
2017-02-10,47.1
2017-02-17,47.1
2017-02-24,47.1
2017-03-03,47.1
2017-03-10,47.1
2017-03-17,47.1
2017-03-24,47.1
2017-03-31,47.1
2017-04-07,47.1
2017-04-14,47.1
2017-04-21,47.1
2017-04-28,47.1
2017-05-05,47.1
2017-05-12,47.1
2017-05-19,47.1
2017-05-26,47.1
2017-06-02,47.1
2017-06-09,47.1
2017-06-16,50.14
2017-06-23,50.18
2017-06-30,50.99
2017-07-07,50.78
2017-07-14,51.22
2017-07-21,52.23
2017-07-28,52.7209
2017-08-04,53.11
2017-08-11,52.96
2017-08-18,52.75
2017-08-25,53.21
2017-09-01,53.24
2017-09-08,54.15
2017-09-15,54.0389
2017-09-22,54.0749
2017-09-29,53.56
2017-10-06,53.0486
2017-10-13,53.59
2017-10-20,53.495
2017-10-27,53.03
2017-11-03,53.24
2017-11-10,53.17
2017-11-17,53.67
2017-11-24,54.36
2017-12-01,54.05
2017-12-08,53.57
2017-12-15,53.44
2017-12-22,53.94
2017-12-29,54.45
2018-01-05,55.0
2018-01-12,55.42
2018-01-19,55.95
2018-01-26,56.929
2018-02-02,56.6
2018-02-09,55.27
2018-02-16,56.07
2018-02-23,55.5
2018-03-02,55.7
2018-03-09,55.75
2018-03-16,55.57
2018-03-23,55.54
2018-03-30,55.49
2018-04-06,55.34
2018-04-13,55.95
2018-04-20,55.6
2018-04-27,54.94
2018-05-04,54.19
2018-05-11,54.03
2018-05-18,53.18
2018-05-25,52.37
2018-06-01,52.4
2018-06-08,52.7
2018-06-15,52.3
2018-06-22,52.18
2018-06-29,51.8626
2018-07-06,52.585
2018-07-13,52.674
2018-07-20,52.712
2018-07-27,52.51
2018-08-03,52.21
2018-08-10,51.56
2018-08-17,51.66
2018-08-24,52.51
2018-08-31,52.35
2018-09-07,52.1055
2018-09-14,52.6392
2018-09-21,53.43
2018-09-28,52.66
2018-10-05,52.2673
2018-10-12,52.18
2018-10-19,51.73
2018-10-26,51.08
2018-11-02,51.16
2018-11-09,51.16
2018-11-16,50.58
2018-11-23,49.96
2018-11-30,49.785
2018-12-07,50.0089
2018-12-14,49.7
2018-12-21,47.755
2018-12-28,48.2916
2019-01-04,48.01
2019-01-11,48.7571
2019-01-18,48.7411
2019-01-25,49.005
2019-02-01,49.485
2019-02-08,48.865
2019-02-15,49.0898
2019-02-22,49.485
2019-03-01,50.01
2019-03-08,49.355
2019-03-15,50.1586
2019-03-22,49.975
2019-03-29,49.8401
2019-04-05,50.1304
2019-04-12,50.6861
2019-04-19,50.5744
2019-04-26,50.07
2019-05-03,50.305
2019-05-10,50.1472
2019-05-17,49.805
2019-05-24,49.885
2019-05-31,49.47
2019-06-07,50.48
2019-06-14,50.0809
2019-06-21,51.2962
2019-06-28,51.4165
2019-07-05,51.13
2019-07-12,51.1857
2019-07-19,50.8505
2019-07-26,50.8082
2019-08-02,50.46
2019-08-09,50.8218
2019-08-16,50.235
2019-08-23,50.9276
2019-08-30,50.4272
2019-09-06,50.71
2019-09-13,51.0466
2019-09-20,50.63
2019-09-27,50.09
2019-10-04,50.06
2019-10-11,50.4667
2019-10-18,51.24
2019-10-25,50.86
2019-11-01,51.29
2019-11-08,50.69
2019-11-15,50.84
2019-11-22,50.62
2019-11-29,51.08
2019-12-06,51.34
2019-12-13,51.85
2019-12-20,51.28
2019-12-27,51.6
2020-01-03,51.62
