date,value
2016-01-08,50.31
2016-01-15,50.76
2016-01-22,50.7
2016-01-29,51.06
2016-02-05,50.85
2016-02-12,50.72
2016-02-19,51.09
2016-02-26,51.19
2016-03-04,51.12
2016-03-11,51.25
2016-03-18,51.45
2016-03-25,51.63
2016-04-01,51.65
2016-04-08,51.82
2016-04-15,51.7
2016-04-22,51.59
2016-04-29,51.55
2016-05-06,51.8
2016-05-13,51.84
2016-05-20,51.62
2016-05-27,52.0
2016-06-03,52.21
2016-06-10,52.34
2016-06-17,52.42
2016-06-24,52.42
2016-07-01,53.15
2016-07-08,53.42
2016-07-15,53.06
2016-07-22,53.22
2016-07-29,53.46
2016-08-05,53.29
2016-08-12,53.66
2016-08-19,53.56
2016-08-26,53.5
2016-09-02,53.36
2016-09-09,53.26
2016-09-16,53.02
2016-09-23,53.47
2016-09-30,53.54
2016-10-07,53.14
2016-10-14,52.88
2016-10-21,53.15
2016-10-28,52.59
2016-11-04,52.88
2016-11-11,52.13
2016-11-18,51.85
2016-11-25,52.08
2016-12-02,51.91
2016-12-09,51.57
2016-12-16,51.81
2016-12-23,51.63
2016-12-30,51.88
2017-01-06,51.46
2017-01-13,51.51
2017-01-20,51.25
2017-01-27,51.2
2017-02-03,51.13
2017-02-10,51.45
2017-02-17,51.52
2017-02-24,51.88
2017-03-03,51.72
2017-03-10,51.28
2017-03-17,51.49
2017-03-24,51.63
2017-03-31,51.8
2017-04-07,51.87
2017-04-14,52.03
2017-04-21,52.03
2017-04-28,52.05
2017-05-05,51.92
2017-05-12,51.95
2017-05-19,52.15
2017-05-26,52.25
2017-06-02,52.13
2017-06-09,52.26
2017-06-16,52.3
2017-06-23,52.42
2017-06-30,51.81
2017-07-07,51.33
2017-07-14,51.52
2017-07-21,51.76
2017-07-28,51.7
2017-08-04,51.84
2017-08-11,52.04
2017-08-18,51.99
2017-08-25,51.98
2017-09-01,51.87
2017-09-08,52.14
2017-09-15,51.74
2017-09-22,51.74
2017-09-29,51.7
2017-10-06,51.67
2017-10-13,51.84
2017-10-20,51.76
2017-10-27,51.87
2017-11-03,52.16
2017-11-10,52.01
2017-11-17,52.16
2017-11-24,52.29
2017-12-01,52.31
2017-12-08,53.61
2017-12-15,52.5
2017-12-22,52.2
2017-12-29,52.05
2018-01-05,52.23
2018-01-12,52.12
2018-01-19,52.07
2018-01-26,52.01
2018-02-02,51.79
2018-02-09,51.79
2018-02-16,51.75
2018-02-23,51.98
2018-03-02,52.03
2018-03-09,52.12
2018-03-16,52.37
2018-03-23,52.49
2018-03-30,52.67
2018-04-06,52.63
2018-04-13,52.6
2018-04-20,52.42
2018-04-27,52.55
2018-05-04,52.53
2018-05-11,52.41
2018-05-18,52.27
2018-05-25,52.5
2018-06-01,52.49
2018-06-08,52.27
2018-06-15,52.59
2018-06-22,52.67
2018-06-29,52.69
2018-07-06,52.68
2018-07-13,52.82
2018-07-20,52.77
2018-07-27,52.67
2018-08-03,52.38
2018-08-10,52.51
2018-08-17,52.51
2018-08-24,52.56
2018-08-31,52.51
2018-09-07,52.4
2018-09-14,52.34
2018-09-21,52.28
2018-09-28,52.27
2018-10-05,51.8
2018-10-12,51.75
2018-10-19,51.99
2018-10-26,52.2
2018-11-02,52.11
2018-11-09,52.1
2018-11-16,52.2
2018-11-23,52.24
2018-11-30,52.34
2018-12-07,52.48
2018-12-14,52.56
2018-12-21,52.05
2018-12-28,52.19
2019-01-04,52.17
2019-01-11,52.07
2019-01-18,52.2
2019-01-25,52.46
2019-02-01,52.43
2019-02-08,52.55
2019-02-15,52.59
2019-02-22,52.65
2019-03-01,52.44
2019-03-08,52.86
2019-03-15,52.88
2019-03-22,53.35
2019-03-29,53.48
2019-04-05,53.14
2019-04-12,53.1
2019-04-19,53.16
2019-04-26,53.3
2019-05-03,53.11
2019-05-10,53.13
2019-05-17,53.27
2019-05-24,53.44
2019-05-31,53.78
2019-06-07,54.04
2019-06-14,54.08
2019-06-21,54.34
2019-06-28,54.48
2019-07-05,54.6
2019-07-12,54.24
2019-07-19,54.74
2019-07-26,54.98
2019-08-02,55.1
2019-08-09,55.37
2019-08-16,55.97
2019-08-23,55.74
2019-08-30,56.1
2019-09-06,55.81
2019-09-13,55.16
2019-09-20,55.62
2019-09-27,55.83
2019-10-04,55.84
2019-10-11,55.32
2019-10-18,55.17
2019-10-25,55.18
2019-11-01,55.21
2019-11-08,54.77
2019-11-15,54.95
2019-11-22,55.06
2019-11-29,55.14
2019-12-06,54.81
2019-12-13,54.94
2019-12-20,54.89
2019-12-27,54.95
2020-01-03,55.08
