date,value
2015-01-02,49.86
2015-01-09,48.56
2015-01-16,47.21
2015-01-23,47.72
2015-01-30,46.03
2015-02-06,48.32
2015-02-13,49.3101
2015-02-20,49.62
2015-02-27,49.3301
2015-03-06,49.42
2015-03-13,49.35
2015-03-20,50.27
2015-03-27,49.0
2015-04-03,49.63
2015-04-10,49.82
2015-04-17,49.62
2015-04-24,49.6401
2015-05-01,49.56
2015-05-08,50.1576
2015-05-15,49.939
2015-05-22,50.35
2015-05-29,49.8103
2015-06-05,50.27
2015-06-12,51.29
2015-06-19,51.5
2015-06-26,51.49
2015-07-03,51.59
2015-07-10,51.91
2015-07-17,52.78
2015-07-24,52.8199
2015-07-31,53.17
2015-08-07,52.61
2015-08-14,53.44
2015-08-21,50.3785
2015-08-28,50.0
2015-09-04,48.52
2015-09-11,49.3
2015-09-18,48.5213
2015-09-25,48.81
2015-10-02,48.6117
2015-10-09,50.12
2015-10-16,50.761
2015-10-23,52.24
2015-10-30,52.343
2015-11-06,52.95
2015-11-13,51.41
2015-11-20,53.04
2015-11-27,53.09
2015-12-04,53.4
2015-12-11,50.4487
2015-12-18,49.95
2015-12-25,51.4999
2016-01-01,51.1501
2016-01-08,47.5
2016-01-15,46.75
2016-01-22,46.881
2016-01-29,47.81
2016-02-05,46.25
2016-02-12,45.77
2016-02-19,46.8295
2016-02-26,47.41
2016-03-04,48.6701
2016-03-11,49.65
2016-03-18,50.53
2016-03-25,49.14
2016-04-01,50.5
2016-04-08,48.85
2016-04-15,50.55
2016-04-22,50.954
2016-04-29,50.36
2016-05-06,50.41
2016-05-13,50.9001
2016-05-20,51.6542
2016-05-27,52.57
2016-06-03,51.9786
2016-06-10,51.18
2016-06-17,50.2
2016-06-24,49.01
2016-07-01,50.69
2016-07-08,50.67
2016-07-15,51.62
2016-07-22,51.81
2016-07-29,51.35
2016-08-05,52.16
2016-08-12,51.8496
2016-08-19,52.1268
2016-08-26,52.53
2016-09-02,53.335
2016-09-09,52.584
2016-09-16,52.31
2016-09-23,53.0724
2016-09-30,52.88
2016-10-07,53.49
2016-10-14,53.8
2016-10-21,52.62
2016-10-28,52.88
2016-11-04,52.08
2016-11-11,56.61
2016-11-18,57.43
2016-11-25,58.099
2016-12-02,57.86
2016-12-09,59.91
2016-12-16,59.73
2016-12-23,59.96
2016-12-30,59.33
2017-01-06,59.7702
2017-01-13,59.4055
2017-01-20,59.48
2017-01-27,60.078
2017-02-03,59.74
2017-02-10,60.47
2017-02-17,61.12
2017-02-24,61.6
2017-03-03,62.24
2017-03-10,61.67
2017-03-17,61.6
2017-03-24,59.74
2017-03-31,60.6176
2017-04-07,60.162
2017-04-14,59.2903
2017-04-21,59.6
2017-04-28,60.64
2017-05-05,61.13
2017-05-12,60.0499
2017-05-19,59.82
2017-05-26,61.0
2017-06-02,61.85
2017-06-09,62.51
2017-06-16,63.19
2017-06-23,61.665
2017-06-30,62.6171
2017-07-07,63.31
2017-07-14,63.4
2017-07-21,63.77
2017-07-28,64.398
2017-08-04,65.09
2017-08-11,63.7028
2017-08-18,62.96
2017-08-25,63.038
2017-09-01,62.28
2017-09-08,61.17
2017-09-15,62.49
2017-09-22,63.3501
2017-09-29,63.72
2017-10-06,64.7064
2017-10-13,65.0398
2017-10-20,66.06
2017-10-27,65.91
2017-11-03,65.83
2017-11-10,65.83
2017-11-17,65.47
2017-11-24,65.3837
2017-12-01,67.3
2017-12-08,67.28
2017-12-15,66.84
2017-12-22,66.4541
2017-12-29,66.6
2018-01-05,66.66
2018-01-12,67.5768
2018-01-19,68.21
2018-01-26,69.88
2018-02-02,67.41
2018-02-09,63.44
2018-02-16,66.1
2018-02-23,65.4654
2018-03-02,64.05
2018-03-09,67.1
2018-03-16,66.41
2018-03-23,62.98
2018-03-30,64.54
2018-04-06,63.73
2018-04-13,64.151
2018-04-20,65.25
2018-04-27,65.58
2018-05-04,63.4202
2018-05-11,64.01
2018-05-18,64.3402
2018-05-25,64.15
2018-06-01,63.75
2018-06-08,65.03
2018-06-15,64.27
2018-06-22,63.13
2018-06-29,61.49
2018-07-06,62.27
2018-07-13,62.841
2018-07-20,63.3
2018-07-27,64.99
2018-08-03,65.41
2018-08-10,64.81
2018-08-17,65.83
2018-08-24,66.01
2018-08-31,66.0
2018-09-07,66.2
2018-09-14,66.72
2018-09-21,68.16
2018-09-28,66.33
2018-10-05,66.32
2018-10-12,62.55
2018-10-19,62.93
2018-10-26,59.72
2018-11-02,61.5193
2018-11-09,63.8631
2018-11-16,62.28
2018-11-23,61.7287
2018-11-30,62.5906
2018-12-07,59.3155
2018-12-14,57.9707
2018-12-21,55.8467
2018-12-28,57.1899
2019-01-04,58.4444
2019-01-11,59.4475
2019-01-18,61.8333
2019-01-25,61.6772
2019-02-01,62.6402
2019-02-08,62.3012
2019-02-15,64.03
2019-02-22,64.67
2019-03-01,65.06
2019-03-08,63.42
2019-03-15,64.8628
2019-03-22,62.9456
2019-03-29,63.6231
2019-04-05,64.8323
2019-04-12,65.935
2019-04-19,66.173
2019-04-26,67.1539
2019-05-03,68.31
2019-05-10,68.2778
2019-05-17,68.45
2019-05-24,69.0562
2019-05-31,67.5
2019-06-07,70.4762
2019-06-14,70.931
2019-06-21,70.7566
2019-06-28,70.7089
2019-07-05,72.67
2019-07-12,72.8979
2019-07-19,71.7233
2019-07-26,72.7745
2019-08-02,70.1007
2019-08-09,70.9467
