date,value
2015-01-02,306.34
2015-01-09,313.32
2015-01-16,317.82
2015-01-23,322.41
2015-01-30,321.65
2015-02-06,315.59
2015-02-13,323.46
2015-02-20,336.43
2015-02-27,337.47
2015-03-06,342.36
2015-03-13,345.33
2015-03-20,366.52
2015-03-27,347.46
2015-04-03,339.7
2015-04-10,357.445
2015-04-17,356.46
2015-04-24,363.7
2015-05-01,344.0
2015-05-08,352.14
2015-05-15,355.61
2015-05-22,364.54
2015-05-29,365.03
2015-06-05,367.04
2015-06-12,363.9
2015-06-19,377.49
2015-06-26,372.78
2015-07-03,370.35
2015-07-10,372.8
2015-07-17,397.585
2015-07-24,377.58
2015-07-31,382.53
2015-08-07,368.67
2015-08-14,364.06
2015-08-21,339.84
2015-08-28,353.28
2015-09-04,337.1
2015-09-11,354.74
2015-09-18,356.76
2015-09-25,310.24
2015-10-02,315.53
2015-10-09,308.45
2015-10-16,314.32
2015-10-23,316.28
2015-10-30,325.46
2015-11-06,330.24
2015-11-13,323.64
2015-11-20,333.49
2015-11-27,341.01
2015-12-04,331.72
2015-12-11,319.89
2015-12-18,331.49
2015-12-25,339.79
2016-01-01,338.33
2016-01-08,302.2
2016-01-15,284.18
2016-01-22,288.02
2016-01-29,267.05
2016-02-05,256.24
2016-02-12,251.19
2016-02-19,261.83
2016-02-26,261.49
2016-03-04,263.13
2016-03-11,261.94
2016-03-18,251.34
2016-03-25,255.48
2016-04-01,268.31
2016-04-08,277.35
2016-04-15,280.61
2016-04-22,288.34
2016-04-29,267.95
2016-05-06,255.28
2016-05-13,253.9
2016-05-20,264.18
2016-05-27,276.19
2016-06-03,281.77
2016-06-10,267.6
2016-06-17,256.37
2016-06-24,249.04
2016-07-01,262.75
2016-07-08,271.13
2016-07-15,272.53
2016-07-22,280.9
2016-07-29,289.44
2016-08-05,297.29
2016-08-12,292.52
2016-08-19,290.31
2016-08-26,285.14
2016-09-02,280.61
2016-09-09,278.63
2016-09-16,291.63
2016-09-23,298.18
2016-09-30,289.46
2016-10-07,284.1
2016-10-14,266.08
2016-10-21,267.77
2016-10-28,260.49
2016-11-04,251.7
2016-11-11,288.0
2016-11-18,284.72
2016-11-25,284.46
2016-12-02,270.46
2016-12-09,269.67
2016-12-16,272.42
2016-12-23,272.32
2016-12-30,265.38
2017-01-06,280.26
2017-01-13,280.01
2017-01-20,273.42
2017-01-27,274.08
2017-02-03,283.05
2017-02-10,284.37
2017-02-17,294.35
2017-02-24,289.9
2017-03-03,302.49
2017-03-10,300.6
2017-03-17,295.28
2017-03-24,290.06
2017-03-31,293.27
2017-04-07,290.52
2017-04-14,290.59
2017-04-21,287.49
2017-04-28,297.64
2017-05-05,295.87
2017-05-12,292.87
2017-05-19,290.45
2017-05-26,288.22
2017-06-02,295.79
2017-06-09,294.11
2017-06-16,292.73
2017-06-23,320.74
2017-06-30,310.08
2017-07-07,312.46
2017-07-14,316.41
2017-07-21,324.88
2017-07-28,321.82
2017-08-04,315.58
2017-08-11,306.41
2017-08-18,304.06
2017-08-25,311.05
2017-09-01,335.84
2017-09-08,334.1
2017-09-15,331.82
2017-09-22,329.94
2017-09-29,333.59
2017-10-06,340.48
2017-10-13,336.38
2017-10-20,331.8
2017-10-27,316.12
2017-11-03,316.87
2017-11-10,312.18
2017-11-17,311.21
2017-11-24,312.63
2017-12-01,105.7
2017-12-08,106.07
2017-12-15,106.6
