date,value
2015-01-02,100.28
2015-01-09,100.98
2015-01-16,101.69
2015-01-23,101.65
2015-01-30,101.75
2015-02-06,101.05
2015-02-13,101.41
2015-02-20,101.12
2015-02-27,101.75
2015-03-06,101.0
2015-03-13,100.89
2015-03-20,101.83
2015-03-27,102.24
2015-04-03,102.54
2015-04-10,103.3
2015-04-17,104.24
2015-04-24,103.73
2015-05-01,103.28
2015-05-08,103.09
2015-05-15,102.21
2015-05-22,25.41
2015-05-29,25.65
2015-06-05,25.28
2015-06-12,25.25
2015-06-19,25.29
2015-06-26,25.14
2015-07-03,25.22
2015-07-10,25.15
2015-07-17,25.19
2015-07-24,25.24
2015-07-31,25.33
2015-08-07,25.18
2015-08-14,25.14
2015-08-21,25.27
2015-08-28,25.11
2015-09-04,25.23
2015-09-11,25.2
2015-09-18,25.32
2015-09-25,25.32
2015-10-02,25.39
2015-10-09,25.36
2015-10-16,25.41
2015-10-23,25.36
2015-10-30,25.28
2015-11-06,25.05
2015-11-13,25.14
2015-11-20,25.18
2015-11-27,25.22
2015-12-04,25.12
2015-12-11,25.18
2015-12-18,25.06
2015-12-25,25.06
2016-01-01,24.95
2016-01-08,25.09
2016-01-15,25.13
2016-01-22,25.08
2016-01-29,25.17
2016-02-05,25.08
2016-02-12,25.08
2016-02-19,25.04
2016-02-26,25.12
2016-03-04,25.05
2016-03-11,25.1
2016-03-18,25.28
2016-03-25,25.4
2016-04-01,25.53
2016-04-08,25.65
2016-04-15,25.61
2016-04-22,25.57
2016-04-29,25.64
2016-05-06,25.63
2016-05-13,25.63
2016-05-20,25.49
2016-05-27,25.51
2016-06-03,25.61
2016-06-10,25.7
2016-06-17,25.74
2016-06-24,25.81
2016-07-01,25.8
2016-07-08,25.84
2016-07-15,25.78
2016-07-22,25.83
2016-07-29,25.94
2016-08-05,25.82
2016-08-12,25.88
2016-08-19,25.85
2016-08-26,25.84
2016-09-02,25.79
2016-09-09,25.72
2016-09-16,25.71
2016-09-23,25.81
2016-09-30,25.73
2016-10-07,25.61
2016-10-14,25.67
2016-10-21,25.78
2016-10-28,25.66
2016-11-04,25.66
2016-11-11,25.5
2016-11-18,25.31
2016-11-25,25.28
2016-12-02,25.2
2016-12-09,25.23
2016-12-16,25.1
2016-12-23,25.16
2016-12-30,25.23
2017-01-06,25.24
2017-01-13,25.3
2017-01-20,25.35
2017-01-27,25.34
2017-02-03,25.33
2017-02-10,25.39
2017-02-17,25.38
2017-02-24,25.48
2017-03-03,25.33
2017-03-10,25.28
2017-03-17,25.32
2017-03-24,25.4
2017-03-31,25.42
2017-04-07,25.38
2017-04-14,25.49
2017-04-21,25.48
2017-04-28,25.49
2017-05-05,25.43
2017-05-12,25.47
2017-05-19,25.56
2017-05-26,25.56
2017-06-02,25.52
2017-06-09,25.49
2017-06-16,25.51
2017-06-23,25.51
2017-06-30,25.51
2017-07-07,25.45
2017-07-14,25.55
2017-07-21,25.62
2017-07-28,25.56
2017-08-04,25.55
2017-08-11,25.56
2017-08-18,25.58
2017-08-25,25.6
2017-09-01,25.57
2017-09-08,25.61
2017-09-15,25.56
2017-09-22,25.54
2017-09-29,25.56
2017-10-06,25.53
2017-10-13,25.54
2017-10-20,25.51
2017-10-27,25.5
2017-11-03,25.46
2017-11-10,25.4
2017-11-17,25.36
2017-11-24,25.42
2017-12-01,25.34
2017-12-08,25.37
2017-12-15,25.34
2017-12-22,25.28
2017-12-29,25.31
2018-01-05,25.32
2018-01-12,25.3
2018-01-19,25.28
2018-01-26,25.26
2018-02-02,25.2
2018-02-09,25.19
2018-02-16,25.12
2018-02-23,25.14
2018-03-02,25.07
2018-03-09,25.06
2018-03-16,25.05
2018-03-23,25.04
2018-03-30,25.07
2018-04-06,25.05
2018-04-13,25.06
2018-04-20,25.03
2018-04-27,25.03
2018-05-04,24.99
2018-05-11,25.02
2018-05-18,25.02
2018-05-25,25.08
2018-06-01,25.03
2018-06-08,25.01
2018-06-15,25.02
2018-06-22,25.01
2018-06-29,25.04
2018-07-06,24.99
2018-07-13,25.0
2018-07-20,25.0
2018-07-27,25.03
2018-08-03,25.01
2018-08-10,25.02
2018-08-17,25.05
2018-08-24,25.07
2018-08-31,25.08
2018-09-07,25.03
2018-09-14,25.01
2018-09-21,25.02
2018-09-28,25.04
2018-10-05,24.97
2018-10-12,25.0
2018-10-19,24.97
2018-10-26,25.03
2018-11-02,24.94
2018-11-09,24.95
2018-11-16,24.96
2018-11-23,24.98
2018-11-30,24.97
2018-12-07,24.94
2018-12-14,24.96
2018-12-21,24.93
2018-12-28,25.01
2019-01-04,25.03
2019-01-11,25.04
2019-01-18,25.08
2019-01-25,25.12
2019-02-01,25.1
2019-02-08,25.15
2019-02-15,25.15
2019-02-22,25.17
2019-03-01,25.13
2019-03-08,25.16
2019-03-15,25.19
2019-03-22,25.23
2019-03-29,25.24
2019-04-05,25.19
2019-04-12,25.19
2019-04-19,25.21
2019-04-26,25.24
2019-05-03,25.19
2019-05-10,25.2
2019-05-17,25.22
2019-05-24,25.25
2019-05-31,25.29
2019-06-07,25.27
2019-06-14,25.26
2019-06-21,25.33
2019-06-28,25.34
2019-07-05,25.28
2019-07-12,25.3
2019-07-19,25.33
2019-07-26,25.3
2019-08-02,25.3
2019-08-09,25.32
2019-08-16,25.34
2019-08-23,25.35
2019-08-30,25.38
2019-09-06,25.33
2019-09-13,25.31
2019-09-20,25.34
2019-09-27,25.36
2019-10-04,25.34
2019-10-11,25.34
2019-10-18,25.35
2019-10-25,25.35
2019-11-01,25.3
2019-11-08,25.31
2019-11-15,25.33
2019-11-22,25.32
2019-11-29,25.33
2019-12-06,25.28
2019-12-13,25.3
2019-12-20,25.26
2019-12-27,25.27
2020-01-03,25.28
