date,value
2015-03-13,99.19
2015-03-20,100.24
2015-03-27,100.49
2015-04-03,100.41
2015-04-10,100.7
2015-04-17,101.46
2015-04-24,101.36
2015-05-01,100.46
2015-05-08,100.24
2015-05-15,100.42
2015-05-22,24.96
2015-05-29,25.2
2015-06-05,24.78
2015-06-12,24.65
2015-06-19,24.82
2015-06-26,24.63
2015-07-03,24.65
2015-07-10,24.64
2015-07-17,24.59
2015-07-24,24.61
2015-07-31,24.68
2015-08-07,24.49
2015-08-14,24.4
2015-08-21,24.62
2015-08-28,24.49
2015-09-04,24.52
2015-09-11,24.56
2015-09-18,24.64
2015-09-25,24.72
2015-10-02,24.72
2015-10-09,24.67
2015-10-16,24.76
2015-10-23,24.86
2015-10-30,24.65
2015-11-06,24.42
2015-11-13,24.55
2015-11-20,24.55
2015-11-27,24.58
2015-12-04,24.48
2015-12-11,24.62
2015-12-18,24.41
2015-12-25,24.37
2016-01-01,24.31
2016-01-08,24.54
2016-01-15,24.44
2016-01-22,24.39
2016-01-29,24.47
2016-02-05,24.42
2016-02-12,24.34
2016-02-19,24.39
2016-02-26,24.48
2016-03-04,24.42
2016-03-11,24.51
2016-03-18,24.8
2016-03-25,24.81
2016-04-01,24.94
2016-04-08,25.07
2016-04-15,25.07
2016-04-22,25.05
2016-04-29,25.12
2016-05-06,25.11
2016-05-13,25.1
2016-05-20,24.93
2016-05-27,24.93
2016-06-03,25.09
2016-06-10,25.18
2016-06-17,25.18
2016-06-24,25.26
2016-07-01,25.36
2016-07-08,25.44
2016-07-15,25.28
2016-07-22,25.41
2016-07-29,25.53
2016-08-05,25.31
2016-08-12,25.39
2016-08-19,25.4
2016-08-26,25.37
2016-09-02,25.32
2016-09-09,25.29
2016-09-16,25.27
2016-09-23,25.31
2016-09-30,25.34
2016-10-07,25.21
2016-10-14,25.22
2016-10-21,25.3
2016-10-28,25.2
2016-11-04,25.2
2016-11-11,25.0
2016-11-18,24.75
2016-11-25,24.6
2016-12-02,24.63
2016-12-09,24.61
2016-12-16,24.53
2016-12-23,24.46
2016-12-30,24.7
2017-01-06,24.67
2017-01-13,24.7
2017-01-20,24.67
2017-01-27,24.73
2017-02-03,24.71
2017-02-10,24.79
2017-02-17,24.78
2017-02-24,24.88
2017-03-03,24.71
2017-03-10,24.63
2017-03-17,24.7
2017-03-24,24.76
2017-03-31,24.81
2017-04-07,24.76
2017-04-14,24.97
2017-04-21,24.95
2017-04-28,24.94
2017-05-05,24.88
2017-05-12,24.94
2017-05-19,25.01
2017-05-26,25.03
2017-06-02,25.08
2017-06-09,25.01
2017-06-16,25.07
2017-06-23,25.06
2017-06-30,24.99
2017-07-07,24.9
2017-07-14,25.03
2017-07-21,25.1
2017-07-28,25.08
2017-08-04,25.04
2017-08-11,25.08
2017-08-18,25.1
2017-08-25,25.11
2017-09-01,25.08
2017-09-08,25.13
2017-09-15,25.04
2017-09-22,25.04
2017-09-29,25.05
2017-10-06,25.01
2017-10-13,25.07
2017-10-20,24.99
2017-10-27,24.96
2017-11-03,24.96
2017-11-10,24.9
2017-11-17,24.88
2017-11-24,24.92
2017-12-01,24.82
2017-12-08,24.86
2017-12-15,24.84
2017-12-22,24.75
2017-12-29,24.8
2018-01-05,24.76
2018-01-12,24.75
2018-01-19,24.7
2018-01-26,24.68
2018-02-02,24.61
2018-02-09,24.6
2018-02-16,24.51
2018-02-23,24.51
2018-03-02,24.43
2018-03-09,24.42
2018-03-16,24.42
2018-03-23,24.41
2018-03-30,24.47
2018-04-06,24.44
2018-04-13,24.42
2018-04-20,24.36
2018-04-27,24.39
2018-05-04,24.33
2018-05-11,24.34
2018-05-18,24.33
2018-05-25,24.42
2018-06-01,24.36
2018-06-08,24.35
2018-06-15,24.34
2018-06-22,24.33
2018-06-29,24.37
2018-07-06,24.31
2018-07-13,24.36
2018-07-20,24.37
2018-07-27,24.37
2018-08-03,24.36
2018-08-10,24.36
2018-08-17,24.41
2018-08-24,24.42
2018-08-31,24.44
2018-09-07,24.35
2018-09-14,24.33
2018-09-21,24.34
2018-09-28,24.36
2018-10-05,24.26
2018-10-12,24.29
2018-10-19,24.26
2018-10-26,24.31
2018-11-02,24.22
2018-11-09,24.22
2018-11-16,24.24
2018-11-23,24.26
2018-11-30,24.24
2018-12-07,24.2
2018-12-14,24.24
2018-12-21,24.23
2018-12-28,24.33
2019-01-04,24.36
2019-01-11,24.36
2019-01-18,24.41
2019-01-25,24.47
2019-02-01,24.5
2019-02-08,24.54
2019-02-15,24.55
2019-02-22,24.58
2019-03-01,24.52
2019-03-08,24.6
2019-03-15,24.63
2019-03-22,24.7
2019-03-29,24.72
2019-04-05,24.66
2019-04-12,24.67
2019-04-19,24.66
2019-04-26,24.72
2019-05-03,24.66
2019-05-10,24.69
2019-05-17,24.72
2019-05-24,24.73
2019-05-31,24.81
2019-06-07,24.83
2019-06-14,24.84
2019-06-21,24.91
2019-06-28,24.93
2019-07-05,24.85
2019-07-12,24.87
2019-07-19,24.91
2019-07-26,24.88
2019-08-02,24.89
2019-08-09,24.93
2019-08-16,24.98
2019-08-23,24.99
2019-08-30,25.02
2019-09-06,24.96
2019-09-13,24.88
2019-09-20,24.95
2019-09-27,24.97
2019-10-04,25.01
2019-10-11,24.97
2019-10-18,25.0
2019-10-25,25.01
2019-11-01,24.98
2019-11-08,24.95
2019-11-15,24.98
2019-11-22,24.98
2019-11-29,24.99
2019-12-06,24.94
2019-12-13,24.96
2019-12-20,24.91
2019-12-27,24.94
2020-01-03,24.97
