date,value
2015-03-13,99.12
2015-03-20,99.95
2015-03-27,100.26
2015-04-03,100.73
2015-04-10,100.99
2015-04-17,101.08
2015-04-24,101.18
2015-05-01,99.81
2015-05-08,99.03
2015-05-15,99.6
2015-05-22,24.79
2015-05-29,24.83
2015-06-05,24.83
2015-06-12,24.26
2015-06-19,24.51
2015-06-26,24.24
2015-07-03,24.24
2015-07-10,24.54
2015-07-17,24.28
2015-07-24,24.34
2015-07-31,24.3
2015-08-07,24.28
2015-08-14,24.37
2015-08-21,24.38
2015-08-28,24.2
2015-09-04,24.24
2015-09-11,24.31
2015-09-18,24.36
2015-09-25,24.24
2015-10-02,24.43
2015-10-09,24.37
2015-10-16,24.49
2015-10-23,24.51
2015-10-30,24.47
2015-11-06,24.2
2015-11-13,24.35
2015-11-20,24.33
2015-11-27,24.66
2015-12-04,24.24
2015-12-11,24.31
2015-12-18,24.27
2015-12-25,24.28
2016-01-01,24.17
2016-01-08,24.3
2016-01-15,24.18
2016-01-22,24.07
2016-01-29,24.24
2016-02-05,24.14
2016-02-12,24.2
2016-02-19,24.23
2016-02-26,24.42
2016-03-04,24.4
2016-03-11,24.48
2016-03-18,24.76
2016-03-25,24.82
2016-04-01,24.93
2016-04-08,25.12
2016-04-15,25.08
2016-04-22,25.16
2016-04-29,25.22
2016-05-06,25.23
2016-05-13,25.23
2016-05-20,25.04
2016-05-27,25.11
2016-06-03,25.28
2016-06-10,25.38
2016-06-17,25.37
2016-06-24,25.47
2016-07-01,25.63
2016-07-08,25.77
2016-07-15,25.64
2016-07-22,25.7
2016-07-29,25.76
2016-08-05,25.51
2016-08-12,25.77
2016-08-19,25.75
2016-08-26,25.69
2016-09-02,25.66
2016-09-09,25.51
2016-09-16,25.5
2016-09-23,25.67
2016-09-30,25.7
2016-10-07,25.52
2016-10-14,25.48
2016-10-21,25.57
2016-10-28,25.44
2016-11-04,25.36
2016-11-11,25.04
2016-11-18,24.77
2016-11-25,24.69
2016-12-02,24.68
2016-12-09,24.61
2016-12-16,24.39
2016-12-23,24.54
2016-12-30,24.72
2017-01-06,24.78
2017-01-13,24.8
2017-01-20,24.78
2017-01-27,24.79
2017-02-03,24.81
2017-02-10,24.87
2017-02-17,24.85
2017-02-24,24.98
2017-03-03,24.78
2017-03-10,24.62
2017-03-17,24.75
2017-03-24,24.82
2017-03-31,24.91
2017-04-07,24.88
2017-04-14,25.12
2017-04-21,25.11
2017-04-28,25.11
2017-05-05,25.01
2017-05-12,25.11
2017-05-19,25.25
2017-05-26,25.28
2017-06-02,25.32
2017-06-09,25.25
2017-06-16,25.31
2017-06-23,25.31
2017-06-30,25.21
2017-07-07,25.1
2017-07-14,25.26
2017-07-21,25.39
2017-07-28,25.37
2017-08-04,25.32
2017-08-11,25.37
2017-08-18,25.37
2017-08-25,25.39
2017-09-01,25.37
2017-09-08,25.47
2017-09-15,25.32
2017-09-22,25.33
2017-09-29,25.37
2017-10-06,25.3
2017-10-13,25.37
2017-10-20,25.28
2017-10-27,25.28
2017-11-03,25.24
2017-11-10,25.12
2017-11-17,25.11
2017-11-24,25.15
2017-12-01,25.07
2017-12-08,25.04
2017-12-15,25.1
2017-12-22,24.96
2017-12-29,25.07
2018-01-05,25.0
2018-01-12,24.98
2018-01-19,24.87
2018-01-26,24.86
2018-02-02,24.72
2018-02-09,24.66
2018-02-16,24.6
2018-02-23,24.61
2018-03-02,24.49
2018-03-09,24.45
2018-03-16,24.44
2018-03-23,24.39
2018-03-30,24.48
2018-04-06,24.45
2018-04-13,24.43
2018-04-20,24.29
2018-04-27,24.33
2018-05-04,24.26
2018-05-11,24.27
2018-05-18,24.21
2018-05-25,24.37
2018-06-01,24.28
2018-06-08,24.25
2018-06-15,24.24
2018-06-22,24.2
2018-06-29,24.28
2018-07-06,24.24
2018-07-13,24.32
2018-07-20,24.32
2018-07-27,24.3
2018-08-03,24.32
2018-08-10,24.35
2018-08-17,24.41
2018-08-24,24.45
2018-08-31,24.38
2018-09-07,24.3
2018-09-14,24.27
2018-09-21,24.27
2018-09-28,24.3
2018-10-05,24.11
2018-10-12,24.16
2018-10-19,24.08
2018-10-26,24.17
2018-11-02,24.01
2018-11-09,24.07
2018-11-16,24.09
2018-11-23,24.08
2018-11-30,24.07
2018-12-07,24.06
2018-12-14,24.12
2018-12-21,24.08
2018-12-28,24.2
2019-01-04,24.23
2019-01-11,24.27
2019-01-18,24.32
2019-01-25,24.44
2019-02-01,24.54
2019-02-08,24.57
2019-02-15,24.6
2019-02-22,24.65
2019-03-01,24.58
2019-03-08,24.72
2019-03-15,24.81
2019-03-22,24.98
2019-03-29,25.01
2019-04-05,24.9
2019-04-12,24.89
2019-04-19,24.89
2019-04-26,24.98
2019-05-03,24.9
2019-05-10,24.94
2019-05-17,25.0
2019-05-24,25.03
2019-05-31,25.16
2019-06-07,25.21
2019-06-14,25.23
2019-06-21,25.38
2019-06-28,25.41
2019-07-05,25.33
2019-07-12,25.32
2019-07-19,25.36
2019-07-26,25.39
2019-08-02,25.44
2019-08-09,25.49
2019-08-16,25.57
2019-08-23,25.66
2019-08-30,25.68
2019-09-06,25.61
2019-09-13,25.37
2019-09-20,25.51
2019-09-27,25.57
2019-10-04,25.68
2019-10-11,25.56
2019-10-18,25.59
2019-10-25,25.58
2019-11-01,25.59
2019-11-08,25.47
2019-11-15,25.52
2019-11-22,25.56
2019-11-29,25.57
2019-12-06,25.52
2019-12-13,25.54
2019-12-20,25.48
2019-12-27,25.54
2020-01-03,25.61
