date,value
2015-03-13,99.12
2015-03-20,99.94
2015-03-27,99.94
2015-04-03,99.94
2015-04-10,101.28
2015-04-17,101.34
2015-04-24,100.79
2015-05-01,99.67
2015-05-08,98.95
2015-05-15,98.85
2015-05-22,24.67
2015-05-29,24.65
2015-06-05,24.16
2015-06-12,24.21
2015-06-19,24.3
2015-06-26,24.09
2015-07-03,24.12
2015-07-10,24.06
2015-07-17,24.13
2015-07-24,24.24
2015-07-31,24.14
2015-08-07,24.05
2015-08-14,24.05
2015-08-21,24.26
2015-08-28,23.95
2015-09-04,24.17
2015-09-11,24.12
2015-09-18,24.28
2015-09-25,24.17
2015-10-02,24.3
2015-10-09,24.45
2015-10-16,24.35
2015-10-23,24.42
2015-10-30,24.18
2015-11-06,23.97
2015-11-13,24.01
2015-11-20,24.21
2015-11-27,24.27
2015-12-04,24.07
2015-12-11,24.14
2015-12-18,24.02
2015-12-25,23.99
2016-01-01,24.0
2016-01-08,24.12
2016-01-15,24.11
2016-01-22,23.89
2016-01-29,24.01
2016-02-05,23.9
2016-02-12,23.95
2016-02-19,24.02
2016-02-26,24.2
2016-03-04,24.04
2016-03-11,24.2
2016-03-18,24.53
2016-03-25,24.63
2016-04-01,24.78
2016-04-08,24.9
2016-04-15,24.9
2016-04-22,24.87
2016-04-29,25.12
2016-05-06,25.11
2016-05-13,25.17
2016-05-20,24.96
2016-05-27,25.02
2016-06-03,25.22
2016-06-10,25.32
2016-06-17,25.35
2016-06-24,25.41
2016-07-01,25.5
2016-07-08,25.7
2016-07-15,25.46
2016-07-22,25.6
2016-07-29,25.74
2016-08-05,25.42
2016-08-12,25.54
2016-08-19,25.64
2016-08-26,25.61
2016-09-02,25.55
2016-09-09,25.4
2016-09-16,25.42
2016-09-23,25.5
2016-09-30,25.62
2016-10-07,25.37
2016-10-14,25.35
2016-10-21,25.54
2016-10-28,25.34
2016-11-04,25.27
2016-11-11,24.79
2016-11-18,24.53
2016-11-25,24.52
2016-12-02,24.49
2016-12-09,24.41
2016-12-16,24.19
2016-12-23,24.38
2016-12-30,24.48
2017-01-06,24.61
2017-01-13,24.64
2017-01-20,24.56
2017-01-27,24.54
2017-02-03,24.54
2017-02-10,24.64
2017-02-17,24.69
2017-02-24,24.89
2017-03-03,24.64
2017-03-10,24.44
2017-03-17,24.53
2017-03-24,24.67
2017-03-31,24.75
2017-04-07,24.69
2017-04-14,24.86
2017-04-21,24.89
2017-04-28,24.94
2017-05-05,24.78
2017-05-12,24.9
2017-05-19,25.08
2017-05-26,25.1
2017-06-02,25.17
2017-06-09,25.08
2017-06-16,25.18
2017-06-23,25.21
2017-06-30,25.06
2017-07-07,24.92
2017-07-14,25.06
2017-07-21,25.22
2017-07-28,25.17
2017-08-04,25.16
2017-08-11,25.19
2017-08-18,25.23
2017-08-25,25.28
2017-09-01,25.25
2017-09-08,25.34
2017-09-15,25.21
2017-09-22,25.21
2017-09-29,25.18
2017-10-06,25.15
2017-10-13,25.28
2017-10-20,25.18
2017-10-27,25.15
2017-11-03,25.18
2017-11-10,25.04
2017-11-17,25.06
2017-11-24,25.16
2017-12-01,25.05
2017-12-08,25.09
2017-12-15,25.1
2017-12-22,24.97
2017-12-29,25.05
2018-01-05,24.97
2018-01-12,24.96
2018-01-19,24.83
2018-01-26,24.84
2018-02-02,24.58
2018-02-09,24.56
2018-02-16,24.51
2018-02-23,24.43
2018-03-02,24.35
2018-03-09,24.35
2018-03-16,24.31
2018-03-23,24.28
2018-03-30,24.39
2018-04-06,24.3
2018-04-13,24.26
2018-04-20,24.1
2018-04-27,24.11
2018-05-04,23.99
2018-05-11,24.03
2018-05-18,23.96
2018-05-25,24.15
2018-06-01,24.07
2018-06-08,24.06
2018-06-15,24.0
2018-06-22,24.02
2018-06-29,24.07
2018-07-06,24.06
2018-07-13,24.1
2018-07-20,24.1
2018-07-27,24.08
2018-08-03,24.11
2018-08-10,24.15
2018-08-17,24.23
2018-08-24,24.26
2018-08-31,24.26
2018-09-07,24.12
2018-09-14,24.09
2018-09-21,24.06
2018-09-28,24.1
2018-10-05,23.9
2018-10-12,23.93
2018-10-19,23.87
2018-10-26,24.0
2018-11-02,23.79
2018-11-09,23.8
2018-11-16,23.82
2018-11-23,23.8
2018-11-30,23.78
2018-12-07,23.76
2018-12-14,23.83
2018-12-21,23.76
2018-12-28,23.89
2019-01-04,23.95
2019-01-11,24.04
2019-01-18,24.08
2019-01-25,24.23
2019-02-01,24.36
2019-02-08,24.42
2019-02-15,24.4
2019-02-22,24.45
2019-03-01,24.4
2019-03-08,24.53
2019-03-15,24.63
2019-03-22,24.83
2019-03-29,24.88
2019-04-05,24.77
2019-04-12,24.78
2019-04-19,24.77
2019-04-26,24.87
2019-05-03,24.81
2019-05-10,24.85
2019-05-17,24.94
2019-05-24,24.96
2019-05-31,25.13
2019-06-07,25.2
2019-06-14,25.22
2019-06-21,25.41
2019-06-28,25.48
2019-07-05,25.36
2019-07-12,25.36
2019-07-19,25.42
2019-07-26,25.43
2019-08-02,25.47
2019-08-09,25.58
2019-08-16,25.71
2019-08-23,25.77
2019-08-30,25.8
2019-09-06,25.72
2019-09-13,25.42
2019-09-20,25.6
2019-09-27,25.65
2019-10-04,25.8
2019-10-11,25.64
2019-10-18,25.69
2019-10-25,25.68
2019-11-01,25.69
2019-11-08,25.54
2019-11-15,25.62
2019-11-22,25.66
2019-11-29,25.68
2019-12-06,25.62
2019-12-13,25.65
2019-12-20,25.6
2019-12-27,25.68
2020-01-03,25.76
