date,value
2017-09-15,24.96
2017-09-22,24.87
2017-09-29,24.84
2017-10-06,24.88
2017-10-13,25.05
2017-10-20,24.93
2017-10-27,24.96
2017-11-03,24.99
2017-11-10,24.76
2017-11-17,24.85
2017-11-24,24.95
2017-12-01,24.9
2017-12-08,24.88
2017-12-15,24.95
2017-12-22,24.7
2017-12-29,24.94
2018-01-05,24.83
2018-01-12,24.84
2018-01-19,24.6
2018-01-26,24.68
2018-02-02,24.28
2018-02-09,24.1
2018-02-16,24.09
2018-02-23,24.06
2018-03-02,23.97
2018-03-09,23.94
2018-03-16,23.93
2018-03-23,23.85
2018-03-30,24.07
2018-04-06,23.92
2018-04-13,23.97
2018-04-20,23.66
2018-04-27,23.64
2018-05-04,23.54
2018-05-11,23.55
2018-05-18,23.43
2018-05-25,23.63
2018-06-01,23.58
2018-06-08,23.53
2018-06-15,23.54
2018-06-22,23.42
2018-06-29,23.61
2018-07-06,23.56
2018-07-13,23.8
2018-07-20,23.67
2018-07-27,23.69
2018-08-03,23.67
2018-08-10,23.71
2018-08-17,23.8
2018-08-24,23.87
2018-08-31,23.77
2018-09-07,23.67
2018-09-14,23.59
2018-09-21,23.58
2018-09-28,23.56
2018-10-05,23.24
2018-10-12,23.3
2018-10-19,23.18
2018-10-26,23.36
2018-11-02,23.08
2018-11-09,23.18
2018-11-16,23.12
2018-11-23,23.09
2018-11-30,23.12
2018-12-07,23.2
2018-12-14,23.26
2018-12-21,23.23
2018-12-28,23.28
2019-01-04,23.37
2019-01-11,23.46
2019-01-18,23.5
2019-01-25,23.69
2019-02-01,23.83
2019-02-08,23.98
2019-02-15,23.92
2019-02-22,24.02
2019-03-01,23.87
2019-03-08,24.05
2019-03-15,24.18
2019-03-22,24.47
2019-03-29,24.53
2019-04-05,24.45
2019-04-12,24.44
2019-04-19,24.44
2019-04-26,24.62
2019-05-03,24.52
2019-05-10,24.55
2019-05-17,24.64
2019-05-24,24.72
2019-05-31,24.92
2019-06-07,25.02
2019-06-14,25.06
2019-06-21,25.38
2019-06-28,25.49
2019-07-05,25.39
2019-07-12,25.29
2019-07-19,25.4
2019-07-26,25.48
2019-08-02,25.6
2019-08-09,25.68
2019-08-16,25.94
2019-08-23,26.03
2019-08-30,26.13
2019-09-06,26.02
2019-09-13,25.51
2019-09-20,25.84
2019-09-27,25.89
2019-10-04,26.07
2019-10-11,25.82
2019-10-18,25.9
2019-10-25,25.87
2019-11-01,25.95
2019-11-08,25.68
2019-11-15,25.82
2019-11-22,25.92
2019-11-29,25.98
2019-12-06,25.9
2019-12-13,25.99
2019-12-20,25.87
2019-12-27,25.99
2020-01-03,26.07
