date,value
2018-09-21,25.12
2018-09-28,25.21
2018-10-05,25.0
2018-10-12,25.12
2018-10-19,24.92
2018-10-26,25.04
2018-11-02,24.66
2018-11-09,24.78
2018-11-16,24.7
2018-11-23,24.78
2018-11-30,24.78
2018-12-07,24.76
2018-12-14,24.82
2018-12-21,24.75
2018-12-28,24.86
2019-01-04,24.99
2019-01-11,25.05
2019-01-18,25.08
2019-01-25,25.2
2019-02-01,25.39
2019-02-08,25.54
2019-02-15,25.59
2019-02-22,25.57
2019-03-01,25.4
2019-03-08,25.59
2019-03-15,25.68
2019-03-22,25.95
2019-03-29,26.14
2019-04-05,25.99
2019-04-12,26.04
2019-04-19,25.97
2019-04-26,26.2
2019-05-03,26.04
2019-05-10,26.11
2019-05-17,26.21
2019-05-24,26.33
2019-05-31,26.49
2019-06-07,26.68
2019-06-14,26.68
2019-06-21,26.99
2019-06-28,27.15
2019-07-05,27.08
2019-07-12,26.97
2019-07-19,27.08
2019-07-26,27.18
2019-08-02,27.4
2019-08-09,27.52
2019-08-16,27.8
2019-08-23,27.95
2019-08-30,27.99
2019-09-06,27.93
2019-09-13,27.29
2019-09-20,27.63
2019-09-27,27.68
2019-10-04,27.95
2019-10-11,27.68
2019-10-18,27.73
2019-10-25,27.71
2019-11-01,27.79
2019-11-08,27.44
2019-11-15,27.65
2019-11-22,27.74
2019-11-29,27.81
2019-12-06,27.71
2019-12-13,27.82
2019-12-20,27.68
2019-12-27,27.79
2020-01-03,27.92
