date,value
2019-05-10,24.96
2019-05-17,24.89
2019-05-24,24.93
2019-05-31,24.77
2019-06-07,25.02
2019-06-14,25.05
2019-06-21,25.23
2019-06-28,25.19
2019-07-05,25.02
2019-07-12,25.02
2019-07-19,24.94
2019-07-26,25.05
2019-08-02,24.82
2019-08-09,24.68
2019-08-16,24.6
2019-08-23,24.71
2019-08-30,24.84
2019-09-06,24.73
2019-09-13,24.75
2019-09-20,24.85
2019-09-27,24.79
2019-10-04,24.62
2019-10-11,24.64
2019-10-18,24.66
2019-10-25,24.72
2019-11-01,24.54
2019-11-08,24.56
2019-11-15,24.59
2019-11-22,24.57
2019-11-29,24.62
2019-12-06,24.58
2019-12-13,24.67
2019-12-20,24.59
2019-12-27,24.72
2020-01-03,24.79
