date,value
2019-05-10,24.99
2019-05-17,24.99
2019-05-24,24.85
2019-05-31,24.65
2019-06-07,24.97
2019-06-14,25.02
2019-06-21,25.22
2019-06-28,25.2
2019-07-05,25.0
2019-07-12,24.97
2019-07-19,24.9
2019-07-26,24.99
2019-08-02,24.8
2019-08-09,24.69
2019-08-16,24.64
2019-08-23,24.73
2019-08-30,24.88
2019-09-06,24.79
2019-09-13,24.84
2019-09-20,24.95
2019-09-27,24.86
2019-10-04,24.67
2019-10-11,24.71
2019-10-18,24.83
2019-10-25,24.88
2019-11-01,24.71
2019-11-08,24.71
2019-11-15,24.71
2019-11-22,24.68
2019-11-29,24.72
2019-12-06,24.7
2019-12-13,24.87
2019-12-20,24.88
2019-12-27,24.96
2020-01-03,25.04
