date,value
2019-05-10,24.95
2019-05-17,24.84
2019-05-24,24.87
2019-05-31,24.69
2019-06-07,25.07
2019-06-14,25.17
2019-06-21,25.45
2019-06-28,25.43
2019-07-05,25.27
2019-07-12,25.27
2019-07-19,25.22
2019-07-26,25.39
2019-08-02,25.18
2019-08-09,25.12
2019-08-16,25.09
2019-08-23,25.18
2019-08-30,25.36
2019-09-06,25.38
2019-09-13,25.39
2019-09-20,25.4
2019-09-27,25.33
2019-10-04,25.13
2019-10-11,25.18
2019-10-18,25.26
2019-10-25,25.34
2019-11-01,25.16
2019-11-08,25.18
2019-11-15,25.21
2019-11-22,25.14
2019-11-29,25.18
2019-12-06,25.15
2019-12-13,25.26
2019-12-20,25.32
2019-12-27,25.35
2020-01-03,25.42
