date,value
2015-01-02,162.06
2015-01-09,159.11
2015-01-16,157.14
2015-01-23,155.87
2015-01-30,153.31
2015-02-06,156.72
2015-02-13,160.4
2015-02-20,163.65
2015-02-27,161.94
2015-03-06,158.5
2015-03-13,154.28
2015-03-20,162.88
2015-03-27,160.4
2015-04-03,160.45
2015-04-10,162.86
2015-04-17,160.67
2015-04-24,169.78
2015-05-01,173.67
2015-05-08,172.68
2015-05-15,173.26
2015-05-22,172.22
2015-05-29,169.65
2015-06-05,167.4
2015-06-12,166.99
2015-06-19,166.99
2015-06-26,165.46
2015-07-03,165.09
2015-07-10,166.95
2015-07-17,172.51
2015-07-24,159.75
2015-07-31,161.99
2015-08-07,155.12
2015-08-14,155.75
2015-08-21,148.85
2015-08-28,147.98
2015-09-04,143.7
2015-09-11,147.37
2015-09-18,144.51
2015-09-25,145.42
2015-10-02,144.58
2015-10-09,152.39
2015-10-16,150.39
2015-10-23,144.68
2015-10-30,140.08
2015-11-06,138.25
2015-11-13,131.75
2015-11-20,138.5
2015-11-27,138.46
2015-12-04,140.43
2015-12-11,134.57
2015-12-18,134.9
2015-12-25,138.25
2016-01-01,137.62
2016-01-08,131.63
2016-01-15,130.03
2016-01-22,122.5
2016-01-29,124.79
2016-02-05,128.57
2016-02-12,121.04
2016-02-19,133.08
2016-02-26,132.03
2016-03-04,137.8
2016-03-11,142.36
2016-03-18,147.09
2016-03-25,147.95
2016-04-01,152.52
2016-04-08,149.35
2016-04-15,151.72
2016-04-22,148.5
2016-04-29,145.94
2016-05-06,147.29
2016-05-13,147.72
2016-05-20,147.25
2016-05-27,152.84
2016-06-03,152.89
2016-06-10,152.37
2016-06-17,151.99
2016-06-24,146.59
2016-07-01,152.35
2016-07-08,154.46
2016-07-15,159.78
2016-07-22,162.07
2016-07-29,160.62
2016-08-05,163.51
2016-08-12,161.95
2016-08-19,160.04
2016-08-26,158.32
2016-09-02,159.55
2016-09-09,155.69
2016-09-16,153.84
2016-09-23,154.98
2016-09-30,158.85
2016-10-07,155.67
2016-10-14,154.45
2016-10-21,149.63
2016-10-28,152.61
2016-11-04,152.43
2016-11-11,161.27
2016-11-18,160.39
2016-11-25,163.14
2016-12-02,160.02
2016-12-09,166.52
2016-12-16,166.73
2016-12-23,166.71
2016-12-30,165.99
2017-01-06,169.53
2017-01-13,167.34
2017-01-20,170.55
2017-01-27,177.3
2017-02-03,175.82
2017-02-10,178.68
2017-02-17,180.67
2017-02-24,181.35
2017-03-03,180.05
2017-03-10,177.83
2017-03-17,175.65
2017-03-24,173.83
2017-03-31,174.14
2017-04-07,172.14
2017-04-14,169.53
2017-04-21,160.38
2017-04-28,160.29
2017-05-05,155.05
2017-05-12,150.37
2017-05-19,151.98
2017-05-26,152.49
2017-06-02,152.05
2017-06-09,154.1
2017-06-16,155.38
2017-06-23,154.11
2017-06-30,153.83
2017-07-07,152.94
2017-07-14,154.24
2017-07-21,147.08
2017-07-28,144.29
2017-08-04,145.16
2017-08-11,141.84
2017-08-18,139.7
2017-08-25,143.74
2017-09-01,144.08
2017-09-08,142.45
2017-09-15,144.82
2017-09-22,145.13
2017-09-29,145.08
2017-10-06,146.48
2017-10-13,147.1
2017-10-20,162.07
2017-10-27,153.68
2017-11-03,151.58
2017-11-10,149.16
2017-11-17,148.97
2017-11-24,151.84
2017-12-01,154.76
2017-12-08,154.81
2017-12-15,152.5
2017-12-22,152.5
2017-12-29,153.42
2018-01-05,162.49
2018-01-12,163.14
2018-01-19,162.37
2018-01-26,167.34
2018-02-02,159.03
2018-02-09,149.51
2018-02-16,156.18
2018-02-23,155.52
2018-03-02,154.49
2018-03-09,159.31
2018-03-16,160.26
2018-03-23,148.89
2018-03-30,153.43
2018-04-06,150.57
2018-04-13,156.71
2018-04-20,144.9
2018-04-27,146.48
2018-05-04,143.91
2018-05-11,144.14
2018-05-18,144.08
2018-05-25,143.64
2018-06-01,141.95
2018-06-08,146.14
2018-06-15,145.39
2018-06-22,141.28
2018-06-29,139.7
2018-07-06,142.48
2018-07-13,145.9
2018-07-20,146.35
2018-07-27,145.15
2018-08-03,147.7
2018-08-10,144.48
2018-08-17,146.06
2018-08-24,146.04
2018-08-31,146.48
2018-09-07,145.45
2018-09-14,148.33
2018-09-21,151.35
2018-09-28,151.21
2018-10-05,149.03
2018-10-12,140.85
2018-10-19,129.1
2018-10-26,124.79
2018-11-02,115.67
2018-11-09,123.54
2018-11-16,121.57
2018-11-23,117.19
2018-11-30,124.27
2018-12-07,119.34
2018-12-14,119.9
2018-12-21,110.94
2018-12-28,113.03
2019-01-04,117.32
2019-01-11,121.46
