date,value
2015-01-02,25.31
2015-01-09,25.34
2015-01-16,25.51
2015-01-23,25.6
2015-01-30,25.72
2015-02-06,25.61
2015-02-13,25.5
2015-02-20,25.41
2015-02-27,25.47
2015-03-06,25.23
2015-03-13,25.14
2015-03-20,25.37
2015-03-27,25.37
2015-04-03,25.4
2015-04-10,25.44
2015-04-17,25.41
2015-04-24,25.38
2015-05-01,25.27
2015-05-08,25.27
2015-05-15,25.21
2015-05-22,25.12
2015-05-29,25.24
2015-06-05,25.09
2015-06-12,25.0
2015-06-19,25.13
2015-06-26,25.24
2015-07-03,25.26
2015-07-10,25.37
2015-07-17,25.43
2015-07-24,25.46
2015-07-31,25.38
2015-08-07,25.37
2015-08-14,25.35
2015-08-21,25.4
2015-08-28,25.38
2015-09-04,25.37
2015-09-11,25.3
2015-09-18,25.34
2015-09-25,25.45
2015-10-02,25.53
2015-10-09,25.55
2015-10-16,25.58
2015-10-23,25.62
2015-10-30,25.62
2015-11-06,25.52
2015-11-13,25.55
2015-11-20,25.51
2015-11-27,25.54
2015-12-04,25.49
2015-12-11,25.54
2015-12-18,25.49
2015-12-25,25.52
2016-01-01,25.53
2016-01-08,25.71
2016-01-15,25.71
2016-01-22,25.76
2016-01-29,25.82
2016-02-05,25.92
2016-02-12,25.97
2016-02-19,25.98
2016-02-26,25.86
2016-03-04,25.73
2016-03-11,25.71
2016-03-18,25.69
2016-03-25,25.72
2016-04-01,25.74
2016-04-08,25.84
2016-04-15,25.83
2016-04-22,25.84
2016-04-29,25.86
2016-05-06,25.89
2016-05-13,25.88
2016-05-20,25.85
2016-05-27,25.74
2016-06-03,25.8
2016-06-10,25.85
2016-06-17,25.87
2016-06-24,25.96
2016-07-01,25.97
2016-07-08,25.97
2016-07-15,25.96
2016-07-22,25.98
2016-07-29,26.04
2016-08-05,26.0
2016-08-12,25.98
2016-08-19,26.02
2016-08-26,26.04
2016-09-02,25.95
2016-09-09,25.89
2016-09-16,25.8
2016-09-23,25.83
2016-09-30,25.81
2016-10-07,25.76
2016-10-14,25.72
2016-10-21,25.74
2016-10-28,25.72
2016-11-04,25.73
2016-11-11,25.55
2016-11-18,25.35
2016-11-25,25.24
2016-12-02,25.11
2016-12-09,25.25
2016-12-16,25.16
2016-12-23,25.19
2016-12-30,25.24
2017-01-06,25.31
2017-01-13,25.48
2017-01-20,25.44
2017-01-27,25.43
2017-02-03,25.45
2017-02-10,25.55
2017-02-17,25.53
2017-02-24,25.63
2017-03-03,25.51
2017-03-10,25.47
2017-03-17,25.47
2017-03-24,25.55
2017-03-31,25.56
2017-04-07,25.58
2017-04-14,25.63
2017-04-21,25.66
2017-04-28,25.64
2017-05-05,25.64
2017-05-12,25.66
2017-05-19,25.7
2017-05-26,25.71
2017-06-02,25.74
2017-06-09,25.7
2017-06-16,25.69
2017-06-23,25.69
2017-06-30,25.59
2017-07-07,25.57
2017-07-14,25.62
2017-07-21,25.71
2017-07-28,25.72
2017-08-04,25.7
2017-08-11,25.81
2017-08-18,25.79
2017-08-25,25.78
2017-09-01,25.76
2017-09-08,25.78
2017-09-15,25.77
2017-09-22,25.78
2017-09-29,25.7
2017-10-06,25.68
2017-10-13,25.69
2017-10-20,25.68
2017-10-27,25.64
2017-11-03,25.56
2017-11-10,25.53
2017-11-17,25.51
2017-11-24,25.44
2017-12-01,25.38
2017-12-08,25.38
2017-12-15,25.4
2017-12-22,25.29
2017-12-29,25.36
