date,value
2017-04-14,25.14
2017-04-21,25.24
2017-04-28,25.2
2017-05-05,25.2
2017-05-12,25.27
2017-05-19,25.4
2017-05-26,25.48
2017-06-02,25.59
2017-06-09,25.59
2017-06-16,25.51
2017-06-23,25.56
2017-06-30,25.38
2017-07-07,25.32
2017-07-14,25.49
2017-07-21,25.65
2017-07-28,25.67
2017-08-04,25.68
2017-08-11,25.8
2017-08-18,25.77
2017-08-25,25.77
2017-09-01,25.75
2017-09-08,25.81
2017-09-15,25.72
2017-09-22,25.61
2017-09-29,25.51
2017-10-06,25.47
2017-10-13,25.56
2017-10-20,25.51
2017-10-27,25.46
2017-11-03,25.46
2017-11-10,25.38
2017-11-17,25.33
2017-11-24,25.22
2017-12-01,25.15
2017-12-08,25.18
2017-12-15,25.24
2017-12-22,25.11
2017-12-29,25.22
2018-01-05,25.21
2018-01-12,25.2
2018-01-19,25.2
2018-01-26,25.22
2018-02-02,24.96
2018-02-09,24.97
2018-02-16,24.92
2018-02-23,24.87
2018-03-02,24.84
2018-03-09,24.91
2018-03-16,24.82
2018-03-23,24.82
2018-03-30,24.89
2018-04-06,24.82
2018-04-13,24.8
2018-04-20,24.78
2018-04-27,24.71
2018-05-04,24.71
2018-05-11,24.88
2018-05-18,24.85
2018-05-25,24.94
2018-06-01,24.93
2018-06-08,24.99
2018-06-15,24.98
2018-06-22,24.99
2018-06-29,24.95
2018-07-06,24.98
2018-07-13,25.05
2018-07-20,25.06
2018-07-27,25.08
2018-08-03,24.98
2018-08-10,24.97
2018-08-17,25.03
2018-08-24,25.04
2018-08-31,25.01
2018-09-07,24.86
2018-09-14,24.88
2018-09-21,24.79
2018-09-28,24.84
2018-10-05,24.72
2018-10-12,24.69
2018-10-19,24.67
2018-10-26,24.73
2018-11-02,24.64
2018-11-09,24.67
2018-11-16,24.74
2018-11-23,24.8
2018-11-30,24.89
2018-12-07,25.02
2018-12-14,24.98
2018-12-21,25.08
2018-12-28,25.1
2019-01-04,25.11
2019-01-11,25.13
2019-01-18,25.2
2019-01-25,25.22
2019-02-01,25.28
2019-02-08,25.32
2019-02-15,25.34
2019-02-22,25.34
2019-03-01,25.32
2019-03-08,25.38
2019-03-15,25.38
2019-03-22,25.42
2019-03-29,25.46
2019-04-05,25.38
2019-04-12,25.34
2019-04-19,25.4
2019-04-26,25.42
2019-05-03,25.38
2019-05-10,25.47
2019-05-17,25.51
2019-05-24,25.58
2019-05-31,25.64
2019-06-07,25.64
2019-06-14,25.6
2019-06-21,25.69
2019-06-28,25.73
2019-07-05,25.65
2019-07-12,25.78
2019-07-19,25.83
2019-07-26,25.86
2019-08-02,25.92
2019-08-09,25.97
2019-08-16,25.99
2019-08-23,25.98
2019-08-30,25.94
2019-09-06,25.85
2019-09-13,25.68
2019-09-20,25.72
2019-09-27,25.76
2019-10-04,25.78
2019-10-11,25.82
2019-10-18,25.78
2019-10-25,25.77
2019-11-01,25.8
2019-11-08,25.75
2019-11-15,25.78
2019-11-22,25.81
2019-11-29,25.82
2019-12-06,25.8
2019-12-13,25.84
2019-12-20,25.8
2019-12-27,25.81
2020-01-03,25.87
