date,value
2018-11-16,25.18
2018-11-23,25.27
2018-11-30,25.44
2018-12-07,25.72
2018-12-14,25.68
2018-12-21,25.77
2018-12-28,25.85
2019-01-04,25.89
2019-01-11,25.98
2019-01-18,26.03
2019-01-25,26.06
2019-02-01,26.13
2019-02-08,26.23
2019-02-15,26.24
2019-02-22,26.31
2019-03-01,26.26
2019-03-08,26.35
2019-03-15,26.37
2019-03-22,26.44
2019-03-29,26.5
2019-04-05,26.4
2019-04-12,26.38
2019-04-19,26.4
2019-04-26,26.48
2019-05-03,26.48
2019-05-10,26.6
2019-05-17,26.68
2019-05-24,26.76
2019-05-31,26.85
2019-06-07,26.87
2019-06-14,26.82
2019-06-21,26.88
2019-06-28,26.91
2019-07-05,26.86
2019-07-12,26.98
2019-07-19,27.06
2019-07-26,27.1
2019-08-02,27.2
2019-08-09,27.34
2019-08-16,27.44
2019-08-23,27.43
2019-08-30,27.39
2019-09-06,27.27
2019-09-13,26.95
2019-09-20,27.02
2019-09-27,27.06
2019-10-04,27.16
2019-10-11,27.13
2019-10-18,27.11
2019-10-25,27.06
2019-11-01,27.14
2019-11-08,27.05
2019-11-15,27.08
2019-11-22,27.14
2019-11-29,27.16
2019-12-06,27.13
2019-12-13,27.21
2019-12-20,27.15
2019-12-27,27.18
2020-01-03,27.28
