date,value
2015-01-02,12.11
2015-01-09,11.55
2015-01-16,12.13
2015-01-23,12.7
2015-01-30,12.01
2015-02-06,10.98
2015-02-13,11.7
2015-02-20,11.19
2015-02-27,11.65
2015-03-06,11.44
2015-03-13,10.95
2015-03-20,10.77
2015-03-27,10.17
2015-04-03,10.69
2015-04-10,10.5
2015-04-17,10.27
2015-04-24,10.16
2015-05-01,10.82
2015-05-08,10.72
2015-05-15,10.51
2015-05-22,10.46
2015-05-29,10.56
2015-06-05,9.55
2015-06-12,9.8
2015-06-19,10.28
2015-06-26,10.41
2015-07-03,10.4
2015-07-10,10.47
2015-07-17,10.46
2015-07-24,9.73
2015-07-31,10.07
2015-08-07,10.14
2015-08-14,9.76
2015-08-21,9.09
2015-08-28,8.87
2015-09-04,8.25
2015-09-11,8.28
2015-09-18,8.64
2015-09-25,8.47
2015-10-02,8.8
2015-10-09,9.14
2015-10-16,9.21
2015-10-23,9.13
2015-10-30,8.62
2015-11-06,8.19
2015-11-13,7.81
2015-11-20,8.08
2015-11-27,8.15
2015-12-04,8.01
2015-12-11,7.3
2015-12-18,7.46
2015-12-25,7.9
2016-01-01,7.83
2016-01-08,7.13
2016-01-15,6.48
2016-01-22,6.9
2016-01-29,6.65
2016-02-05,6.1
2016-02-12,5.46
2016-02-19,5.65
2016-02-26,5.31
2016-03-04,6.51
2016-03-11,6.56
2016-03-18,6.95
2016-03-25,6.87
2016-04-01,7.16
2016-04-08,6.69
2016-04-15,7.4
2016-04-22,7.78
2016-04-29,7.05
2016-05-06,6.63
2016-05-13,6.74
2016-05-20,6.65
2016-05-27,7.18
2016-06-03,7.22
2016-06-10,7.38
2016-06-17,7.19
2016-06-24,6.85
2016-07-01,7.23
2016-07-08,7.4
2016-07-15,7.9
2016-07-22,7.82
2016-07-29,7.58
2016-08-05,7.32
2016-08-12,7.19
2016-08-19,7.49
2016-08-26,7.35
2016-09-02,7.88
2016-09-09,8.12
2016-09-16,7.87
2016-09-23,7.97
2016-09-30,7.47
2016-10-07,7.5
2016-10-14,7.27
2016-10-21,8.3
2016-10-28,8.35
2016-11-04,8.09
2016-11-11,8.24
2016-11-18,7.76
2016-11-25,7.73
2016-12-02,7.68
2016-12-09,7.98
2016-12-16,7.5
2016-12-23,7.47
2016-12-30,7.49
2017-01-06,7.54
2017-01-13,7.86
2017-01-20,7.66
2017-01-27,8.1
2017-02-03,8.52
2017-02-10,8.5
2017-02-17,8.42
2017-02-24,8.46
2017-03-03,8.34
2017-03-10,8.15
2017-03-17,8.43
2017-03-24,8.4
2017-03-31,8.6
2017-04-07,8.64
2017-04-14,8.65
2017-04-21,8.25
2017-04-28,8.57
2017-05-05,9.41
2017-05-12,9.28
2017-05-19,9.62
2017-05-26,9.72
2017-06-02,9.8
2017-06-09,9.87
2017-06-16,9.77
2017-06-23,9.04
2017-06-30,8.97
2017-07-07,8.95
2017-07-14,9.32
2017-07-21,9.27
2017-07-28,9.27
2017-08-04,9.24
2017-08-11,8.9
2017-08-18,9.04
2017-08-25,9.44
2017-09-01,9.4
2017-09-08,9.1
2017-09-15,9.16
2017-09-22,8.75
2017-09-29,8.56
2017-10-06,8.47
2017-10-13,8.57
2017-10-20,7.91
2017-10-27,8.8
2017-11-03,9.56
2017-11-10,9.61
2017-11-17,9.89
2017-11-24,9.79
2017-12-01,9.38
2017-12-08,9.63
2017-12-15,9.48
2017-12-22,9.79
2017-12-29,9.73
2018-01-05,9.84
2018-01-12,9.98
2018-01-19,10.93
2018-01-26,11.22
2018-02-02,10.3
2018-02-09,10.13
2018-02-16,10.15
2018-02-23,10.03
2018-03-02,9.43
2018-03-09,9.21
2018-03-16,9.21
2018-03-23,8.55
2018-03-30,8.85
2018-04-06,8.42
2018-04-13,8.75
2018-04-20,8.46
2018-04-27,8.58
2018-05-04,8.47
2018-05-11,9.14
2018-05-18,8.45
2018-05-25,8.61
2018-06-01,8.54
2018-06-08,8.55
2018-06-15,8.28
2018-06-22,8.83
2018-06-29,8.03
2018-07-06,8.01
2018-07-13,7.9
2018-07-20,7.89
2018-07-27,8.72
2018-08-03,8.94
2018-08-10,9.51
2018-08-17,9.75
2018-08-24,9.45
2018-08-31,9.63
2018-09-07,9.24
2018-09-14,9.26
2018-09-21,8.76
2018-09-28,8.49
2018-10-05,8.19
2018-10-12,8.43
2018-10-19,8.52
2018-10-26,9.18
2018-11-02,9.59
2018-11-09,9.65
2018-11-16,10.16
2018-11-23,9.83
2018-11-30,10.17
2018-12-07,9.82
2018-12-14,9.81
2018-12-21,9.93
2018-12-28,10.34
2019-01-04,10.5
2019-01-11,10.67
2019-01-18,10.46
2019-01-25,9.95
2019-02-01,9.88
2019-02-08,9.79
2019-02-15,9.53
2019-02-22,9.91
2019-03-01,9.93
2019-03-08,10.49
2019-03-15,11.31
2019-03-22,11.08
2019-03-29,11.46
2019-04-05,11.25
