date,value
2015-01-02,4.79
2015-01-09,4.92
2015-01-16,4.65
2015-01-23,4.57
2015-01-30,4.13
2015-02-06,3.92
2015-02-13,3.52
2015-02-20,3.76
2015-02-27,3.57
2015-03-06,3.29
2015-03-13,3.57
2015-03-20,3.54
2015-03-27,3.22
2015-04-03,3.37
2015-04-10,3.28
2015-04-17,3.72
2015-04-24,3.7
2015-05-01,3.49
2015-05-08,3.71
2015-05-15,3.83
2015-05-22,3.62
2015-05-29,3.37
2015-06-05,3.26
2015-06-12,3.18
2015-06-19,3.29
2015-06-26,3.19
2015-07-03,3.12
2015-07-10,3.06
2015-07-17,2.94
2015-07-24,2.84
2015-07-31,2.55
2015-08-07,2.54
2015-08-14,2.02
2015-08-21,1.5
2015-08-28,1.57
2015-09-04,1.42
2015-09-11,1.69
2015-09-18,1.62
2015-09-25,2.06
2015-10-02,1.88
2015-10-09,2.0
2015-10-16,2.11
2015-10-23,2.04
2015-10-30,1.54
2015-11-06,1.53
2015-11-13,1.39
2015-11-20,1.38
2015-11-27,1.31
2015-12-04,0.901
2015-12-11,1.19
2015-12-18,0.89
2015-12-25,0.8081
2016-01-01,0.77
2016-01-08,0.6583
2016-01-15,0.5602
2016-01-22,0.6804
2016-01-29,1.02
2016-02-05,0.7722
2016-02-12,0.8997
2016-02-19,1.04
2016-02-26,0.9645
2016-03-04,0.997
2016-03-11,0.9668
2016-03-18,0.9798
2016-03-25,1.03
2016-04-01,0.99
2016-04-08,0.93
2016-04-15,0.95
2016-04-22,0.86
2016-04-29,0.8918
2016-05-06,0.76
2016-05-13,0.6786
2016-05-20,0.4251
2016-05-27,0.5892
2016-06-03,0.5272
2016-06-10,0.5218
2016-06-17,0.6435
2016-06-24,0.6779
2016-07-01,0.5882
2016-07-08,0.5672
2016-07-15,0.5672
