date,value
2015-01-02,9.75
2015-01-09,9.81
2015-01-16,9.64
2015-01-23,9.79
2015-01-30,9.975
2015-02-06,10.4
2015-02-13,10.69
2015-02-20,10.6101
2015-02-27,10.9299
2015-03-06,11.7
2015-03-13,11.33
2015-03-20,11.8
2015-03-27,11.63
2015-04-03,12.11
2015-04-10,12.6
2015-04-17,12.61
2015-04-24,12.79
2015-05-01,12.6
2015-05-08,12.79
2015-05-15,12.87
2015-05-22,12.36
2015-05-29,12.15
2015-06-05,11.77
2015-06-12,11.69
2015-06-19,11.63
2015-06-26,11.3376
2015-07-03,11.09
2015-07-10,10.92
2015-07-17,10.85
2015-07-24,10.5999
2015-07-31,10.5
2015-08-07,10.36
2015-08-14,10.28
2015-08-21,9.42
2015-08-28,9.69
2015-09-04,9.07
2015-09-11,9.46
2015-09-18,9.39
2015-09-25,9.03
2015-10-02,9.49
2015-10-09,10.14
2015-10-16,10.19
2015-10-23,10.11
2015-10-30,9.8
2015-11-06,9.94
2015-11-13,9.2786
2015-11-20,9.41
2015-11-27,9.44
2015-12-04,9.7499
2015-12-11,9.12
2015-12-18,9.89
2015-12-25,9.965
2016-01-01,9.84
2016-01-08,9.12
2016-01-15,8.2899
2016-01-22,8.37
2016-01-29,8.7
2016-02-05,8.37
2016-02-12,7.76
2016-02-19,8.21
2016-02-26,8.4
2016-03-04,8.95
2016-03-11,9.1
2016-03-18,9.36
2016-03-25,8.99
2016-04-01,9.2785
2016-04-08,9.01
2016-04-15,9.2301
2016-04-22,9.3142
2016-04-29,9.2
2016-05-06,8.8
2016-05-13,8.56
2016-05-20,8.55
2016-05-27,8.66
2016-06-03,8.91
2016-06-10,8.64
2016-06-17,8.48
2016-06-24,8.29
2016-07-01,8.7823
2016-07-08,8.92
2016-07-15,8.997
2016-07-22,9.13
2016-07-29,9.1
2016-08-05,9.2
2016-08-12,9.11
2016-08-19,9.37
2016-08-26,9.23
2016-09-02,9.34
2016-09-09,9.37
2016-09-16,9.03
2016-09-23,9.31
2016-09-30,9.16
2016-10-07,9.06
2016-10-14,9.0649
2016-10-21,9.02
2016-10-28,8.81
2016-11-04,8.36
2016-11-11,7.9494
2016-11-18,7.8924
2016-11-25,8.02
2016-12-02,7.94
2016-12-09,8.08
2016-12-16,7.87
2016-12-23,7.77
2016-12-30,7.88
2017-01-06,8.12
2017-01-13,8.26
2017-01-20,8.29
2017-01-27,8.32
2017-02-03,8.43
2017-02-10,8.51
2017-02-17,8.73
2017-02-24,8.65
2017-03-03,8.67
2017-03-10,8.54
2017-03-17,8.71
2017-03-24,8.5
2017-03-31,8.56
2017-04-07,8.5
2017-04-14,8.46
2017-04-21,8.43
2017-04-28,8.48
2017-05-05,8.74
2017-05-12,8.67
2017-05-19,8.59
2017-05-26,8.73
2017-06-02,8.71
2017-06-09,8.58
2017-06-16,8.55
2017-06-23,8.49
2017-06-30,8.56
2017-07-07,8.57
2017-07-14,8.8
2017-07-21,8.99
2017-07-28,9.01
2017-08-04,9.1
2017-08-11,8.96
2017-08-18,9.03
2017-08-25,9.045
2017-09-01,9.16
2017-09-08,9.1
2017-09-15,9.24
2017-09-22,9.17
2017-09-29,8.98
2017-10-06,9.1008
2017-10-13,9.24
2017-10-20,9.1434
2017-10-27,9.31
2017-11-03,9.25
2017-11-10,9.0488
2017-11-17,8.975
2017-11-24,9.025
2017-12-01,8.8416
2017-12-08,8.93
2017-12-15,9.05
2017-12-22,9.14
2017-12-29,9.32
2018-01-05,9.4
2018-01-12,9.665
2018-01-19,9.63
2018-01-26,9.59
2018-02-02,9.31
2018-02-09,8.85
2018-02-16,9.49
2018-02-23,9.46
2018-03-02,9.36
2018-03-09,9.54
2018-03-16,9.53
2018-03-23,9.39
2018-03-30,9.52
2018-04-06,9.62
2018-04-13,9.74
2018-04-20,9.79
2018-04-27,9.9
2018-05-04,9.81
2018-05-11,9.93
2018-05-18,9.87
2018-05-25,9.74
2018-06-01,9.66
2018-06-08,9.27
2018-06-15,9.16
2018-06-22,8.95
2018-06-29,8.73
2018-07-06,8.88
2018-07-13,8.92
2018-07-20,8.95
2018-07-27,9.1
2018-08-03,8.97
2018-08-10,8.7401
2018-08-17,8.53
2018-08-24,8.69
2018-08-31,8.72
2018-09-07,8.49
2018-09-14,8.47
2018-09-21,8.74
