date,value
2015-01-02,49.89
2015-01-09,50.03
2015-01-16,50.03
2015-01-23,50.03
2015-01-30,49.95
2015-02-06,50.02
2015-02-13,50.02
2015-02-20,50.03
2015-02-27,50.02
2015-03-06,49.941
2015-03-13,49.941
2015-03-20,49.95
2015-03-27,49.942
2015-04-03,49.932
2015-04-10,49.932
2015-04-17,49.96
2015-04-24,50.0199
2015-05-01,49.96
2015-05-08,50.0
2015-05-15,50.0
2015-05-22,49.961
2015-05-29,50.03
2015-06-05,49.94
2015-06-12,49.932
2015-06-19,49.99
2015-06-26,49.97
2015-07-03,50.01
2015-07-10,50.02
2015-07-17,49.99
2015-07-24,49.988
2015-07-31,49.85
2015-08-07,49.97
2015-08-14,49.97
2015-08-21,49.99
2015-08-28,49.96
2015-09-04,49.94
2015-09-11,50.0199
2015-09-18,49.941
2015-09-25,49.941
2015-10-02,49.8884
2015-10-09,49.91
2015-10-16,49.91
2015-10-23,50.0
2015-10-30,50.01
2015-11-06,49.8935
2015-11-13,50.0
2015-11-20,49.92
2015-11-27,49.92
2015-12-04,49.94
2015-12-11,49.949
2015-12-18,49.88
2015-12-25,49.9046
2016-01-01,49.7272
2016-01-08,49.84
2016-01-15,49.84
2016-01-22,49.685
2016-01-29,49.75
2016-02-05,49.7
2016-02-12,49.93
2016-02-19,49.7387
2016-02-26,49.91
2016-03-04,49.94
2016-03-11,49.94
2016-03-18,49.88
2016-03-25,49.9155
2016-04-01,49.98
2016-04-08,49.95
2016-04-15,49.91
2016-04-22,49.92
2016-04-29,49.9628
2016-05-06,49.98
2016-05-13,49.99
2016-05-20,50.0
2016-05-27,49.99
2016-06-03,49.99
2016-06-10,49.94
2016-06-17,49.92
2016-06-24,49.9999
2016-07-01,49.9999
2016-07-08,49.946
2016-07-15,49.948
2016-07-22,50.01
2016-07-29,49.96
2016-08-05,50.074
2016-08-12,49.985
2016-08-19,50.06
2016-08-26,50.08
2016-09-02,50.0217
2016-09-09,49.9701
2016-09-16,50.07
2016-09-23,49.98
2016-09-30,50.04
2016-10-07,50.08
2016-10-14,50.0436
2016-10-21,50.1012
2016-10-28,50.0891
2016-11-04,50.1
2016-11-11,50.035
2016-11-18,49.9416
2016-11-25,50.048
2016-12-02,50.08
2016-12-09,49.94
2016-12-16,50.0144
2016-12-23,49.97
2016-12-30,49.93
2017-01-06,49.95
2017-01-13,49.9975
2017-01-20,50.02
2017-01-27,50.0396
2017-02-03,50.035
2017-02-10,49.9979
2017-02-17,50.1145
2017-02-24,50.0773
2017-03-03,49.971
2017-03-10,50.08
2017-03-17,50.051
2017-03-24,50.11
2017-03-31,50.1044
2017-04-07,50.0699
2017-04-14,50.02
2017-04-21,50.051
2017-04-28,50.0668
2017-05-05,50.05
2017-05-12,50.069
2017-05-19,50.0698
2017-05-26,50.0807
2017-06-02,50.1
2017-06-09,50.07
2017-06-16,50.07
2017-06-23,50.07
2017-06-30,50.1
2017-07-07,50.03
2017-07-14,50.07
2017-07-21,50.11
2017-07-28,50.14
2017-08-04,50.09
2017-08-11,50.08
2017-08-18,50.12
2017-08-25,50.13
2017-09-01,50.03
2017-09-08,50.07
2017-09-15,50.09
2017-09-22,50.11
2017-09-29,50.11
2017-10-06,50.08
2017-10-13,50.09
2017-10-20,50.1
2017-10-27,50.13
2017-11-03,50.08
2017-11-10,50.08
2017-11-17,50.1
2017-11-24,50.09
2017-12-01,50.03
2017-12-08,50.04
