date,value
2017-09-29,0.011
2017-10-06,0.01
2017-10-13,0.01
2017-10-20,0.035
2017-10-27,0.04
2017-11-03,0.035
2017-11-10,0.035
2017-11-17,0.025
2017-11-24,0.025
2017-12-01,0.035
2017-12-08,0.035
2017-12-15,0.03
2017-12-22,0.03
2017-12-29,0.035
2018-01-05,0.045
2018-01-12,0.035
2018-01-19,0.035
2018-01-26,0.035
2018-02-02,0.07
2018-02-09,0.04
2018-02-16,0.05
2018-02-23,0.05
2018-03-02,0.05
2018-03-09,0.035
2018-03-16,0.03
2018-03-23,0.04
2018-03-30,0.04
2018-04-06,0.025
2018-04-13,0.025
2018-04-20,0.035
2018-04-27,0.035
2018-05-04,0.035
2018-05-11,0.028
2018-05-18,0.028
2018-05-25,0.028
2018-06-01,0.028
2018-06-08,0.028
2018-06-15,0.028
2018-06-22,0.028
2018-06-29,0.028
2018-07-06,0.045
2018-07-13,0.0344
2018-07-20,0.032
2018-07-27,0.032
2018-08-03,0.03
2018-08-10,0.03375
2018-08-17,0.03
2018-08-24,0.025
2018-08-31,0.025
2018-09-07,0.023
2018-09-14,0.029
2018-09-21,0.0285
2018-09-28,0.02
2018-10-05,0.02
2018-10-12,0.02
2018-10-19,0.02
2018-10-26,0.02
2018-11-02,0.02
2018-11-09,0.02
2018-11-16,0.02
2018-11-23,0.02
2018-11-30,0.02
2018-12-07,0.02
2018-12-14,0.02
2018-12-21,0.02
2018-12-28,0.02
2019-01-04,0.02
2019-01-11,0.02
2019-01-18,0.02
2019-01-25,0.02
2019-02-01,0.02
2019-02-08,0.03
2019-02-15,0.031
2019-02-22,0.03007
2019-03-01,0.034
2019-03-08,0.03
2019-03-15,0.045
2019-03-22,0.03
2019-03-29,0.03
2019-04-05,0.03
2019-04-12,0.04
2019-04-19,0.035
2019-04-26,0.032
2019-05-03,0.03595
2019-05-10,0.04
2019-05-17,0.032
2019-05-24,0.03
2019-05-31,0.03
2019-06-07,0.03
2019-06-14,0.03
2019-06-21,0.03
2019-06-28,0.057464
2019-07-05,0.0555
2019-07-12,0.06
2019-07-19,0.029835
2019-07-26,0.029835
2019-08-02,0.029835
2019-08-09,0.029835
2019-08-16,0.029835
2019-08-23,0.029835
2019-08-30,0.029835
2019-09-06,0.0749
2019-09-13,0.0749
2019-09-20,0.0454
2019-09-27,0.0389
2019-10-04,0.035
2019-10-11,0.035
2019-10-18,0.03335
2019-10-25,0.06
2019-11-01,0.0389
2019-11-08,0.03
2019-11-15,0.03
2019-11-22,0.03
2019-11-29,0.03
2019-12-06,0.03225
2019-12-13,0.03
2019-12-20,0.035
2019-12-27,0.035
2020-01-03,0.02
