date,value
2017-03-24,50.95
2017-03-31,51.1
2017-04-07,50.94
2017-04-14,50.7999
2017-04-21,50.95
2017-04-28,52.356
2017-05-05,53.49
2017-05-12,53.24
2017-05-19,53.92
2017-05-26,53.93
2017-06-02,54.87
2017-06-09,54.15
2017-06-16,53.82
2017-06-23,53.5106
2017-06-30,53.61
2017-07-07,53.32
2017-07-14,54.53
2017-07-21,54.72
2017-07-28,54.9
2017-08-04,55.4181
2017-08-11,54.3799
2017-08-18,54.54
2017-08-25,55.02
2017-09-01,55.285
2017-09-08,55.74
2017-09-15,56.17
2017-09-22,56.3901
2017-09-29,56.27
2017-10-06,56.34
2017-10-13,57.3201
2017-10-20,57.04
2017-10-27,56.86
2017-11-03,57.5
2017-11-10,57.16
2017-11-17,56.87
2017-11-24,58.01
2017-12-01,57.725
2017-12-08,57.69
2017-12-15,57.59
2017-12-22,58.12
2017-12-29,58.5
2018-01-05,60.08
2018-01-12,60.93
2018-01-19,61.372
2018-01-26,62.47
2018-02-02,60.08
2018-02-09,57.095
2018-02-16,59.33
2018-02-23,59.35
2018-03-02,57.69
2018-03-09,58.89
2018-03-16,58.64
2018-03-23,56.72
2018-03-30,58.09
2018-04-06,57.79
2018-04-13,58.76
2018-04-20,59.13
2018-04-27,58.75
2018-05-04,58.76
2018-05-11,59.53
2018-05-18,59.1964
2018-05-25,58.3876
2018-06-01,58.24
2018-06-08,58.74
2018-06-15,58.3199
2018-06-22,56.7
2018-06-29,56.0
2018-07-06,56.47
2018-07-13,56.55
2018-07-20,56.78
2018-07-27,57.42
2018-08-03,56.89
2018-08-10,55.77
2018-08-17,55.57
2018-08-24,56.34
2018-08-31,56.37
2018-09-07,54.7767
2018-09-14,55.85
2018-09-21,57.3787
2018-09-28,56.75
2018-10-05,55.59
2018-10-12,53.1806
2018-10-19,53.2274
2018-10-26,51.26
2018-11-02,52.8869
2018-11-09,52.87
2018-11-16,52.41
2018-11-23,51.49
2018-11-30,52.2
2018-12-07,50.61
2018-12-14,50.28
2018-12-21,47.84
2018-12-28,48.73
2019-01-04,49.84
2019-01-11,50.77
2019-01-18,51.76
2019-01-25,51.89
2019-02-01,52.35
2019-02-08,51.71
2019-02-15,53.12
2019-02-22,53.64
2019-03-01,53.93
2019-03-08,52.88
2019-03-15,54.38
2019-03-22,53.74
2019-03-29,54.15
2019-04-05,55.29
2019-04-12,55.55
2019-04-19,55.73
2019-04-26,55.47
2019-05-03,55.9
2019-05-10,54.55
2019-05-17,54.13
2019-05-24,54.02
2019-05-31,52.97
2019-06-07,54.59
2019-06-14,54.31
2019-06-21,54.57
2019-06-28,54.81
2019-07-05,55.27
2019-07-12,54.9781
2019-07-19,54.77
2019-07-26,54.81
2019-08-02,53.3265
2019-08-09,52.87
2019-08-16,52.2
2019-08-23,51.96
2019-08-30,53.13
2019-09-06,54.1
2019-09-13,55.17
2019-09-20,55.033
2019-09-27,54.59
2019-10-04,53.937
2019-10-11,54.96
2019-10-18,55.6
2019-10-25,56.18
2019-11-01,56.91
2019-11-08,57.2264
2019-11-15,57.29
2019-11-22,56.95
2019-11-29,57.2
2019-12-06,57.51
2019-12-13,58.3766
2019-12-20,57.73
2019-12-27,58.26
2020-01-03,58.1
