date,value
2015-01-02,18.89
2015-01-09,18.59
2015-01-16,18.9
2015-01-23,19.0282
2015-01-30,19.27
2015-02-06,19.45
2015-02-13,19.81
2015-02-20,20.1
2015-02-27,20.41
2015-03-06,20.2088
2015-03-13,19.82
2015-03-20,20.5101
2015-03-27,20.28
2015-04-03,20.52
2015-04-10,21.02
2015-04-17,20.9
2015-04-24,20.99
2015-05-01,20.95
2015-05-08,21.2
2015-05-15,21.42
2015-05-22,21.5099
2015-05-29,20.969
2015-06-05,20.75
2015-06-12,21.11
2015-06-19,20.6953
2015-06-26,21.01
2015-07-03,20.77
2015-07-10,20.39
2015-07-17,20.826
2015-07-24,20.88
2015-07-31,20.8335
2015-08-07,20.8481
2015-08-14,20.8699
2015-08-21,19.6101
2015-08-28,19.74
2015-09-04,18.94
2015-09-11,19.186
2015-09-18,19.2337
2015-09-25,19.1808
2015-10-02,19.465
2015-10-09,20.04
2015-10-16,20.0699
2015-10-23,20.379
2015-10-30,20.205
2015-11-06,20.07
2015-11-13,19.601
2015-11-20,20.34
2015-11-27,20.26
2015-12-04,20.31
2015-12-11,19.856
2015-12-18,19.7042
2015-12-25,20.16
2016-01-01,20.15
2016-01-08,19.01
2016-01-15,18.43
2016-01-22,18.57
2016-01-29,19.0
2016-02-05,18.577
2016-02-12,17.94
2016-02-19,18.5699
2016-02-26,18.8
2016-03-04,19.2
2016-03-11,19.4301
2016-03-18,19.7
2016-03-25,19.3419
2016-04-01,19.61
2016-04-08,19.7799
2016-04-15,20.15
2016-04-22,20.3
2016-04-29,20.13
2016-05-06,19.8551
2016-05-13,19.8686
2016-05-20,19.9357
2016-05-27,20.41
2016-06-03,20.62
2016-06-10,19.931
2016-06-17,19.3193
2016-06-24,19.14
2016-07-01,19.8997
2016-07-08,19.69
2016-07-15,20.1395
2016-07-22,20.25
2016-07-29,20.55
2016-08-05,20.28
2016-08-12,20.65
2016-08-19,20.4
2016-08-26,20.22
2016-09-02,20.45
2016-09-09,20.32
2016-09-16,20.0
2016-09-23,20.51
2016-09-30,20.381
2016-10-07,20.05
2016-10-14,19.7696
2016-10-21,19.8
2016-10-28,19.59
2016-11-04,19.22
2016-11-11,19.09
2016-11-18,18.8892
2016-11-25,19.086
2016-12-02,18.95
2016-12-09,19.29
2016-12-16,18.94
2016-12-23,19.08
2016-12-30,19.2
2017-01-06,19.62
2017-01-13,19.819
2017-01-20,19.73
2017-01-27,19.95
2017-02-03,19.9853
2017-02-10,19.98
2017-02-17,20.08
2017-02-24,20.08
2017-03-03,20.2001
2017-03-10,20.3147
2017-03-17,20.739
2017-03-24,20.82
2017-03-31,20.852
2017-04-07,20.79
2017-04-14,20.8348
2017-04-21,20.9433
2017-04-28,21.39
2017-05-05,22.03
2017-05-12,21.9
2017-05-19,22.3
2017-05-26,22.52
2017-06-02,22.8458
2017-06-09,22.49
2017-06-16,22.5038
2017-06-23,22.48
2017-06-30,22.4
2017-07-07,22.19
2017-07-14,22.66
2017-07-21,22.8899
2017-07-28,22.7499
2017-08-04,22.9044
2017-08-11,22.55
2017-08-18,22.7315
2017-08-25,22.92
2017-09-01,23.09
2017-09-08,23.26
2017-09-15,23.38
2017-09-22,23.3499
2017-09-29,23.52
2017-10-06,23.46
2017-10-13,23.8
2017-10-20,23.46
2017-10-27,23.4323
2017-11-03,23.66
2017-11-10,23.62
2017-11-17,23.54
2017-11-24,23.9413
2017-12-01,23.89
2017-12-08,23.8699
2017-12-15,23.83
2017-12-22,23.93
2017-12-29,24.17
2018-01-05,24.56
2018-01-12,25.0
2018-01-19,25.0799
2018-01-26,25.4496
2018-02-02,24.37
2018-02-09,23.12
2018-02-16,24.26
2018-02-23,24.2918
2018-03-02,23.4
2018-03-09,23.98
2018-03-16,24.09
2018-03-23,23.1935
2018-03-30,23.848
2018-04-06,23.55
2018-04-13,24.075
2018-04-20,24.1046
2018-04-27,23.9524
2018-05-04,24.09
2018-05-11,24.68
2018-05-18,24.3791
2018-05-25,24.26
2018-06-01,24.2121
2018-06-08,24.455
2018-06-15,24.1
2018-06-22,23.688
2018-06-29,24.4537
2018-07-06,23.1609
2018-07-13,23.62
2018-07-20,23.76
2018-07-27,23.65
2018-08-03,23.45
2018-08-10,23.0106
2018-08-17,22.7765
2018-08-24,23.4435
2018-08-31,23.5777
2018-09-07,22.65
2018-09-14,23.05
2018-09-21,23.4119
2018-09-28,23.3635
2018-10-05,22.7061
2018-10-12,21.7734
2018-10-19,21.66
2018-10-26,20.8987
2018-11-02,21.74
2018-11-09,21.7706
2018-11-16,21.788
2018-11-23,21.0623
2018-11-30,21.43
2018-12-07,21.0
2018-12-14,20.6949
2018-12-21,20.1
2018-12-28,20.415
2019-01-04,20.66
2019-01-11,21.25
2019-01-18,21.665
2019-01-25,21.7805
2019-02-01,22.12
2019-02-08,21.94
2019-02-15,22.425
2019-02-22,22.6
2019-03-01,22.76
2019-03-08,22.41
2019-03-15,22.98
2019-03-22,22.66
2019-03-29,22.7104
2019-04-05,23.125
2019-04-12,23.2667
2019-04-19,23.26
2019-04-26,23.31
2019-05-03,23.6
2019-05-10,23.1337
2019-05-17,22.92
2019-05-24,22.995
2019-05-31,22.55
2019-06-07,23.1767
2019-06-14,23.2
2019-06-21,23.8056
2019-06-28,23.6942
2019-07-05,23.7218
2019-07-12,23.685
2019-07-19,23.7066
2019-07-26,23.705
2019-08-02,23.1
2019-08-09,22.99
2019-08-16,22.9
2019-08-23,22.89
2019-08-30,23.26
2019-09-06,23.86
2019-09-13,23.7764
2019-09-20,23.76
2019-09-27,23.5081
2019-10-04,23.2326
2019-10-11,23.7644
2019-10-18,23.9204
2019-10-25,24.2651
2019-11-01,24.7618
2019-11-08,24.795
2019-11-15,24.9902
2019-11-22,24.92
2019-11-29,25.1523
2019-12-06,25.2384
2019-12-13,25.6624
2019-12-20,25.9225
2019-12-27,26.08
2020-01-03,26.0
