date,value
2015-11-06,25.07
2015-11-13,24.47
2015-11-20,24.47
2015-11-27,25.05
2015-12-04,25.0301
2015-12-11,24.05
2015-12-18,24.33
2015-12-25,24.46
2016-01-01,24.63
2016-01-08,23.01
2016-01-15,22.62
2016-01-22,22.93
2016-01-29,23.4
2016-02-05,23.46
2016-02-12,22.21
2016-02-19,23.01
2016-02-26,23.08
2016-03-04,23.94
2016-03-11,24.41
2016-03-18,24.43
2016-03-25,24.22
2016-04-01,24.458
2016-04-08,24.6
2016-04-15,25.1
2016-04-22,25.4258
2016-04-29,25.29
2016-05-06,25.0699
2016-05-13,24.67
2016-05-20,24.71
2016-05-27,25.13
2016-06-03,25.32
2016-06-10,24.97
2016-06-17,24.21
2016-06-24,25.01
2016-07-01,24.64
2016-07-08,24.655
2016-07-15,25.03
2016-07-22,25.05
2016-07-29,25.5448
2016-08-05,25.16
2016-08-12,25.87
2016-08-19,25.61
2016-08-26,25.37
2016-09-02,25.63
2016-09-09,25.7
2016-09-16,25.1
2016-09-23,26.09
2016-09-30,26.01
2016-10-07,25.445
2016-10-14,25.3
2016-10-21,25.5
2016-10-28,25.2
2016-11-04,24.97
2016-11-11,24.79
2016-11-18,24.19
2016-11-25,24.47
2016-12-02,24.38
2016-12-09,24.85
2016-12-16,24.2145
2016-12-23,24.49
2016-12-30,24.48
2017-01-06,25.01
2017-01-13,25.32
2017-01-20,24.95
2017-01-27,25.31
2017-02-03,25.35
2017-02-10,25.4
2017-02-17,25.54
2017-02-24,25.55
2017-03-03,25.33
2017-03-10,25.53
2017-03-17,25.99
2017-03-24,26.29
2017-03-31,26.24
2017-04-07,26.2
2017-04-14,26.33
2017-04-21,26.34
2017-04-28,26.62
2017-05-05,27.51
2017-05-12,27.46
2017-05-19,28.09
2017-05-26,28.285
2017-06-02,28.87
2017-06-09,28.4953
2017-06-16,28.32
2017-06-23,28.12
2017-06-30,27.97
2017-07-07,27.85
2017-07-14,28.05
2017-07-21,28.34
2017-07-28,28.48
2017-08-04,28.69
2017-08-11,28.38
2017-08-18,28.4
2017-08-25,28.66
2017-09-01,28.7781
2017-09-08,28.88
2017-09-15,28.68
2017-09-22,28.73
2017-09-29,28.79
2017-10-06,28.706
2017-10-13,29.41
2017-10-20,29.34
2017-10-27,29.34
2017-11-03,29.49
2017-11-10,29.58
2017-11-17,29.405
2017-11-24,29.68
2017-12-01,29.77
2017-12-08,29.88
2017-12-15,30.005
2017-12-22,29.92
2017-12-29,30.145
2018-01-05,30.76
2018-01-12,31.2
2018-01-19,31.29
2018-01-26,31.59
2018-02-02,31.06
2018-02-09,29.31
2018-02-16,30.47
2018-02-23,30.66
2018-03-02,29.95
2018-03-09,30.5861
2018-03-16,30.5125
2018-03-23,29.69
2018-03-30,30.38
2018-04-06,30.0397
2018-04-13,30.3122
2018-04-20,30.55
2018-04-27,30.815
2018-05-04,30.54
2018-05-11,31.06
2018-05-18,30.64
2018-05-25,30.44
2018-06-01,30.465
2018-06-08,30.7548
2018-06-15,30.455
2018-06-22,29.89
2018-06-29,29.52
2018-07-06,29.17
2018-07-13,29.2895
2018-07-20,29.4827
2018-07-27,29.9
2018-08-03,29.45
2018-08-10,29.024
2018-08-17,28.6599
2018-08-24,29.17
2018-08-31,29.2386
2018-09-07,28.64
2018-09-14,28.91
2018-09-21,29.57
2018-09-28,29.87
2018-10-05,28.75
2018-10-12,27.68
2018-10-19,27.67
2018-10-26,26.37
2018-11-02,27.43
2018-11-09,27.55
2018-11-16,27.285
2018-11-23,27.14
2018-11-30,27.51
2018-12-07,26.74
2018-12-14,26.6155
2018-12-21,25.455
2018-12-28,26.07
2019-01-04,26.42
2019-01-11,26.78
2019-01-18,27.3863
2019-01-25,27.365
2019-02-01,27.511
2019-02-08,27.1
2019-02-15,27.65
2019-02-22,28.0
2019-03-01,27.91
2019-03-08,27.48
2019-03-15,28.17
2019-03-22,27.97
2019-03-29,28.03
2019-04-05,28.34
2019-04-12,28.402
2019-04-19,28.38
2019-04-26,28.205
2019-05-03,28.265
2019-05-10,27.76
2019-05-17,27.55
2019-05-24,27.59
2019-05-31,27.17
2019-06-07,28.07
2019-06-14,27.82
2019-06-21,28.38
2019-06-28,28.053
2019-07-05,28.45
2019-07-12,28.09
2019-07-19,28.0284
2019-07-26,27.78
2019-08-02,27.1828
2019-08-09,27.0
2019-08-16,26.7
2019-08-23,26.65
2019-08-30,27.065
2019-09-06,27.48
2019-09-13,27.9
2019-09-20,27.956
2019-09-27,27.34
2019-10-04,27.22
2019-10-11,27.61
2019-10-18,27.73
2019-10-25,27.91
2019-11-01,28.2664
2019-11-08,28.29
2019-11-15,28.34
2019-11-22,28.27
2019-11-29,28.41
2019-12-06,28.545
2019-12-13,28.74
2019-12-20,28.83
2019-12-27,28.665
2020-01-03,28.45
